nombre,link,direccion,tipo,categoria,telefono,email
ARGALICA,https://www.turismo.gal/recurso/-/detalle/35237/argalica?langId=es_ES&tp=49&ctre=281,Xardíns do Señal 36940 Cangas - Pontevedra,Feria especializada,,,
AROSA SURF CAMP S.L,https://www.turismo.gal/recurso/-/detalle/nr-po-000425/arosa-surf-camp-s.l?langId=es_ES&tp=85&ctre=172,R/ CONCERRADO S/N AS ACEÑAS 0 A Illa de Arousa - Pontevedra,Empresas de actividades deportivas,,,
AROUSA GOLF PAZO DE RUBIANES,https://www.turismo.gal/recurso/-/detalle/nr-po-000382/arousa-golf-pazo-de-rubianes?langId=es_ES&tp=85&ctre=172,RUA DE PAZO Nº 7 36600 Vilagarcía de Arousa - Pontevedra,Empresas de actividades deportivas,,,
AROUSA VELA,https://www.turismo.gal/recurso/-/detalle/td-po-000428/arousa-vela?langId=es_ES&tp=85&ctre=172,"RUA HOSPITAL, S/N 0 O Grove - Pontevedra",Empresas de actividades deportivas,,+34 986 731 246,info@acquavela.com
AROUSAKAYAKS & BOATS,https://www.turismo.gal/recurso/-/detalle/220318000388/arousakayaks-boats?langId=es_ES&tp=85&ctre=172,"Cabodeiro, nº 12 36626 A Illa de Arousa - Pontevedra",Empresas de actividades deportivas,,+34 654 808 855,
ARREPIÓNS,https://www.turismo.gal/recurso/-/detalle/ta-po-000001/arrepions?langId=es_ES&tp=72&ctre=154,"PLACER, 10 36700 Tui - Pontevedra",Empresas de actividades de aventura o naturaleza,,+34 986 607 063 / +34 986 603 009,aventura@arrepions.com
AS TORRES DE OESTE,https://www.turismo.gal/recurso/-/detalle/210514000432/as-torres-de-oeste?langId=es_ES&tp=40004370,Catoira - Pontevedra,Paseos,,,
ASOC. DE SENDERISMO CULT. TURIST. CEN PES,https://www.turismo.gal/recurso/-/detalle/nr-po-000340/asoc.-de-senderismo-cult.-turist.-cen-pes?langId=es_ES&tp=85&ctre=172,"RUA EDELMIRO TRILLO, 13 - 4ºD 0 Vilagarcía de Arousa - Pontevedra",Empresas de actividades deportivas,,,
ASOCIACION CABALEIROS DE DEZA,https://www.turismo.gal/recurso/-/detalle/td-po-000442/asociacion-cabaleiros-de-deza?langId=es_ES&tp=85&ctre=172,"R/ K, 1 36500 Lalín - Pontevedra",Empresas de actividades deportivas,,,
ASOCIACION CULTURAL FERVENZAS GALEGAS,https://www.turismo.gal/recurso/-/detalle/nr-po-000367/asociacion-cultural-fervenzas-galegas?langId=es_ES&tp=85&ctre=172,"RUA TRAS DAS EIRAS-ESQ. SANTA AULALIA, 18 0 Silleda - Pontevedra",Empresas de actividades deportivas,,,
ASOCIACION CULTURAL TREBOADA,https://www.turismo.gal/recurso/-/detalle/td-po-000316/asociacion-cultural-treboada?langId=es_ES&tp=85&ctre=172,"LG PARAÑOS - COTAREL, 12 0 Covelo - Pontevedra",Empresas de actividades deportivas,,,
ASOCIACIÓN ETNOGRÁFICA DE CODESEDA,https://www.turismo.gal/recurso/-/detalle/td-po-000340/asociacion-etnografica-de-codeseda?langId=es_ES&tp=85&ctre=172,"Lugar Codesedo, nº 1 36519 Lalín - Pontevedra",Empresas de actividades deportivas,,,
ASOCIACIÓN NÁUTICA DEPORTIVA ALBATROS,https://www.turismo.gal/recurso/-/detalle/28437/asociacion-nautica-deportiva-albatros?langId=es_ES&tp=66&ctre=123,Camino de Cacharela 36207 Vigo - Pontevedra,Otras Inst. náutico deportivas.Maritima,,,
ASOCIACIÓN SODINAUTICA,https://www.turismo.gal/recurso/-/detalle/170201000004/asociacion-sodinautica?langId=es_ES&tp=72&ctre=154,"Calle MARQUES DE VALLADARES, nº 23 36201 Vigo - Pontevedra",Empresas de actividades de aventura o naturaleza,,,
AVENTURA NOROESTE SL,https://www.turismo.gal/recurso/-/detalle/200522000131/aventura-noroeste-sl?langId=es_ES&tp=85&ctre=172,"Toimil, nº 26 36540 Lalín - Pontevedra",Empresas de actividades deportivas,,,
BALNEARIO ACUÑA,https://www.turismo.gal/recurso/-/detalle/280377198/balneario-acuna?langId=es_ES&tp=103&ctre=1000100,"Ferrería, nº 2 36650 Caldas de Reis - Pontevedra",Balneario,,+34 902 104 841 / +34 986 540 010,reservas@relaistermal.com
BALNEARIO BAÑOS DA BREA,https://www.turismo.gal/recurso/-/detalle/280377204/balneario-banos-da-brea?langId=es_ES&tp=103&ctre=1000100,nº 4 36596 Vila de Cruces - Pontevedra,Balneario,,+34 986 583 614,correo@balneariodabrea.com
BALNEARIO DA TOXA (EUROSTARS GRAN HOTEL LA TOJA),https://www.turismo.gal/recurso/-/detalle/280377206/balneario-da-toxa-eurostars-gran-hotel-la-toja-?langId=es_ES&tp=103&ctre=1000100,"Calle da Condesa, nº 2 36991 O Grove - Pontevedra",Balneario,,+34 986 730 025,reservas@eurostarsgranhotellatoja.com
BALNEARIO DA TOXA (HOTEL EUROSTARS ISLA DE LA TOJA),https://www.turismo.gal/recurso/-/detalle/280377210/balneario-da-toxa-hotel-eurostars-isla-de-la-toja-?langId=es_ES&tp=103&ctre=1000100,"Calle Illa da Toxa, nº s/n 36991 O Grove - Pontevedra",Balneario,,+34 986 730 050,reservas@eurostarsisladelatoja.com
BALNEARIO DÁVILA,https://www.turismo.gal/recurso/-/detalle/280377199/balneario-davila?langId=es_ES&tp=103&ctre=1000100,"Laureano Salgado, nº 11 36650 Caldas de Reis - Pontevedra",Balneario,,+34 986 540 012,balneariodavila@balneariodavila.com
BALNEARIO DE CALDELAS DE TUI,https://www.turismo.gal/recurso/-/detalle/280377211/balneario-de-caldelas-de-tui?langId=es_ES&tp=103&ctre=1000100,nº 116 36721 Tui - Pontevedra,Balneario,,+34 986 629 005,info@balneariodecaldelas.com
BALNEARIO DE MONDARIZ,https://www.turismo.gal/recurso/-/detalle/280377212/balneario-de-mondariz?langId=es_ES&tp=103&ctre=1000100,"Avenida Enrique Peinador, nº s/n 36890 Mondariz-Balneario - Pontevedra",Balneario,,+34 986 656 156,reservas@balneariodemondariz.com
BALNEARIO TERMAS DE CUNTIS,https://www.turismo.gal/recurso/-/detalle/280377205/balneario-termas-de-cuntis?langId=es_ES&tp=103&ctre=1000100,"Calle Balneario, nº 1 36670 Cuntis - Pontevedra",Balneario,,+34 986 532 525,termas@termasdecuntis.com
BASES KDM Y SENDEROS DE AGUA,https://www.turismo.gal/recurso/-/detalle/180620000447/bases-kdm-y-senderos-de-agua?langId=es_ES&tp=85&ctre=172,"Calle Gavián, s/n - Centro deportivo David Cal (Verducido) 36151 Pontevedra - Pontevedra",Empresas de actividades deportivas,,,
BEACH ESCOLA PLAYA AMERICA,https://www.turismo.gal/recurso/-/detalle/nr-po-000375/beach-escola-playa-america?langId=es_ES&tp=85&ctre=172,PLAYA AMERICA 0 Nigrán - Pontevedra,Empresas de actividades deportivas,,,
BECICLON,https://www.turismo.gal/recurso/-/detalle/nr-po-000422/beciclon?langId=es_ES&tp=85&ctre=172,"PUERTO DEPORTIVO JUAN CARLOS I, nº 9 36960 Sanxenxo - Pontevedra",Empresas de actividades deportivas,,,
BELAMARUXA,https://www.turismo.gal/recurso/-/detalle/24447/belamaruxa?langId=es_ES&tp=85&ctre=172,Naútico de Vigo 36202 Vigo - Pontevedra,Empresas de actividades deportivas,,,
BELÉN ARTESANAL EN MOVEMENTO,https://www.turismo.gal/recurso/-/detalle/280380392/belen-artesanal-en-movemento?langId=es_ES&tp=97&ctre=261,Valga - Pontevedra,Fiestas de Galicia de interés turístico,,986 55 94 56,
BIG SUR SURF,https://www.turismo.gal/recurso/-/detalle/nr-po-000384/big-sur-surf?langId=es_ES&tp=85&ctre=172,URB. ENSENADA DE LA TOJA - FREIXO Nº 10 0 Sanxenxo - Pontevedra,Empresas de actividades deportivas,,,
"BOLINA SAIL & CO, S.L.",https://www.turismo.gal/recurso/-/detalle/37055/bolina-sail-co-s.l.?langId=es_ES&tp=85&ctre=172,Mariña Punta Lagoa 36207 Vigo - Pontevedra,Empresas de actividades deportivas,,+34 986 352 757,info@bolinasailco.com
BRUXARTE,https://www.turismo.gal/recurso/-/detalle/35702/bruxarte?langId=es_ES&tp=55&ctre=1000141,"Cesteiros, nº 6 36202 Vigo - Pontevedra",Talleres artesanales,,+34 986 228 555,bruxartepitu@gmail.com
"BUCEO ISLAS CIES, S.L.",https://www.turismo.gal/recurso/-/detalle/27947/buceo-islas-cies-s.l.?langId=es_ES&tp=85&ctre=172,"Conde de Torrecedeira, nº 26 36202 Vigo - Pontevedra",Empresas de actividades deportivas,,+34 986 290 589,
BUCEO RÍAS BAIXAS,https://www.turismo.gal/recurso/-/detalle/180620000449/buceo-rias-baixas?langId=es_ES&tp=85&ctre=172,"Estrada de Bueu, nº 110 36946 Cangas - Pontevedra",Empresas de actividades deportivas,,+34 600 281 484,buceoriasbaixas@gmail.com
BUCEO WAYUU,https://www.turismo.gal/recurso/-/detalle/180509000089/buceo-wayuu?langId=es_ES&tp=85&ctre=172,"Puerto Deportivo Juan Carlos I, nº H 36960 Sanxenxo - Pontevedra",Empresas de actividades deportivas,,,hola@buceowayuu.es
C.C. A BARCA,https://www.turismo.gal/recurso/-/detalle/3354/c.c.-a-barca?langId=es_ES&tp=40&ctre=226,"Avda Domingo Fontán, nº2 36005 Poio - Pontevedra",Centros comerciales,,+34 986 872 830,
C.C. A LAXE,https://www.turismo.gal/recurso/-/detalle/259431682/c.c.-a-laxe?langId=es_ES&tp=40&ctre=226,"Cánovas del Castillo, 1 36202 Vigo - Pontevedra",Centros comerciales,,+34 986 443 788,
C.C. CIDADE UNIVERSITARIA,https://www.turismo.gal/recurso/-/detalle/31335/c.c.-cidade-universitaria?langId=es_ES&tp=40&ctre=226,"Área Central, C. Univ. de Vigo 36310 Vigo - Pontevedra",Centros comerciales,,+34 986 467 860,
C.C. DEZA,https://www.turismo.gal/recurso/-/detalle/259480349/c.c.-deza?langId=es_ES&tp=40&ctre=226,"Rua Do Areal, s/n 36500 Lalín - Pontevedra",Centros comerciales,,,acanella@caudalia.es
C.C. EL CORTE INGLÉS,https://www.turismo.gal/recurso/-/detalle/31351/c.c.-el-corte-ingles?langId=es_ES&tp=40&ctre=226,"Gran Vía, 25-27 36204 Vigo - Pontevedra",Centros comerciales,,+34 986 415 111,
C.C. GALERÍAS OLIVA,https://www.turismo.gal/recurso/-/detalle/269798945/c.c.-galerias-oliva?langId=es_ES&tp=40&ctre=225,La Oliva 36202 Pontevedra - Pontevedra,Galería Comercial Urbana,,+34 986 850 352,
C.C. GRAN VÍA DE VIGO,https://www.turismo.gal/recurso/-/detalle/259431625/c.c.-gran-via-de-vigo?langId=es_ES&tp=40&ctre=226,"Baixada o castaño, s/n 36204 Vigo - Pontevedra",Centros comerciales,,+34 986 447 500,
C.C. LA ROMANA,https://www.turismo.gal/recurso/-/detalle/269798959/c.c.-la-romana?langId=es_ES&tp=40&ctre=225,"Avda. Manuel Lemos, nº 34 36370 Nigrán - Pontevedra",Galería Comercial Urbana,,,
C.C. LAS CAMELIAS,https://www.turismo.gal/recurso/-/detalle/841/c.c.-las-camelias?langId=es_ES&tp=40&ctre=226,"Plaza de América, nº1 36211 Vigo - Pontevedra",Centros comerciales,,+34 986 201 707 / +34 986 208 311,ana.blanco@cameliascc.com
C.C. MORRAZO,https://www.turismo.gal/recurso/-/detalle/269798986/c.c.-morrazo?langId=es_ES&tp=40&ctre=225,"Avda. Ourense, nº 44 36400 Marín - Pontevedra",Galería Comercial Urbana,,+34 986 890 352,
C.C. PLAZA ELÍPTICA,https://www.turismo.gal/recurso/-/detalle/21273/c.c.-plaza-eliptica?langId=es_ES&tp=40&ctre=226,"Plaza Fdez. Riego, s/n 36203 Vigo - Pontevedra",Centros comerciales,,+34 986 483 095,
C.C. PONTIÑAS,https://www.turismo.gal/recurso/-/detalle/259480341/c.c.-pontinas?langId=es_ES&tp=40&ctre=226,"Carballeira da Botica, nº 5 36500 Lalín - Pontevedra",Centros comerciales,,+34 986 792 328,pontinas@pontinas.com
C.C. RAMALLOSA - SIGLO XXI,https://www.turismo.gal/recurso/-/detalle/31339/c.c.-ramallosa-siglo-xxi?langId=es_ES&tp=40&ctre=226,"Damas Apostolicas, 17 36370 Nigrán - Pontevedra",Centros comerciales,,+34 986 386 038,
C.C. TRAVESÍA DE VIGO,https://www.turismo.gal/recurso/-/detalle/259431608/c.c.-travesia-de-vigo?langId=es_ES&tp=40&ctre=226,"Travesía de Vigo, nº 202 36207 Vigo - Pontevedra",Centros comerciales,,+34 986 277 908,travesia@cctravesia.com
C.C. VIALIA,https://www.turismo.gal/recurso/-/detalle/21274/c.c.-vialia?langId=es_ES&tp=40&ctre=226,"Avda de la Estación, nº s/n 36001 Pontevedra - Pontevedra",Centros comerciales,,+34 981 164 256,pontevedra@vialia.es
C.N. SAN VICENTE DO MAR PORTO PEDRAS NEGRAS,https://www.turismo.gal/recurso/-/detalle/28406/c.n.-san-vicente-do-mar-porto-pedras-negras?langId=es_ES&tp=66&ctre=117,36980 O Grove - Pontevedra,Instal. náutico deportivas. Marítima,,+34 986 738 430 / +34 986 738 325,administracion@cnsvicente.com
CABUXA,https://www.turismo.gal/recurso/-/detalle/265341589/cabuxa?langId=es_ES&tp=55&ctre=1000141,nº 9 36721 Tui - Pontevedra,Talleres artesanales,,+34 986 629 197,ana@cabuxa.com
CALUA NAVEGACION,https://www.turismo.gal/recurso/-/detalle/28355/calua-navegacion?langId=es_ES&tp=85&ctre=172,"Rubas, nº 6 36901 A Illa de Arousa - Pontevedra",Empresas de actividades deportivas,,,calua@calua.net
CAMINO EN KAYAK,https://www.turismo.gal/recurso/-/detalle/nr-po-000434/camino-en-kayak?langId=es_ES&tp=85&ctre=172,LG. IGREXA Nº 11 SAN VICENTE 36989 O Grove - Pontevedra,Empresas de actividades deportivas,,,
CAMPO DE GOLF DE MEIS,https://www.turismo.gal/recurso/-/detalle/nr-po-000304/campo-de-golf-de-meis?langId=es_ES&tp=85&ctre=172,LG. CHAN DO MONTE - SILVAN DE ARMENTEIRA 0 Meis - Pontevedra,Empresas de actividades deportivas,,,
CAMPO DE GOLF DE MEIS (FUNDACIÓN PÚBLICA MONTE-CASTROVE),https://www.turismo.gal/recurso/-/detalle/21323/campo-de-golf-de-meis-fundacion-publica-monte-castrove-?langId=es_ES&tp=64&ctre=97,36192 Meis - Pontevedra,Campo de golf,,+34 986 680 400 / +34 986 680 533,info@campodegolfmeis.com
CAPITÁN DIVER,https://www.turismo.gal/recurso/-/detalle/190627000466/capitan-diver?langId=es_ES&tp=85&ctre=172,Marina Davila Sports muelle de reparacións s/n (Bouzas) 36208 Vigo - Pontevedra,Empresas de actividades deportivas,,+34 610 641 243,capitandiversc@gmail.com
CARREFOUR PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/21267/carrefour-pontevedra?langId=es_ES&tp=40&ctre=227,"Rúa de San Blas, s/n 36143 Pontevedra - Pontevedra",Hipermercados,,+34 986 869 300,
CARREFOUR VIGO I,https://www.turismo.gal/recurso/-/detalle/259431601/carrefour-vigo-i?langId=es_ES&tp=40&ctre=227,"Travesía de Vigo, nº 202 36207 Vigo - Pontevedra",Hipermercados,,+34 986 265 050,
CARREFOUR VIGO II,https://www.turismo.gal/recurso/-/detalle/269692055/carrefour-vigo-ii?langId=es_ES&tp=40&ctre=227,"Rúa do Miradoiro, nº 2 36210 Vigo - Pontevedra",Hipermercados,,+34 986 286 300,
CCA DE TENDAS,https://www.turismo.gal/recurso/-/detalle/269578657/cca-de-tendas?langId=es_ES&tp=40&ctre=228,"Luis Casais, nº 1 36980 O Grove - Pontevedra",Área Comercial Urbana,,+34 986 732 011,emgrobes@emgrobes.org
CENTRO COMERCIAL ABERTO DE O SEIXO E GOIÁN,https://www.turismo.gal/recurso/-/detalle/269646216/centro-comercial-aberto-de-o-seixo-e-goian?langId=es_ES&tp=40&ctre=228,36740 Tomiño - Pontevedra,Área Comercial Urbana,,,info@adeto.org
CENTRO COMERCIAL AROUSA,https://www.turismo.gal/recurso/-/detalle/21270/centro-comercial-arousa?langId=es_ES&tp=40&ctre=226,"Urbanización A Xunqueira, nº s/n 36600 Vilagarcía de Arousa - Pontevedra",Centros comerciales,,+34 986 504 635,ccarousa@ccarousa.com
CENTRO COMERCIAL HALEY (GADISA),https://www.turismo.gal/recurso/-/detalle/31336/centro-comercial-haley-gadisa-?langId=es_ES&tp=40&ctre=226,"Regueiro Areas, s/n 36711 Tui - Pontevedra",Centros comerciales,,+34 902 503 111 / +34 986 604 413,
CENTRO COMERCIAL URBANO ZONA MONUMENTAL DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/269586805/centro-comercial-urbano-zona-monumental-de-pontevedra?langId=es_ES&tp=40&ctre=228,36602 Pontevedra - Pontevedra,Área Comercial Urbana,,+34 986 866 530,info@ccuzonamonumental.es
CENTRO DE BUCEO BAHIA-SUB,https://www.turismo.gal/recurso/-/detalle/259082292/centro-de-buceo-bahia-sub?langId=es_ES&tp=85&ctre=172,nº 30 O Grove - Pontevedra,Empresas de actividades deportivas,,+34 986 732 860,bahia-sub@hotmail.com
CENTRO DE BUCEO PORTOSUB,https://www.turismo.gal/recurso/-/detalle/190507000050/centro-de-buceo-portosub?langId=es_ES&tp=85&ctre=172,"Rafael Picó, nº 24 36970 Sanxenxo - Pontevedra",Empresas de actividades deportivas,,,polucho5@hotmail.com
"CHARTER NAUTICO ILLAS ATLANTICAS, S.L.",https://www.turismo.gal/recurso/-/detalle/td-po-000464/charter-nautico-illas-atlanticas-s.l.?langId=es_ES&tp=85&ctre=172,"ÀSEO NAVAL, 2 - PIERTRA 1 0 A Illa de Arousa - Pontevedra",Empresas de actividades deportivas,,,
CHARTERSPAIN.COM,https://www.turismo.gal/recurso/-/detalle/258789851/charterspain.com?langId=es_ES&tp=85&ctre=172,"Camelias, nº 2 36202 Vigo - Pontevedra",Empresas de actividades deportivas,,+34 986 493 060,info@charterspain.com
CIMAG (CERTAME INTERNACIONAL DE MAQUINARIA DE FORRAXE),https://www.turismo.gal/recurso/-/detalle/272827064/cimag-certame-internacional-de-maquinaria-de-forraxe-?langId=es_ES&tp=49&ctre=281,Lg. Recinto Ferial 36540 Silleda - Pontevedra,Feria especializada,,,
CLUB DE BUCEO ONS,https://www.turismo.gal/recurso/-/detalle/34657/club-de-buceo-ons?langId=es_ES&tp=85&ctre=172,"Ramón Bares, nº 28 36930 Bueu - Pontevedra",Empresas de actividades deportivas,,,
CLUB DE CAMPO REVEL,https://www.turismo.gal/recurso/-/detalle/24350/club-de-campo-revel?langId=es_ES&tp=85&ctre=172,nº 12 36990 Sanxenxo - Pontevedra,Empresas de actividades deportivas,,+34 986 743 128,clubrevel@sanxenxoactivo.com
CLUB DE EQUITACION CEMAR,https://www.turismo.gal/recurso/-/detalle/24102/club-de-equitacion-cemar?langId=es_ES&tp=85&ctre=172,Estrada.Xeral Ponteareas km. 7 36890 Mondariz-Balneario - Pontevedra,Empresas de actividades deportivas,,+34 986 662 377,
CLUB DE GOLF CHAN DO FENTO,https://www.turismo.gal/recurso/-/detalle/nr-po-000305/club-de-golf-chan-do-fento?langId=es_ES&tp=85&ctre=172,LG. SILVAN DE ARMENTEIRA 0 Meis - Pontevedra,Empresas de actividades deportivas,,,
CLUB DE GOLF RIA DE VIGO,https://www.turismo.gal/recurso/-/detalle/nr-po-000311/club-de-golf-ria-de-vigo?langId=es_ES&tp=85&ctre=172,SALN LORENZO - DOMAIO 0 Moaña - Pontevedra,Empresas de actividades deportivas,,,
CLUB DE MAR AGUETE S.D.,https://www.turismo.gal/recurso/-/detalle/24097/club-de-mar-aguete-s.d.?langId=es_ES&tp=85&ctre=172,AVDA. GAGO DE MENDOZA 167 AGUETE-SEIXO 0 Marín - Pontevedra,Empresas de actividades deportivas,,+34 986 702 373,
CLUB DE MAR DE VILLAGARCIA DE AROSA,https://www.turismo.gal/recurso/-/detalle/24451/club-de-mar-de-villagarcia-de-arosa?langId=es_ES&tp=85&ctre=172,"Muelle de pasajeros, nº s/n 36600 Vilagarcía de Arousa - Pontevedra",Empresas de actividades deportivas,,+34 986 505 084,
CLUB DE MONTAÑEIROS CELTAS,https://www.turismo.gal/recurso/-/detalle/nr-po-000298/club-de-montaneiros-celtas?langId=es_ES&tp=85&ctre=172,"AVD. CAMELIAS, 78 0 Vigo - Pontevedra",Empresas de actividades deportivas,,,
CLUB DE VELA BAUPRÉS,https://www.turismo.gal/recurso/-/detalle/24332/club-de-vela-baupres?langId=es_ES&tp=85&ctre=172,Puerto Deportivo 36960 Sanxenxo - Pontevedra,Empresas de actividades deportivas,,,info@baupres.org
CLUB DE VELA U-JUMP LIMENS,https://www.turismo.gal/recurso/-/detalle/24021/club-de-vela-u-jump-limens?langId=es_ES&tp=85&ctre=172,PRAIA DE SANTA MARTA 20 DARBO 36940 Cangas - Pontevedra,Empresas de actividades deportivas,,,limenswindsupclub@gmail.com
CLUB DEPORTIVO SALITRE,https://www.turismo.gal/recurso/-/detalle/230327000548/club-deportivo-salitre?langId=es_ES&tp=85&ctre=172,"Paseo de Praia, s/n 36693 Redondela - Pontevedra",Empresas de actividades deportivas,,,
CLUB DO MAR BUEU,https://www.turismo.gal/recurso/-/detalle/23994/club-do-mar-bueu?langId=es_ES&tp=85&ctre=172,"Castelao, nº 29 36930 Bueu - Pontevedra",Empresas de actividades deportivas,,+34 986 320 242,
