nombre,link,direccion,tipo,categoria,telefono,email,web,coordenadas,web_interna,situacion_caminos_de_santiago,soles_repsol,horario_de_admisión:,tipos_de_servicios,regímenes,plazas_totales_calculadas,clasificación,servicios_de_autocaravanas,situacion_acceso,declaración,principales_monumentos,número_de_tiendas,tipo_tiendas,actividades,servicios_convenciones,alquiler,habitaciones,más_información,descripción_de_actividades,navegación,períodos_de_funcionamiento,servicios_de_las_instalaciones,servicios_de_la_población,características,rango,accesibilidad,estrellas_michelin,situación,superficie,servicios,información_y_equipamientos,artesanos,actividad_del_taller,otras_características,salones,tarjetas,estilos,orden_religiosa,el_paseo,accesibilidad_a_tener_en_cuenta
A XANELA,https://www.turismo.gal/recurso/-/detalle/220830000276/a-xanela?langId=es_ES&tp=67&ctre=135,"Plaza da Verdura, nº 5 36002 Pontevedra - Pontevedra",Pensión,1 estrella,,manuel.suarez.amoedo@gmail.com,,"42º 25' 57.6"" N - 8º 38' 38.5"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AÇAÍ CONCEPT,https://www.turismo.gal/recurso/-/detalle/250624000452/ac-ai-concept?langId=es_ES&tp=1001549,"Calle Lepanto, nº 1 36001 Pontevedra - Pontevedra",Café Bar,,,eva.souto@idanet.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUÑA,https://www.turismo.gal/recurso/-/detalle/v-po-002826/acuna?langId=es_ES&tp=1001549&ctre=40000240,"Sagasta, nº 16 36001 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUÑA,https://www.turismo.gal/recurso/-/detalle/v-po-009758/acuna?langId=es_ES&tp=1001549&ctre=40000240,"RUA ANDRES MURUAIS, 12 36001 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUÑA - 5,https://www.turismo.gal/recurso/-/detalle/v-po-009176/acuna-5?langId=es_ES&tp=1001549&ctre=40000240,"RÚA MICHELENA, 32 0 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUÑA 4,https://www.turismo.gal/recurso/-/detalle/v-po-005756/acuna-4?langId=es_ES&tp=1001549&ctre=40000240,R/JOAQUIN COSTA 37 PONTEVEDRA 0 Pontevedra - Pontevedra,Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUÑA 9,https://www.turismo.gal/recurso/-/detalle/161103000010/acuna-9?langId=es_ES&tp=1001549&ctre=40000240,"Calle LOUREIRO CRESPO, nº 26 36004 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEGA DOS AVÓS,https://www.turismo.gal/recurso/-/detalle/16129/adega-dos-avos?langId=es_ES&tp=24&ctre=142,"Calle GUTIÉRREZ MELLADO, nº 6 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 841 561,adega.dos.avos@hotmail.com,,"42º 25' 50.9"" N - 8º 38' 46.3"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEGA DOS AVÓS,https://www.turismo.gal/recurso/-/detalle/c-po-000874/adega-dos-avos?langId=es_ES&tp=1001550&ctre=40000242,"Calle Gutiérrez Mellado, nº 6 36001 Pontevedra - Pontevedra",Cafetería,,,,,"42º 25' 50.6"" N - 8º 38' 46.2"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL ANDALUS,https://www.turismo.gal/recurso/-/detalle/v-po-006619/al-andalus?langId=es_ES&tp=1001549&ctre=40000240,RUA ALAMEDA NÚM. 16 BX. 36002 Pontevedra - Pontevedra,Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMEDA 10,https://www.turismo.gal/recurso/-/detalle/8924/alameda-10?langId=es_ES&tp=24&ctre=142,"Calle ALAMEDA, nº 10 36002 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 857 412,info@restaurantealameda10.com,http://www.restaurantealameda10.com/,"42º 25' 49.9"" N - 8º 38' 59.6"" W",http://www.restaurantealameda10.com/,Camino Portugués | Camino Portugués de la costa,Recomendado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMEDA E XARDÍNS DE VICENTI,https://www.turismo.gal/recurso/-/detalle/30880/alameda-e-xardins-de-vicenti?langId=es_ES&tp=5&ctre=18,Gran Vía de Montero Ríos 36001 Pontevedra - Pontevedra,Parque,,,,,"42º 25' 46.9"" N - 8º 38' 51.0"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERGUE ALOXA HOSTEL,https://www.turismo.gal/recurso/-/detalle/280382457/albergue-aloxa-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Gorgullón, nº 68 36003 Pontevedra - Pontevedra",Albergue Turístico,,,alberguealoxahostel@hotmail.com,https://www.alberguealoxa.com/,"42º 25' 21.3"" N - 8º 38' 12.2"" W",https://www.alberguealoxa.com/,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERGUE DE PEREGRINOS DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/280380529/albergue-de-peregrinos-de-pontevedra?langId=es_ES&tp=1000100&ctre=1000300,"Calle Otero Pedrayo, nº s/n 36004 Pontevedra - Pontevedra",Albergues del Xacobeo,,,,,"42º 25' 10.3"" N - 8º 38' 10.2"" W",,Camino Portugués | Camino Portugués de la costa,,13:00 - 22:00,Agua caliente | Calefacción central | Cocina sin utensilios | Comedor | Duchas | Frigorífico | Internet / wifi en zonas comunes | Jardín terraza | Lavadora | Máquina de café | Máquina de refrescos | Microondas | Salón de estar | Tendedero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERO,https://www.turismo.gal/recurso/-/detalle/34498/albero?langId=es_ES&tp=24&ctre=142,"Calle Campo da Torre , nº 9 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,,"42º 25' 47.3"" N - 8º 39' 09.2"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDA PONTEVEDRA ESTACION,https://www.turismo.gal/recurso/-/detalle/10909/alda-pontevedra-estacion?langId=es_ES&tp=22&ctre=129,"Avenida Eduardo Pondal, nº 76-78 36003 Pontevedra - Pontevedra",Hotel,2 Estrellas,+34 886 300 029,estacionpontevedra@aldahotels.com,https://www.aldahotels.es/alojamientos/hotel-alda-estacion-pontevedra/,"42º 25' 22.9"" N - 8º 38' 11.9"" W",https://www.aldahotels.es/alojamientos/hotel-alda-estacion-pontevedra/,Camino Portugués | Camino Portugués de la costa,,,Admite tarjetas de crédito | Ascensor | Bar-Cafetería | Calefacción central | Garaje de pago | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavandería | Sala de Reuniones | Salón de estar | Se habla alemán | Se habla inglés | Se habla italiano | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEJOS,https://www.turismo.gal/recurso/-/detalle/v-po-000478/alejos?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Sebastián, nº 14 36002 Pontevedra - Pontevedra",Café bar,,,tonivazquez4@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICIA,https://www.turismo.gal/recurso/-/detalle/259322522/alicia?langId=es_ES&tp=67&ctre=135,"LG. STA. MARÍA, 5-1º 36002 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 857 079,,,"42º 25' 56.6"" N - 8º 38' 50.6"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMIRANTA,https://www.turismo.gal/recurso/-/detalle/v-po-000420/almiranta?langId=es_ES&tp=1001549&ctre=40000240,"Calle Isabel II, nº 23 36001 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMASAME BAKERY LAB,https://www.turismo.gal/recurso/-/detalle/190912000072/amasame-bakery-lab?langId=es_ES&tp=1001549&ctre=40000240,"Calle Camiño de Ferro, nº 6 36003 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN TROPICAL BURGUER,https://www.turismo.gal/recurso/-/detalle/v-po-004191/american-tropical-burguer?langId=es_ES&tp=1001549&ctre=40000240,"Calle Cruz Roja, nº 16 36002 Pontevedra - Pontevedra",Café bar,,,LUISALEXISPUNTACANA@GMAIL.COM,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,https://www.turismo.gal/recurso/-/detalle/v-po-006499/andorra?langId=es_ES&tp=1001549&ctre=40000240,C/SANTA CLARA 37 0 Pontevedra - Pontevedra,Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXEMI,https://www.turismo.gal/recurso/-/detalle/160309000030/anxemi?langId=es_ES&tp=1001549&ctre=40000240,"Calle ROSALIA DE CASTRO, nº 48 36004 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXEMI,https://www.turismo.gal/recurso/-/detalle/220609000055/anxemi?langId=es_ES&tp=1001549&ctre=40000240,"Eduardo Pondal, nº 38 36003 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APALAOOSA S.L.,https://www.turismo.gal/recurso/-/detalle/24252/apalaoosa-s.l.?langId=es_ES&tp=85&ctre=172,36158 Pontevedra - Pontevedra,Empresas de actividades deportivas,,+34 986 858 577,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTAMENTOS ÁNIMAS,https://www.turismo.gal/recurso/-/detalle/221110000104/apartamentos-animas?langId=es_ES&tp=68&ctre=130,"Calle Ánimas, nº 3 36001 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,,,,"42º 25' 56.5"" N - 8º 38' 41.5"" W",,Camino Portugués,,,,,Plazas totales calculadas: 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTAMENTOS CASAS Á BEIRA,https://www.turismo.gal/recurso/-/detalle/190911000051/apartamentos-casas-a-beira?langId=es_ES&tp=68&ctre=130,"Calle Gorgullón, nº 48 36001 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 687 776 233,agv.iccp@gmail.com,,"42º 25' 26.2"" N - 8º 38' 14.1"" W",,Camino Portugués | Camino Portugués de la costa,,,,,Plazas totales calculadas: 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTAMENTOS NUMEN,https://www.turismo.gal/recurso/-/detalle/240726000506/apartamentos-numen?langId=es_ES&tp=68&ctre=130,"Calle Da Seca, nº 13 36002 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,,apartamentosmiramarsanxenxo@gmail.com,https://numenapartamentos.com/,"42º 25' 54.6"" N - 8º 38' 03.2"" W",https://numenapartamentos.com/,Camino Portugués,,,,,Plazas totales calculadas: 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/280382493/area-de-pontevedra?langId=es_ES&tp=42&ctre=1000260,"Calle Jose Malvar Figueroa - Urbanizacion Tafisa, nº s/n 36002 Pontevedra - Pontevedra",Áreas de Autocaravanas,,,,,"42º 26' 00.4"" N - 8º 38' 08.2"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,"Desde la AP-9/E-1, tomar la salida 129, o entrando por el norte,  bordear el río por el Paseo Domingo Fontán hasta pasar el Pabellón de Deportes y el Palacio de la Cultura. Cruzar el río por el puente de tirantes y al otro lado a la izquierda está el área. | Entrando por el sur de la ciudad, tomar la Rúa Jose Malvar Figueroa y al final de la calle pasar el cruce con semáforo y en la siguiente rotonda coger la 1 salida.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREPA`S GASTRO BAR,https://www.turismo.gal/recurso/-/detalle/v-po-008951/arepa-s-gastro-bar-?langId=es_ES&tp=1001549&ctre=40000240,"Calle Real, nº 19 Pontevedra - Pontevedra",Café bar,,,arepasgastrobar@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARRONDO,https://www.turismo.gal/recurso/-/detalle/v-po-006846/arrondo?langId=es_ES&tp=1001549&ctre=40000240,"LOUREIRO CRESPO, 53 4 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS GREAS,https://www.turismo.gal/recurso/-/detalle/v-po-007975/as-greas?langId=es_ES&tp=1001549&ctre=40000240,"Praza Da Leña, nº 1 36002 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASADOR O BURGO,https://www.turismo.gal/recurso/-/detalle/r-po-002783/asador-o-burgo?langId=es_ES&tp=24&ctre=142,"MARTÍN CODAX, 34 0 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASADOR A COFRADIA,https://www.turismo.gal/recurso/-/detalle/278516988/asador-a-cofradia?langId=es_ES&tp=24&ctre=142,"Ponte Novo, nº 31 baixo 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,,"42º 25' 42.4"" N - 8º 38' 59.4"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASADOR MONTECELO,https://www.turismo.gal/recurso/-/detalle/r-po-003518/asador-montecelo?langId=es_ES&tp=24&ctre=142,AVDA. DE MONTECELO NÚM. 23 BX.A 36161 Pontevedra - Pontevedra,Restaurante,4ª Categoría - 1 Tenedor,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASADOR O FANAL,https://www.turismo.gal/recurso/-/detalle/8928/asador-o-fanal?langId=es_ES&tp=24&ctre=142,"Calle Arzobispo Malvar, nº 28 36002 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 896 606,,,"42º 26' 05.8"" N - 8º 38' 45.0"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASADOR OITAVEN,https://www.turismo.gal/recurso/-/detalle/266408510/asador-oitaven?langId=es_ES&tp=24&ctre=142,"Lg. Cancela , nº 2 36143 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,,"42º 24' 05.0"" N - 8º 38' 17.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASADOR VIRGEN DEL CAMINO,https://www.turismo.gal/recurso/-/detalle/29123/asador-virgen-del-camino?langId=es_ES&tp=24&ctre=142,"Calle Virgen del Camino, nº 53 - 55 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 697 492 990,contabilidad@hotelvirgendelcamino.com,,"42º 25' 39.1"" N - 8º 38' 23.6"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHE RESTOBAR,https://www.turismo.gal/recurso/-/detalle/15567/ashe-restobar?langId=es_ES&tp=24&ctre=142,"Avenida María Victoria Moreno, nº 53 36002 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 851 575,jose@campolongo.es,,"42º 25' 32.7"" N - 8º 38' 52.0"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLÁNTICO,https://www.turismo.gal/recurso/-/detalle/32425/atlantico?langId=es_ES&tp=24&ctre=142,"Calle FERNANDO OLMEDO, nº 38 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 861 551,info@hostalatlantico.es,http://www.hostalatlantico.es/,"42º 25' 50.8"" N - 8º 38' 11.9"" W",http://www.hostalatlantico.es/,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
