nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información,distancia,soles_repsol,estrellas_michelin,situacion_visitas,municipio
BULEZEN URBAN HOSTEL,https://www.turismo.gal/recurso/-/detalle/220718000389/bulezen-urban-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle García Camba, nº 12 36001 Pontevedra - Pontevedra",Albergue Turístico,,+34 886 060 247,bulezenurbanhostel@gmail.com,Donde alojarse,"42º 25' 46.6"" N - 8º 38' 38.5"" W",mailto:bulezenurbanhostel@gmail.com,Admite tarjetas de crédito | Agua caliente | Aire Acond. en habitaciones | Aire acondicionado | Almacén bicicletas | Biblioteca | Calefacción central | Cocina | Comedor | Duchas | Edificio histórico | Frigorífico | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Lavadero | Lavadora | Lavadora y Secadora de pago | Lavandería | Máquina de café | Máquina de refrescos | Microondas | Recepción | Salón de estar | Secador pelo en habitaciones | Se habla inglés | Taquillas | Tendedero | Toallas y jabón,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
CAMIÑO REAL,https://www.turismo.gal/recurso/-/detalle/36732/camino-real?langId=es_ES&tp=67&ctre=135,nº 70 36152 Pontevedra - Pontevedra,Pensión,2 estrellas,,,Donde alojarse,"42º 28' 17.7"" N - 8º 38' 23.6"" W",,Calefacción central | Calefacción individual | Jardín terraza | TV en habitaciones,,,,Camino Portugués | Camino Portugués de la costa,,,,Teléfono,,,,,,,,,,,Pontevedra
CAMPANIOLA,https://www.turismo.gal/recurso/-/detalle/268790691/campaniola?langId=es_ES&tp=22&ctre=129,"Calle Cabaleiro , nº 35 36157 Pontevedra - Pontevedra",Hotel,2 Estrellas,,info@campaniola.es,Donde alojarse,"42º 27' 50.4"" N - 8º 39' 55.5"" W",mailto:info@campaniola.es,Admite perros | Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler de bicicletas | Ascensor | Bar-Cafetería | Calefacción individual | Garaje gratuito | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jacuzzi | Jardín terraza | Parking de superficie | Piscina | Sala de Reuniones | Sauna | Secador pelo en habitaciones | Servicio de fax | Spa | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CASA BRAVO,https://www.turismo.gal/recurso/-/detalle/259612197/casa-bravo?langId=es_ES&tp=71&ctre=134,nº 2 36152 Pontevedra - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 866 480,miguel@casaobravo.com,Donde alojarse,"42º 28' 00.0"" N - 8º 37' 47.9"" W",mailto:miguel@casaobravo.com,Agricultura ecológica | Aparcamiento | Barbacoa | Camas supletorias | Comedor | Cunas | Derecho a cocina | Instalaciones para niños | Internet - Wi-Fi | Jardín / Huerta | Lavadora disponible – Lavandería | Prohibido fumar | Salón | Se habla francés | Se habla inglés | Tareas agropecuarias | Tarjetas de crédito (consultar) | Televisión común | Televisor en habitaciones,,Habitación: Habitaciones dobles | Número de cuartos: 3 | Número de plazas: 6,,Camino Portugués | Camino Portugués de la costa,La casa se puede alquilar completa,,,,,,,,,,,,,,Pontevedra
PENSIÓN APARTAMENTO DE UNHA ESTRELA,https://www.turismo.gal/recurso/-/detalle/250414000440/pension-apartamento-de-unha-estrela-?langId=es_ES&tp=67&ctre=135,"Lugar Ponte Sampaio, nº 12 36690 Pontevedra - Pontevedra",Pensión,1 estrella,,j.estevezpazos@gmail.com,Donde alojarse,"42º 20' 55.1"" N - 8º 36' 26.5"" W",mailto:hostelalberguepontesampaio@gmail.com,,,,,,,,,,,,,,,,,,,,Pontevedra
CASA MARUXA,https://www.turismo.gal/recurso/-/detalle/258798160/casa-maruxa?langId=es_ES&tp=67&ctre=135,"Avenida Santa María , nº 12 36002 Pontevedra - Pontevedra",Pensión,1 estrella,,casamarujapontevedra@gmail.com,Donde alojarse,"42º 25' 57.6"" N - 8º 38' 49.7"" W",mailto:casamarujapontevedra@gmail.com,Calefacción central | TV en habitaciones,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
CORINTO,https://www.turismo.gal/recurso/-/detalle/32012/corinto?langId=es_ES&tp=22&ctre=129,nº 27 36157 Pontevedra - Pontevedra,Hotel,1 Estrella,+34 986 870 345,restaurantecorinto@hotmail.com,Donde alojarse,"42º 27' 51.9"" N - 8º 38' 31.7"" W",mailto:restaurantecorinto@hotmail.com,Admite perros | Admite tarjetas de crédito | Área de juegos para niños | Bar-Cafetería | Calefacción central | Garaje gratuito | Habitaciones familiares | Internet / wifi en zonas comunes | Jardín terraza | Parking de superficie | Sala de Reuniones | Se habla inglés | Servicio de fax | TV en habitaciones,Comida o cena | Desayuno,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
DABARCA,https://www.turismo.gal/recurso/-/detalle/36080/dabarca?langId=es_ES&tp=22&ctre=129,"Calle Palamios , nº 6 36001 Pontevedra - Pontevedra",Hotel,3 Estrellas,+34 986 869 723,info@hoteldabarca.com,Donde alojarse,"42º 25' 45.9"" N - 8º 38' 58.2"" W",mailto:info@hoteldabarca.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción individual | Garaje de pago | Hab. fumadores / no fumadores | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Minibar | Secador pelo en habitaciones | Se habla alemán | Se habla francés | Se habla inglés | Servicio de fax | Servicio de secretaría | Teléfono en habitaciones | Traducción de documentos | TV en habitaciones,,,,Camino Portugués | Camino Portugués de la costa,,Grado de Accesibilidad: Practicable | Documentos de accesibilidad (2018): | Descargue este documento,,,,,,,,,,,,,Pontevedra
DPASO URBAN GUEST,https://www.turismo.gal/recurso/-/detalle/240315000291/dpaso-urban-guest?langId=es_ES&tp=67&ctre=135,"Calle Gorgullón, nº 27 36003 Pontevedra - Pontevedra",Pensión,1 estrella,,reservas@dpasohostel.es,Donde alojarse,"42º 25' 31.8"" N - 8º 38' 15.7"" W",mailto:reservas@dpasohostel.es,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
DPASO URBAN HOSTEL,https://www.turismo.gal/recurso/-/detalle/200512000034/dpaso-urban-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Gorgullón, nº 16 36003 Pontevedra - Pontevedra",Albergue Turístico,,+34 653 548 059,gestion@dpasohostel.es,Donde alojarse,"42º 25' 32.9"" N - 8º 38' 16.8"" W",mailto:gestion@dpasohostel.es,Admite tarjetas de crédito | Agua caliente | Aire Acond. en habitaciones | Aire acondicionado | Antena parabólica | Cocina | Cocina sin utensilios | Comedor | Duchas | Frigorífico | Internet en habitaciones / wifi | Lavadero | Lavadora | Lavadora y Secadora de pago | Lavandería | Máquina de café | Máquina de refrescos | Microondas | Recepción | Salón de estar | Secador pelo en habitaciones | Taquillas | Tendedero | Toallas y jabón,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
FLORIDA,https://www.turismo.gal/recurso/-/detalle/38022/florida?langId=es_ES&tp=67&ctre=135,"R/ GARCÍA CAMBA, 11 36001 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 851 979,,Donde alojarse,"42º 25' 47.3"" N - 8º 38' 37.5"" W",,Calefacción central,,,,Camino Portugués | Camino Portugués de la costa,,,,Teléfono,,,,,,,,,,,Pontevedra
GALICIA PALACE,https://www.turismo.gal/recurso/-/detalle/88/galicia-palace?langId=es_ES&tp=22&ctre=129,"Avenida de Vigo , nº 3 36003 Pontevedra - Pontevedra",Hotel,4 Estrellas,+34 986 864 411,reservas@galiciapalace.com,Donde alojarse,"42º 25' 37.7"" N - 8º 38' 27.6"" W",mailto:reservas@galiciapalace.com,Admite perros | Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler equipos audiovisuales | Antena parabólica | Ascensor | Bar-Cafetería | Calefacción central | Calefacción individual | Garaje de pago | Hab. fumadores / no fumadores | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Minibar | Sala de Reuniones | Salón de convenciones | Secador pelo en habitaciones | Se habla alemán | Se habla francés | Se habla inglés | Servicio de fax | Servicio de habitaciones 24 h. | Teléfono en habitaciones | Traducción simultánea | TV en habitaciones,Cena | Desayuno | Media pensión,,,Camino Portugués | Camino Portugués de la costa,,,,Acceso Internet | Área de recepción | Azafatas | Fax | Fotocopiadora | Grabación sonido | Guardarropa | Megafonía | Pantallas | Pasarela-desfile | Pizarra de papel | Podiums | Proyectores | Relaciones públicas | Salones divisibles | Servicio de seguridad | Tablones de anuncios | Vídeo,,,"Nombre | Superficie | Altura | Clase | Cóctel | Restaurante | Teatro | Sala C 37 3,3 20 30 26 30 | Sala B 150 3,3 60 150 120 150 | Sala A 260 3,3 180 380 225 275",,,,,,,,Pontevedra
GBC HOSTEL,https://www.turismo.gal/recurso/-/detalle/200630000521/gbc-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle do Gorgullón, nº 72 36003 Pontevedra - Pontevedra",Albergue Turístico,,,,Donde alojarse,"42º 25' 19.6"" N - 8º 38' 13.1"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
HOSTAL ACOLÁ ROOMS,https://www.turismo.gal/recurso/-/detalle/200717000371/hostal-acola-rooms?langId=es_ES&tp=67&ctre=135,"Calle Ferreiros, nº 22 36002 Pontevedra - Pontevedra",Pensión,2 estrellas,,albergue@acolahostel.com,Donde alojarse,"42º 25' 57.4"" N - 8º 38' 55.7"" W",mailto:albergue@acolahostel.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
HOSTEL ACOLÁ,https://www.turismo.gal/recurso/-/detalle/180615000321/hostel-acola?langId=es_ES&tp=1000100&ctre=1000120,"Calle ARZOBISPO MALVAR, nº 15 36002 Pontevedra - Pontevedra",Albergue Turístico,,+34 678 680 758,albergue@acolahostel.com,Donde alojarse,"42º 26' 02.4"" N - 8º 38' 53.3"" W",mailto:albergue@acolahostel.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
HOSTEL ACOLÁ SPORT,https://www.turismo.gal/recurso/-/detalle/190423000320/hostel-acola-sport?langId=es_ES&tp=1000100&ctre=1000120,"Calle Arcebispo Malvar, nº 11 36002 Pontevedra - Pontevedra",Albergue Turístico,,+34 678 680 758,albergue@acolahostel.com,Donde alojarse,"42º 26' 00.1"" N - 8º 38' 53.4"" W",mailto:albergue@acolahostel.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
HOSTEL ALBERGUE O MESON PONTESAMPAIO,https://www.turismo.gal/recurso/-/detalle/190426000372/hostel-albergue-o-meson-pontesampaio?langId=es_ES&tp=1000100&ctre=1000120,"Lugar Mesón, nº 12 36690 Pontevedra - Pontevedra",Albergue Turístico,,+34 986 670 165,hostelalberguepontesampaio@gmail.com,Donde alojarse,"42º 20' 55.8"" N - 8º 36' 26.5"" W",mailto: hostelalberguepontesampaio@gmail.com,Admite tarjetas de crédito | Agua caliente | Aire Acond. en habitaciones | Aire acondicionado | Almacén bicicletas | Bar-Cafetería | Botiquín | Calefacción central | Cocina | Comedor | Duchas | Edificio histórico | Frigorífico | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavadero | Lavadora | Lavadora y Secadora de pago | Lavandería | Máquina de café | Microondas | Recepción | Restaurante | Salón de estar | Secador pelo en habitaciones | Se habla inglés | Supermercado | Taquillas | Teléfono | Tendedero | Tiendas,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
HOSTEL CHARINO,https://www.turismo.gal/recurso/-/detalle/220707000178/hostel-charino?langId=es_ES&tp=1000100&ctre=1000120,"Calle Paio Gómez Charino, nº 19 36002 Pontevedra - Pontevedra",Albergue Turístico,,,reservas@hostelcharino.com,Donde alojarse,"42º 25' 58.7"" N - 8º 38' 47.1"" W",mailto:reservas@hostelcharino.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
HOTEL ALDA CENTRO PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/2499/hotel-alda-centro-pontevedra?langId=es_ES&tp=22&ctre=129,"Avenida González Besada, nº 3 36001 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 986 851 217,info@hcomercio.com,Donde alojarse,"42º 25' 44.5"" N - 8º 38' 43.9"" W",mailto:info@hcomercio.com,Admite tarjetas de crédito | Aire Acond. en habitaciones | Antena parabólica | Ascensor | Bar-Cafetería | Calefacción central | Cambio de moneda | Internet en habitaciones / wifi | Servicio de fax | Servicio de habitaciones 24 h. | Teléfono en habitaciones | TV en habitaciones,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LA FONDA,https://www.turismo.gal/recurso/-/detalle/230116000062/la-fonda?langId=es_ES&tp=67&ctre=135,"Calle Isabel II, nº 6 36002 Pontevedra - Pontevedra",Pensión,2 estrellas,,info@lafondapontevedra.com,Donde alojarse,"42º 26' 00.6"" N - 8º 38' 43.8"" W",mailto:info@lafondapontevedra.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA RÍA,https://www.turismo.gal/recurso/-/detalle/258700146/la-ria?langId=es_ES&tp=67&ctre=135,"Areal, 5 - Praceres (Lourizán) 36910 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 881 716,,Donde alojarse,"42º 24' 21.4"" N - 8º 40' 58.7"" W",,Calefacción central,,,,Camino Portugués | Camino Portugués de la costa,,,,Teléfono,,,,,,,,,,,Pontevedra
MADRID,https://www.turismo.gal/recurso/-/detalle/2273/madrid?langId=es_ES&tp=22&ctre=129,"Calle Andrés Mellado , nº 5 36001 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 986 865 180,contacto@hotelmadrid.org,Donde alojarse,"42º 25' 43.3"" N - 8º 38' 36.8"" W",mailto:contacto@hotelmadrid.org,Admite perros | Admite tarjetas de crédito | Aire acondicionado | Ascensor | Bar-Cafetería | Calefacción central | Garaje de pago | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Sala de Reuniones | Salón de estar | Secador pelo en habitaciones | Se habla inglés | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
MARGO,https://www.turismo.gal/recurso/-/detalle/280383416/margo?langId=es_ES&tp=67&ctre=135,"Calle Marqués de Riestra, nº 4 36001 Pontevedra - Pontevedra",Pensión,1 estrella,,,Donde alojarse,"42º 25' 47.1"" N - 8º 38' 45.1"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
NACAMA HOSTEL,https://www.turismo.gal/recurso/-/detalle/190819000159/nacama-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Lavandeiras, nº 1 36003 Pontevedra - Pontevedra",Albergue Turístico,,,info@nacamahostel.es,Donde alojarse,"42º 25' 35.7"" N - 8º 38' 20.1"" W",mailto:info@nacamahostel.es,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
NUMA EXPERIMENTAL,https://www.turismo.gal/recurso/-/detalle/230109000038/numa-experimental?langId=es_ES&tp=22&ctre=129,"Camino Valadiña, nº 3 36158 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 654 260 389,siempresaleelsolsl@gmail.com,Donde alojarse,"42º 24' 16.2"" N - 8º 37' 29.5"" W",mailto:siempresaleelsolsl@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
O ROXO,https://www.turismo.gal/recurso/-/detalle/37394/o-roxo?langId=es_ES&tp=67&ctre=135,"PZA. IGREXA-PLACERES, S/N - LOURIZÁN 36910 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 882 818,roxo@gmx.es,Donde alojarse,"42º 24' 17.1"" N - 8º 41' 01.7"" W",mailto:roxo@gmx.es,Antena parabólica | Área de juegos para niños | Bar-Cafetería | Calefacción central | Hab. fumadores / no fumadores | Habitaciones familiares | Parking de superficie | TV en habitaciones,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
"PALOMA, LA",https://www.turismo.gal/recurso/-/detalle/37905/paloma-la?langId=es_ES&tp=22&ctre=129,"Calle da Pomba , nº 11 36162 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 986 844 211 / +34 986 844 210 / +34 986 844 210,hotellapalomapo@hotmail.com,Donde alojarse,"42º 26' 15.0"" N - 8º 37' 18.3"" W",mailto:hotellapalomapo@hotmail.com,,Desayuno,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
PARADORES DE TURISMO DE ESPAÑA -PARADOR DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/312/paradores-de-turismo-de-espana-parador-de-pontevedra?langId=es_ES&tp=22&ctre=129,"Calle BARÓN, nº 19 36002 Pontevedra - Pontevedra",Hotel,4 Estrellas,+34 986 855 800,Meritxell.marcos@pareador.es,Donde alojarse,"42º 26' 03.0"" N - 8º 38' 46.3"" W",mailto:Meritxell.marcos@pareador.es,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler equipos audiovisuales | Antena parabólica | Ascensor | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Cambio de moneda | Edificio histórico | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Lavandería | Minibar | Restaurante | Sala de Reuniones | Salón de convenciones | Salón de estar | Secador pelo en habitaciones | Se habla alemán | Se habla francés | Se habla inglés | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Cena | Comida | Comida o cena | Desayuno Buffet | Media pensión | Pensión alimenticia,,,Camino Portugués | Camino Portugués de la costa,,,,Área de recepción | Fax | Fotocopiadora | Guardarropa | Pantallas | Pizarra de papel | Proyectores | Servicio Postal | Tablones de anuncios | Vídeo,,,Nombre | Sala de Juntas,4B | American Express | Dinners Club | Euro Card | Master Card | Multibanco | Red 6000 | ServiRed | Visa,,,,,,,Pontevedra
PEREGRINO,https://www.turismo.gal/recurso/-/detalle/37904/peregrino?langId=es_ES&tp=67&ctre=135,"Calle Ramón Otero Pedrayo, nº 8 36003 Pontevedra - Pontevedra",Pensión,2 estrellas,+34 986 858 409,hostalperegrino.po@gmail.com,Donde alojarse,"42º 25' 11.8"" N - 8º 38' 12.3"" W",mailto:hostalperegrino.po@gmail.com,Admite perros | Alquiler equipos audiovisuales | Antena parabólica | Bar-Cafetería | Caja Fuerte individual | Calefacción central | Calefacción individual | Hab. fumadores / no fumadores | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Parking de superficie | Sala de Reuniones | Se habla inglés | TV en habitaciones,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
PONTELOFT,https://www.turismo.gal/recurso/-/detalle/230801000008/ponteloft?langId=es_ES&tp=68&ctre=130,"Calle Santa Clara, nº 10-12 36002 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 633 860 289,reservas@ponteloft.com,Donde alojarse,"42º 25' 57.4"" N - 8º 38' 26.4"" W",mailto:reservas@ponteloft.com,,,,Plazas totales calculadas: 12,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
PONTEVEDRA CONFORT,https://www.turismo.gal/recurso/-/detalle/38062/pontevedra-confort?langId=es_ES&tp=22&ctre=129,"Calle Mestre Soutullo , nº 2 36001 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 986 109 499 / +34 986 109 499,info@hotelpontevedra.es,Donde alojarse,"42º 25' 43.1"" N - 8º 37' 48.0"" W",mailto:info@hotelpontevedra.es,Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Antena parabólica | Ascensor | Bar-Cafetería | Calefacción central | Calefacción individual | Garaje de pago | Garaje gratuito | Hab. fumadores / no fumadores | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Parking de superficie | Sala de Reuniones | Secador pelo en habitaciones | Servicio de fax | Servicio de habitaciones 24 h. | Teléfono en habitaciones | TV en habitaciones,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
