nombre,link,direccion,tipo,categoria,telefono,email
OFICINA DE TURISMO O CASAL DE FERREIRÓS,https://www.turismo.gal/recurso/-/detalle/19413/oficina-de-turismo-o-casal-de-ferreiros?langId=es_ES&tp=75&ctre=160,"Avenida Andurique, nº 43 36163 Poio - Pontevedra",Municipales,,+34 986 833 204,turismo@concellopoio.org
OFICINA DE TURISMO RÍAS BAIXAS,https://www.turismo.gal/recurso/-/detalle/36050/oficina-de-turismo-rias-baixas?langId=es_ES&tp=75&ctre=1000201,"Plaza Sta. María (Palacete dos Mendozas), nº s/n 36071 Pontevedra - Pontevedra",Punto de información,,+34 886 211 700,info.riasbaixas@depo.es
OFICINA MUNICIPAL DE TURISMO DE A GUARDA,https://www.turismo.gal/recurso/-/detalle/19389/oficina-municipal-de-turismo-de-a-guarda?langId=es_ES&tp=75&ctre=160,"Plaza do Reló, nº 1 36780 A Guarda - Pontevedra",Municipales,,+34 986 614 546,turismo@aguarda.es
OFICINA MUNICIPAL DE TURISMO DE BAIONA,https://www.turismo.gal/recurso/-/detalle/19392/oficina-municipal-de-turismo-de-baiona?langId=es_ES&tp=75&ctre=160,"Calle Arquitecto Jesús Valverde, nº s/n 36300 Baiona - Pontevedra",Municipales,,+34 986 687 067,oficinadeturismo@baiona.gal
OFICINA MUNICIPAL DE TURISMO DE CALDAS DE REIS,https://www.turismo.gal/recurso/-/detalle/19394/oficina-municipal-de-turismo-de-caldas-de-reis?langId=es_ES&tp=75&ctre=160,"Calle Laureano Salgado, nº 10 36650 Caldas de Reis - Pontevedra",Municipales,,,turismo@caldasdereis.gal
OFICINA MUNICIPAL DE TURISMO DE CAMBADOS,https://www.turismo.gal/recurso/-/detalle/19395/oficina-municipal-de-turismo-de-cambados?langId=es_ES&tp=75&ctre=160,"Paseo da calzada, nº s/n 36630 Cambados - Pontevedra",Municipales,,+34 986 520 786,turismo@cambados.es
OFICINA MUNICIPAL DE TURISMO DE CANGAS CASA DA BOLA,https://www.turismo.gal/recurso/-/detalle/19396/oficina-municipal-de-turismo-de-cangas-casa-da-bola?langId=es_ES&tp=75&ctre=160,"Avenida Eugenio Sequeiros, nº 9 36940 Cangas - Pontevedra",Municipales,,+34 986 392 023,turismo@cangas.gal
OFICINA MUNICIPAL DE TURISMO DE CUNTIS,https://www.turismo.gal/recurso/-/detalle/19397/oficina-municipal-de-turismo-de-cuntis?langId=es_ES&tp=75&ctre=160,"Plaza das Árbores, nº s/n 36670 Cuntis - Pontevedra",Municipales,,,turismo@concellodecuntis.es
OFICINA MUNICIPAL DE TURISMO DE GONDOMAR,https://www.turismo.gal/recurso/-/detalle/19399/oficina-municipal-de-turismo-de-gondomar?langId=es_ES&tp=75&ctre=160,"Calle Portugal (Edificio da Casa da Cultura), nº 3 36380 Gondomar - Pontevedra",Municipales,,,oficinadeturismo@concellodegondomar.gal
OFICINA MUNICIPAL DE TURISMO DE LALÍN,https://www.turismo.gal/recurso/-/detalle/19400/oficina-municipal-de-turismo-de-lalin?langId=es_ES&tp=75&ctre=160,"Avenida da Estación, nº s/n 36500 Lalín - Pontevedra",Municipales,,+34 986 787 060,infoturismo@lalin.gal
OFICINA MUNICIPAL DE TURISMO DE MARÍN,https://www.turismo.gal/recurso/-/detalle/19402/oficina-municipal-de-turismo-de-marin?langId=es_ES&tp=75&ctre=160,"Plaza de España, nº s/n 36900 Marín - Pontevedra",Municipales,,,marinturismoconcello@gmail.com
OFICINA MUNICIPAL DE TURISMO DE MOAÑA,https://www.turismo.gal/recurso/-/detalle/19403/oficina-municipal-de-turismo-de-moana?langId=es_ES&tp=75&ctre=160,"Calle As Barxas, nº s/n 36950 Moaña - Pontevedra",Municipales,,,turismoconcellodemoana@gmail.com
OFICINA MUNICIPAL DE TURISMO DE O GROVE,https://www.turismo.gal/recurso/-/detalle/19407/oficina-municipal-de-turismo-de-o-grove?langId=es_ES&tp=75&ctre=160,"Plaza O Corgo, nº s/n 36980 O Grove - Pontevedra",Municipales,,+34 986 731 415,oftur@concellodogrove.es
PUNTO DE INFORMACIÓN TURÍSTICA DE DENA (MEAÑO),https://www.turismo.gal/recurso/-/detalle/277237908/punto-de-informacion-turistica-de-dena-meano-?langId=es_ES&tp=75&ctre=1000201,"Plaza Nova, nº s/n 36967 Meaño - Pontevedra",Punto de información,,,turismo@concellodemeano.com
PUNTO DE INFORMACIÓN TURÍSTICA O PEIRAO,https://www.turismo.gal/recurso/-/detalle/33277/punto-de-informacion-turistica-o-peirao?langId=es_ES&tp=75&ctre=1000201,"Estación de Autobuses, nº s/n 36940 Cangas - Pontevedra",Punto de información,,+34 986 300 875,turismo@cangas.gal
