nombre,link,direccion,tipo,categoria,telefono,email,web
A DEVESA 7,https://www.turismo.gal/recurso/-/detalle/v-po-008712/a-devesa-7?langId=es_ES&tp=1001549&ctre=40000240,"LOUREIRO CRESPO - ESQUINA RUA DA HISTORIA,S/N 0 Pontevedra - Pontevedra",Café bar,,,,https://www.adeves.es/
A DEVESA MONTEPORREIRO,https://www.turismo.gal/recurso/-/detalle/200415000117/a-devesa-monteporreiro?langId=es_ES&tp=1001549&ctre=40000240,"Calle Italia - Monteporreiro, nº 35 36162 Pontevedra - Pontevedra",Café bar,,,,http://www.adeves.es/
A FERVELLA,https://www.turismo.gal/recurso/-/detalle/210311001197/a-fervella?langId=es_ES&tp=1001549&ctre=40000240,"Praza de Abastos Pontevedra, nº Posto 24B-26B 36001 Pontevedra - Pontevedra",Café bar,,,,
A FRACHA,https://www.turismo.gal/recurso/-/detalle/180112000101/a-fracha?langId=es_ES&tp=4&ctre=16,Pontevedra - Pontevedra,Área de recreo,,,,
A MURALLA,https://www.turismo.gal/recurso/-/detalle/11601/a-muralla?langId=es_ES&tp=24&ctre=142,"Michelena, 20 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 854 868,,
A NOSA NASA,https://www.turismo.gal/recurso/-/detalle/180216000154/a-nosa-nasa?langId=es_ES&tp=24&ctre=142,"Calle Da Santiña, nº 35 36005 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 606 181 164,xefe@xefedabirra.com,
A PARRILLA,https://www.turismo.gal/recurso/-/detalle/269855350/a-parrilla?langId=es_ES&tp=24&ctre=142,"Uxío Novoneira, 3 36003 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 864 814,,
A POLBERIA,https://www.turismo.gal/recurso/-/detalle/191017000193/a-polberia?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sierra (Mercado de Abastos), nº 5 - Posto 23 B 36003 Pontevedra - Pontevedra",Café bar,,,,
A PONTE,https://www.turismo.gal/recurso/-/detalle/11675/a-ponte?langId=es_ES&tp=24&ctre=142,36154 Pontevedra - Pontevedra,Restaurante,4ª Categoría - 1 Tenedor,+34 986 856 045,,
A ROMANA,https://www.turismo.gal/recurso/-/detalle/v-po-009396/a-romana?langId=es_ES&tp=1001549&ctre=40000240,nº 23 36690 Pontevedra - Pontevedra,Café bar,,,,
A TABERNA ZENTOLA,https://www.turismo.gal/recurso/-/detalle/c-po-001167/a-taberna-zentola?langId=es_ES&tp=1001550&ctre=40000242,"RÚA CHARIÑO, 5, BAIXO 36002 Pontevedra - Pontevedra",Cafetería,,,locales@negocioagil.es,https://tabernazentola.com/
A XANELA,https://www.turismo.gal/recurso/-/detalle/220830000276/a-xanela?langId=es_ES&tp=67&ctre=135,"Plaza da Verdura, nº 5 36002 Pontevedra - Pontevedra",Pensión,1 estrella,,manuel.suarez.amoedo@gmail.com,
AÇAÍ CONCEPT,https://www.turismo.gal/recurso/-/detalle/250624000452/ac-ai-concept?langId=es_ES&tp=1001549,"Calle Lepanto, nº 1 36001 Pontevedra - Pontevedra",Café Bar,,,eva.souto@idanet.es,
ACUÑA,https://www.turismo.gal/recurso/-/detalle/v-po-002826/acuna?langId=es_ES&tp=1001549&ctre=40000240,"Sagasta, nº 16 36001 Pontevedra - Pontevedra",Café bar,,,,
ACUÑA,https://www.turismo.gal/recurso/-/detalle/v-po-009758/acuna?langId=es_ES&tp=1001549&ctre=40000240,"RUA ANDRES MURUAIS, 12 36001 Pontevedra - Pontevedra",Café bar,,,,
ACUÑA - 5,https://www.turismo.gal/recurso/-/detalle/v-po-009176/acuna-5?langId=es_ES&tp=1001549&ctre=40000240,"RÚA MICHELENA, 32 0 Pontevedra - Pontevedra",Café bar,,,,
ACUÑA 4,https://www.turismo.gal/recurso/-/detalle/v-po-005756/acuna-4?langId=es_ES&tp=1001549&ctre=40000240,R/JOAQUIN COSTA 37 PONTEVEDRA 0 Pontevedra - Pontevedra,Café bar,,,,
ACUÑA 9,https://www.turismo.gal/recurso/-/detalle/161103000010/acuna-9?langId=es_ES&tp=1001549&ctre=40000240,"Calle LOUREIRO CRESPO, nº 26 36004 Pontevedra - Pontevedra",Café bar,,,,
ADEGA DOS AVÓS,https://www.turismo.gal/recurso/-/detalle/16129/adega-dos-avos?langId=es_ES&tp=24&ctre=142,"Calle GUTIÉRREZ MELLADO, nº 6 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 841 561,adega.dos.avos@hotmail.com,
ADEGA DOS AVÓS,https://www.turismo.gal/recurso/-/detalle/c-po-000874/adega-dos-avos?langId=es_ES&tp=1001550&ctre=40000242,"Calle Gutiérrez Mellado, nº 6 36001 Pontevedra - Pontevedra",Cafetería,,,,
AL ANDALUS,https://www.turismo.gal/recurso/-/detalle/v-po-006619/al-andalus?langId=es_ES&tp=1001549&ctre=40000240,RUA ALAMEDA NÚM. 16 BX. 36002 Pontevedra - Pontevedra,Café bar,,,,
ALAMEDA 10,https://www.turismo.gal/recurso/-/detalle/8924/alameda-10?langId=es_ES&tp=24&ctre=142,"Calle ALAMEDA, nº 10 36002 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 857 412,info@restaurantealameda10.com,http://www.restaurantealameda10.com/
ALAMEDA E XARDÍNS DE VICENTI,https://www.turismo.gal/recurso/-/detalle/30880/alameda-e-xardins-de-vicenti?langId=es_ES&tp=5&ctre=18,Gran Vía de Montero Ríos 36001 Pontevedra - Pontevedra,Parque,,,,
ALBERGUE ALOXA HOSTEL,https://www.turismo.gal/recurso/-/detalle/280382457/albergue-aloxa-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Gorgullón, nº 68 36003 Pontevedra - Pontevedra",Albergue Turístico,,,alberguealoxahostel@hotmail.com,https://www.alberguealoxa.com/
ALBERGUE DE PEREGRINOS DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/280380529/albergue-de-peregrinos-de-pontevedra?langId=es_ES&tp=1000100&ctre=1000300,"Calle Otero Pedrayo, nº s/n 36004 Pontevedra - Pontevedra",Albergues del Xacobeo,,,,
ALBERO,https://www.turismo.gal/recurso/-/detalle/34498/albero?langId=es_ES&tp=24&ctre=142,"Calle Campo da Torre , nº 9 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,
ALDA PONTEVEDRA ESTACION,https://www.turismo.gal/recurso/-/detalle/10909/alda-pontevedra-estacion?langId=es_ES&tp=22&ctre=129,"Avenida Eduardo Pondal, nº 76-78 36003 Pontevedra - Pontevedra",Hotel,2 Estrellas,+34 886 300 029,estacionpontevedra@aldahotels.com,https://www.aldahotels.es/alojamientos/hotel-alda-estacion-pontevedra/
ALEJOS,https://www.turismo.gal/recurso/-/detalle/v-po-000478/alejos?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Sebastián, nº 14 36002 Pontevedra - Pontevedra",Café bar,,,tonivazquez4@gmail.com,
ALICIA,https://www.turismo.gal/recurso/-/detalle/259322522/alicia?langId=es_ES&tp=67&ctre=135,"LG. STA. MARÍA, 5-1º 36002 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 857 079,,
ALMIRANTA,https://www.turismo.gal/recurso/-/detalle/v-po-000420/almiranta?langId=es_ES&tp=1001549&ctre=40000240,"Calle Isabel II, nº 23 36001 Pontevedra - Pontevedra",Café bar,,,,
AMASAME BAKERY LAB,https://www.turismo.gal/recurso/-/detalle/190912000072/amasame-bakery-lab?langId=es_ES&tp=1001549&ctre=40000240,"Calle Camiño de Ferro, nº 6 36003 Pontevedra - Pontevedra",Café bar,,,,
AMERICAN TROPICAL BURGUER,https://www.turismo.gal/recurso/-/detalle/v-po-004191/american-tropical-burguer?langId=es_ES&tp=1001549&ctre=40000240,"Calle Cruz Roja, nº 16 36002 Pontevedra - Pontevedra",Café bar,,,LUISALEXISPUNTACANA@GMAIL.COM,
ANDORRA,https://www.turismo.gal/recurso/-/detalle/v-po-006499/andorra?langId=es_ES&tp=1001549&ctre=40000240,C/SANTA CLARA 37 0 Pontevedra - Pontevedra,Café bar,,,,
ANXEMI,https://www.turismo.gal/recurso/-/detalle/160309000030/anxemi?langId=es_ES&tp=1001549&ctre=40000240,"Calle ROSALIA DE CASTRO, nº 48 36004 Pontevedra - Pontevedra",Café bar,,,,
ANXEMI,https://www.turismo.gal/recurso/-/detalle/220609000055/anxemi?langId=es_ES&tp=1001549&ctre=40000240,"Eduardo Pondal, nº 38 36003 Pontevedra - Pontevedra",Café bar,,,,
APALAOOSA S.L.,https://www.turismo.gal/recurso/-/detalle/24252/apalaoosa-s.l.?langId=es_ES&tp=85&ctre=172,36158 Pontevedra - Pontevedra,Empresas de actividades deportivas,,+34 986 858 577,,
APARTAMENTOS ÁNIMAS,https://www.turismo.gal/recurso/-/detalle/221110000104/apartamentos-animas?langId=es_ES&tp=68&ctre=130,"Calle Ánimas, nº 3 36001 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,,,
APARTAMENTOS CASAS Á BEIRA,https://www.turismo.gal/recurso/-/detalle/190911000051/apartamentos-casas-a-beira?langId=es_ES&tp=68&ctre=130,"Calle Gorgullón, nº 48 36001 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 687 776 233,agv.iccp@gmail.com,
APARTAMENTOS NUMEN,https://www.turismo.gal/recurso/-/detalle/240726000506/apartamentos-numen?langId=es_ES&tp=68&ctre=130,"Calle Da Seca, nº 13 36002 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,,apartamentosmiramarsanxenxo@gmail.com,https://numenapartamentos.com/
ÁREA DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/280382493/area-de-pontevedra?langId=es_ES&tp=42&ctre=1000260,"Calle Jose Malvar Figueroa - Urbanizacion Tafisa, nº s/n 36002 Pontevedra - Pontevedra",Áreas de Autocaravanas,,,,
AREPA`S GASTRO BAR,https://www.turismo.gal/recurso/-/detalle/v-po-008951/arepa-s-gastro-bar-?langId=es_ES&tp=1001549&ctre=40000240,"Calle Real, nº 19 Pontevedra - Pontevedra",Café bar,,,arepasgastrobar@gmail.com,
ARRONDO,https://www.turismo.gal/recurso/-/detalle/v-po-006846/arrondo?langId=es_ES&tp=1001549&ctre=40000240,"LOUREIRO CRESPO, 53 4 Pontevedra - Pontevedra",Café bar,,,,
AS GREAS,https://www.turismo.gal/recurso/-/detalle/v-po-007975/as-greas?langId=es_ES&tp=1001549&ctre=40000240,"Praza Da Leña, nº 1 36002 Pontevedra - Pontevedra",Café bar,,,,
ASADOR O BURGO,https://www.turismo.gal/recurso/-/detalle/r-po-002783/asador-o-burgo?langId=es_ES&tp=24&ctre=142,"MARTÍN CODAX, 34 0 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,
ASADOR A COFRADIA,https://www.turismo.gal/recurso/-/detalle/278516988/asador-a-cofradia?langId=es_ES&tp=24&ctre=142,"Ponte Novo, nº 31 baixo 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,
ASADOR MONTECELO,https://www.turismo.gal/recurso/-/detalle/r-po-003518/asador-montecelo?langId=es_ES&tp=24&ctre=142,AVDA. DE MONTECELO NÚM. 23 BX.A 36161 Pontevedra - Pontevedra,Restaurante,4ª Categoría - 1 Tenedor,,,
ASADOR O FANAL,https://www.turismo.gal/recurso/-/detalle/8928/asador-o-fanal?langId=es_ES&tp=24&ctre=142,"Calle Arzobispo Malvar, nº 28 36002 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 896 606,,
ASADOR OITAVEN,https://www.turismo.gal/recurso/-/detalle/266408510/asador-oitaven?langId=es_ES&tp=24&ctre=142,"Lg. Cancela , nº 2 36143 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,
ASADOR VIRGEN DEL CAMINO,https://www.turismo.gal/recurso/-/detalle/29123/asador-virgen-del-camino?langId=es_ES&tp=24&ctre=142,"Calle Virgen del Camino, nº 53 - 55 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 697 492 990,contabilidad@hotelvirgendelcamino.com,
ASHE RESTOBAR,https://www.turismo.gal/recurso/-/detalle/15567/ashe-restobar?langId=es_ES&tp=24&ctre=142,"Avenida María Victoria Moreno, nº 53 36002 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 851 575,jose@campolongo.es,
ATLÁNTICO,https://www.turismo.gal/recurso/-/detalle/32425/atlantico?langId=es_ES&tp=24&ctre=142,"Calle FERNANDO OLMEDO, nº 38 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 861 551,info@hostalatlantico.es,http://www.hostalatlantico.es/
ATLÁNTICO,https://www.turismo.gal/recurso/-/detalle/32506/atlantico?langId=es_ES&tp=67&ctre=135,"R/ PADRE FERNANDO OLMEDO, 38 36002 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 861 551,info@hostalatlantico.es,http://www.hostalatlantico.es/
ATREVIDO,https://www.turismo.gal/recurso/-/detalle/v-po-000970/atrevido?langId=es_ES&tp=1001549&ctre=40000240,R/HERREROS 8 0 Pontevedra - Pontevedra,Café bar,,,,
AVENIDA,https://www.turismo.gal/recurso/-/detalle/210601000022/avenida?langId=es_ES&tp=1001549&ctre=40000240,"Calle Eduardo Pondal, nº 46 36003 Pontevedra - Pontevedra",Café bar,,,,
AVENIDA,https://www.turismo.gal/recurso/-/detalle/2272/avenida?langId=es_ES&tp=22&ctre=129,"Calle Eduardo Pondal, nº 46 36003 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 986 857 784,Reservas@avenidahotel.net,http://www.avenidahotel.net/
AZAHAR,https://www.turismo.gal/recurso/-/detalle/v-po-008282/azahar?langId=es_ES&tp=1001549&ctre=40000240,"Calle Pintor Manuel Colmeiro, nº 2 3003 Pontevedra - Pontevedra",Café bar,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/274955422/b-travel?langId=es_ES&tp=73&ctre=153,"GRAN VIA, nº 31 36211 Pontevedra - Pontevedra",Agencia de viajes,,,vgo-granvia@bthetravelbrand.com,https://oficinas.bthetravelbrand.com/298
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280378872/b-travel?langId=es_ES&tp=73&ctre=153,"ALVARO CUNQUEIRO, nº 17 36211 Pontevedra - Pontevedra",Agencia de viajes,,,,https://oficinas.bthetravelbrand.com/1363
BACHATA,https://www.turismo.gal/recurso/-/detalle/v-po-006681/bachata?langId=es_ES&tp=1001549&ctre=40000240,"EDUARDO PONDAL, nº 40 0 Pontevedra - Pontevedra",Café bar,,,,
BAR 5 PINCHOS,https://www.turismo.gal/recurso/-/detalle/190228000262/bar-5-pinchos?langId=es_ES&tp=1001549&ctre=40000240,"Calle Isabel II, nº 31 36002 Pontevedra - Pontevedra",Café bar,,,,
BAR AZUCARILLO,https://www.turismo.gal/recurso/-/detalle/190329000312/bar-azucarillo?langId=es_ES&tp=1001549&ctre=40000240,"Calle José Adrio Barreiro , nº 2 36004 Pontevedra - Pontevedra",Café bar,,,asesoria@hevianconsultores.es,
BAR BALIXAS,https://www.turismo.gal/recurso/-/detalle/v-po-001975/bar-balixas-?langId=es_ES&tp=1001549&ctre=40000240,"Calle Juan Bautista Andrade, nº 12 36005 Pontevedra - Pontevedra",Café bar,,,barbalixas@gmail.com,
BAR BERNA,https://www.turismo.gal/recurso/-/detalle/v-po-002019/bar-berna?langId=es_ES&tp=1001549&ctre=40000240,"Calle Condesa Pardo Bazán, nº 12 36002 Pontevedra - Pontevedra",Café bar,,+34 986 840 986,saloberna@outlook.es,
BAR CELOS CAFE,https://www.turismo.gal/recurso/-/detalle/v-po-005187/bar-celos-cafe?langId=es_ES&tp=1001549&ctre=40000240,"Calle Barcelos, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,,
BAR DETACO,https://www.turismo.gal/recurso/-/detalle/180817000175/bar-detaco?langId=es_ES&tp=1001549&ctre=40000240,"Calle Da Ponte, nº 14 36002 Pontevedra - Pontevedra",Café bar,,,,
BAR ESTADIO,https://www.turismo.gal/recurso/-/detalle/v-po-001698/bar-estadio?langId=es_ES&tp=1001549&ctre=40000240,"Calle JUAN MANUEL PINTOS, nº 3 36005 Pontevedra - Pontevedra",Café bar,,,BERPAMAR1@GMAIL.COM,
BAR ESTANCO,https://www.turismo.gal/recurso/-/detalle/210309000735/bar-estanco?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Pio Bora, nº 9 36154 Pontevedra - Pontevedra",Café bar,,,,
BAR ESTRELLA,https://www.turismo.gal/recurso/-/detalle/v-po-000843/bar-estrella?langId=es_ES&tp=1001549&ctre=40000240,"Calle Figueroa, nº 1 36002 Pontevedra - Pontevedra",Café bar,,,,
BAR LA ESPUELA,https://www.turismo.gal/recurso/-/detalle/210306000483/bar-la-espuela?langId=es_ES&tp=1001549&ctre=40000240,"Calle Figueroa, nº 3-5 36001 Pontevedra - Pontevedra",Café bar,,,,
BAR MOGADOR,https://www.turismo.gal/recurso/-/detalle/v-po-005951/bar-mogador?langId=es_ES&tp=1001549&ctre=40000240,"CABANAS, nº 13 36143 Pontevedra - Pontevedra",Café bar,,,hind.malak.rayan@gmail.com,
BAR NOSO,https://www.turismo.gal/recurso/-/detalle/v-po-005311/bar-noso?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Antoniño, nº 26 36004 Pontevedra - Pontevedra",Café bar,,,sociedades@gpcerdedo.com,
BAR OLMOS,https://www.turismo.gal/recurso/-/detalle/191213000168/bar-olmos?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sierra - (Mercado de Abastos), nº 5 - Posto A-1 36002 Pontevedra - Pontevedra",Café bar,,,,
BAR PALENQUE,https://www.turismo.gal/recurso/-/detalle/v-po-002880/bar-palenque?langId=es_ES&tp=1001549&ctre=40000240,"Calle Mestre Soutullo, nº 6 36004 Pontevedra - Pontevedra",Café bar,,,luciablangar@gmail.com,
BAR TANATORIO SAN MAURO,https://www.turismo.gal/recurso/-/detalle/211026000253/bar-tanatorio-san-mauro?langId=es_ES&tp=1001549&ctre=40000240,"Calle Camposanto - San Mauro, nº 2 36004 Pontevedra - Pontevedra",Café bar,,,,
BAR TAPERIA CRECIENTE,https://www.turismo.gal/recurso/-/detalle/v-po-005909/bar-taperia-creciente?langId=es_ES&tp=1001549&ctre=40000240,"Calle Belgica (Monteporreiro), nº nº 12 36162 Pontevedra - Pontevedra",Café bar,,,,
BAR TROPICAL,https://www.turismo.gal/recurso/-/detalle/v-po-000412/bar-tropical?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Antoniño, nº 36 36002 Pontevedra - Pontevedra",Café bar,,,,
BARBARELLA,https://www.turismo.gal/recurso/-/detalle/v-po-004057/barbarella?langId=es_ES&tp=1001549&ctre=40000240,R/MANUEL DEL PALACIO 4 PONTEVEDRA 0 Pontevedra - Pontevedra,Café bar,,,,
BARCELONA,https://www.turismo.gal/recurso/-/detalle/v-po-009439/barcelona?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Avda. de Vigo, nº 13 36003 Pontevedra - Pontevedra",Café bar,,,,
BARCELOS,https://www.turismo.gal/recurso/-/detalle/v-po-006837/barcelos?langId=es_ES&tp=1001549&ctre=40000240,"Plaza BARCELOS , nº 28 36001 Pontevedra - Pontevedra",Café bar,,,,
BARRAGANS,https://www.turismo.gal/recurso/-/detalle/v-po-006970/barragans?langId=es_ES&tp=1001549&ctre=40000240,"LG. BARRAGANS, 1 - CAMPAÑO 0 Pontevedra - Pontevedra",Café bar,,,,
BARRIO ANTIGO DA CIDADE DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/28473/barrio-antigo-da-cidade-de-pontevedra?langId=es_ES&tp=7&ctre=27,36001 Pontevedra - Pontevedra,Conjunto histórico,,,,
BARRIO DA MOUREIRA,https://www.turismo.gal/recurso/-/detalle/278095494/barrio-da-moureira?langId=es_ES&tp=10&ctre=63,36001 Pontevedra - Pontevedra,Conjunto singular,,,,
BARULLO,https://www.turismo.gal/recurso/-/detalle/v-po-008646/barullo?langId=es_ES&tp=1001549&ctre=40000240,"Calle Princesa, nº 15 36002 Pontevedra - Pontevedra",Café bar,,,facendobarullo@gmail.com,
BASES KDM Y SENDEROS DE AGUA,https://www.turismo.gal/recurso/-/detalle/180620000447/bases-kdm-y-senderos-de-agua?langId=es_ES&tp=85&ctre=172,"Calle Gavián, s/n - Centro deportivo David Cal (Verducido) 36151 Pontevedra - Pontevedra",Empresas de actividades deportivas,,,,
BASÍLICA DE SANTA MARÍA A MAIOR,https://www.turismo.gal/recurso/-/detalle/3270/basilica-de-santa-maria-a-maior?langId=es_ES&tp=8&ctre=31,"Avenida de Santa María, nº s/n 36002 Pontevedra - Pontevedra",Iglesia,,,realbasilica@planalfa.es,http://www3.planalfa.es/santamarialamayor/
BBC,https://www.turismo.gal/recurso/-/detalle/v-po-007115/bbc?langId=es_ES&tp=1001549&ctre=40000240,"R/ A ESTRADA, 26 36004 Pontevedra - Pontevedra",Café bar,,,,
BESPOKE SENSES,https://www.turismo.gal/recurso/-/detalle/280382072/bespoke-senses?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,administracion@bespokesenses.com,
BLANCO Y NEGRO,https://www.turismo.gal/recurso/-/detalle/c-po-000798/blanco-y-negro?langId=es_ES&tp=1001550&ctre=40000242,"Calle Enrique Labarta , nº 1 36001 Pontevedra - Pontevedra",Cafetería,,,,
BLOOM,https://www.turismo.gal/recurso/-/detalle/180726000464/bloom?langId=es_ES&tp=1001550&ctre=40000242,"Calle Paxariñal, nº 2 36003 Pontevedra - Pontevedra",Cafetería,,+34 886 908 462,,
BOA VILA,https://www.turismo.gal/recurso/-/detalle/275116522/boa-vila?langId=es_ES&tp=22&ctre=129,"Calle Real , nº 4-6 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 986 105 265,info@hotelboavila.es,
BOAVILA VIAXES,https://www.turismo.gal/recurso/-/detalle/181116000136/boavila-viaxes?langId=es_ES&tp=73&ctre=153,"Oliva, nº 33 36001 Pontevedra - Pontevedra",Agencia de viajes,,+34 689 706 483,boavilaviaxes@gmail.com,
BOCAITO,https://www.turismo.gal/recurso/-/detalle/c-po-000676/bocaito?langId=es_ES&tp=1001550&ctre=40000242,"Calle Chariño, nº 2 36002 Pontevedra - Pontevedra",Cafetería,,+34 986 866 586,recepcion@gestoriafuentes.com,
BOCARTE - ESPACIO GASTRONOMICO,https://www.turismo.gal/recurso/-/detalle/280383212/bocarte-espacio-gastronomico?langId=es_ES&tp=24&ctre=142,"Calle Nova de Arriba, nº 7 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,info@bocartefusion.com,
BOCATERIA M & J CACAO,https://www.turismo.gal/recurso/-/detalle/180417000261/bocateria-m-j-cacao?langId=es_ES&tp=1001549&ctre=40000240,"Calle Cobián Roffignac, nº 15 36001 Pontevedra - Pontevedra",Café bar,,,,
BOCATERIA SANCHEZ,https://www.turismo.gal/recurso/-/detalle/200415000116/bocateria-sanchez?langId=es_ES&tp=1001549&ctre=40000240,"Calle Marquesa, nº 8 36002 Pontevedra - Pontevedra",Café bar,,,,
BOCATERIA TIO GILITO,https://www.turismo.gal/recurso/-/detalle/191022000253/bocateria-tio-gilito?langId=es_ES&tp=1001549&ctre=40000240,"Calle Rúa Estrada, nº 23 36004 Pontevedra - Pontevedra",Café bar,,,,
BOCATERÍA TIO GILITO,https://www.turismo.gal/recurso/-/detalle/v-po-009103/bocateria-tio-gilito?langId=es_ES&tp=1001549&ctre=40000240,"PRAZA DE ESPAÑA, 7 0 Pontevedra - Pontevedra",Café bar,,,,
BODEGON O XAMON,https://www.turismo.gal/recurso/-/detalle/v-po-003239/bodegon-o-xamon?langId=es_ES&tp=1001549&ctre=40000240,"Calle Santa Clara, nº 37 36002 Pontevedra - Pontevedra",Café bar,,,bodegonoxamon@gmail.com,
BODEGÓN SALGADOIRO,https://www.turismo.gal/recurso/-/detalle/v-po-006502/bodegon-salgadoiro?langId=es_ES&tp=1001549&ctre=40000240,AVDA.DE LUGO 92 PONTEVEDRA 4 Pontevedra - Pontevedra,Café bar,,,,
