nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información
A CASA DA BOTICA,https://www.turismo.gal/recurso/-/detalle/32867/a-casa-da-botica?langId=es_ES&tp=71&ctre=134,36588 A Estrada - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@casadabotica.com,"42º 45' 09.6"" N - 8º 21' 51.6"" W",mailto:info@casadabotica.com,Admisión de animales (consultar) | Aparcamiento | Barbacoa | Bar - Cafetería | Camas supletorias | Comedor | Cunas | Instalaciones para niños | Internet - Wi-Fi | Jardín / Huerta | Piscina | Salón | Tarjetas de crédito (consultar) | Televisión común | Televisor en habitaciones,Cena | Comida | Desayuno,Habitación: Habitaciones dobles | Número de cuartos: 10 | Número de plazas: 20,,,,,,,,,,,
A CASA DA HERBA,https://www.turismo.gal/recurso/-/detalle/h-po-001931/a-casa-da-herba?langId=es_ES&tp=1000100&ctre=1000120,"Calle Isidoro Queimaliños , nº 35 36800 Redondela - Pontevedra",Albergue Turístico,,,acasadaherba@gmail.com,"42º 16' 59.3"" N - 8º 36' 29.7"" W",mailto:acasadaherba@gmail.com,Agua caliente | Almacén bicicletas | Botiquín | Calefacción central | Calefacción individual | Cocina | Duchas | Frigorífico | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavadora | Lavandería | Recepción | Salón de estar | Se habla inglés | Taquillas | Tendedero | Toallas y jabón,,,,,,12:15-22:00,,,,,,,
A CASA DA PEREIRA,https://www.turismo.gal/recurso/-/detalle/161007000009/a-casa-da-pereira?langId=es_ES&tp=1000180&ctre=1000220,"Calle Pereira, nº 14 36636 Ribadumia - Pontevedra",Vivienda Turística,,,info@acasadapereira.com,,mailto:info@acasadapereira.com,,,,,,,,,,,,,,
A CASA DAS LETRAS,https://www.turismo.gal/recurso/-/detalle/241025000527/a-casa-das-letras?langId=es_ES&tp=68&ctre=130,"Calle Pablo Iglesias, nº 22 36940 Cangas - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 617 781 604,eva@acasadasletras.es,"42º 15' 48.3"" N - 8º 47' 08.8"" W",mailto:eva@acasadasletras.es,,,,Plazas totales calculadas: 13,,,,,,,,,,
A CASA DE ALDÁN,https://www.turismo.gal/recurso/-/detalle/11528/a-casa-de-aldan?langId=es_ES&tp=71&ctre=134,"Avenida José Graña , nº 52 36945 Cangas - Pontevedra",Turismo rural,Grupo-A (Otras Edif.),+34 986 328 732,info@acasadealdan.com,"42º 16' 53.2"" N - 8º 49' 15.1"" W",mailto:info@acasadealdan.com,Comedor | Cunas | Internet - Wi-Fi | Jardín / Huerta | Lavadora disponible – Lavandería | Prohibido fumar | Salón | Salón de reuniones | Se habla francés | Se habla inglés | Se habla italiano | Tarjetas de crédito (consultar) | Televisión común | Televisor en habitaciones,Desayuno,Habitación: Habitaciones individuales | Número de cuartos: 1 | Número de plazas: 1; Habitación: Habitaciones especiales | Número de cuartos: 2 | Número de plazas: 4; Habitación: Habitaciones dobles | Número de cuartos: 10 | Número de plazas: 20,,,,,,,,,,,
A CASA DE ALICIA,https://www.turismo.gal/recurso/-/detalle/278622763/a-casa-de-alicia?langId=es_ES&tp=71&ctre=134,nº 11 36636 Ribadumia - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@acasadealicia.com,"42º 31' 05.9"" N - 8º 44' 23.2"" W",mailto:info@acasadealicia.com,Aparcamiento | Barbacoa | Comedor | Cunas | Derecho a cocina | Jardín / Huerta | Piscina | Prohibido fumar | Salón | Televisión común | Televisor en habitaciones,,Habitación: Habitaciones dobles | Número de cuartos: 3 | Número de plazas: 6,,La casa se puede alquilar completa,,,,,,,,,
A CASA DE AMPARO,https://www.turismo.gal/recurso/-/detalle/280231009/a-casa-de-amparo?langId=es_ES&tp=67&ctre=135,"Lugar Quintans, nº 1 36990 Sanxenxo - Pontevedra",Pensión,3 estrellas,+34 986 744 484,acasadeamparo@gmail.com,"42º 25' 59.1"" N - 8º 51' 19.1"" W",mailto:acasadeamparo@gmail.com,Área de juegos para niños | Internet / wifi en zonas comunes | Lavandería | Parking de superficie | Salón de estar,,,,,,,,,,,,,
A CASA DE LARACHE,https://www.turismo.gal/recurso/-/detalle/36053/a-casa-de-larache?langId=es_ES&tp=71&ctre=134,36142 Vilaboa - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 673 812,pazolarache@pazolarache.com,"42º 20' 02.0"" N - 8º 38' 32.1"" W",mailto:pazolarache@pazolarache.com,Admisión de animales (consultar) | Aparcamiento | Barbacoa | Bar - Cafetería | Camas supletorias | Cunas | Internet - Wi-Fi | Jardín / Huerta | Piscina | Prohibido fumar | Se habla inglés | Tarjetas de crédito (consultar) | Televisor en habitaciones,Desayuno,Habitación: Habitaciones dobles | Número de cuartos: 8 | Número de plazas: 16; Habitación: Apartamentos | Número de cuartos: 1 | Número de plazas: 3,,,,,,,,,,,
A CASA DE LENA,https://www.turismo.gal/recurso/-/detalle/220613000079/a-casa-de-lena?langId=es_ES&tp=68&ctre=130,"Calle Outeiral, nº 15 36636 Ribadumia - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 652 617 984,carmen.abalpi@gmail.com,"42º 29' 17.6"" N - 8º 46' 03.7"" W",mailto:carmen.abalpi@gmail.com,,,,Plazas totales calculadas: 16,,,,,,,,,,
A CASA DE MARÍA,https://www.turismo.gal/recurso/-/detalle/28465/a-casa-de-maria?langId=es_ES&tp=71&ctre=134,nº 24 36389 Gondomar - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@acasademariagondomar.com,"42º 05' 45.9"" N - 8º 44' 06.3"" W",mailto:info@acasademariagondomar.com,Aparcamiento | Camas supletorias | Comedor | Cunas | Internet - Wi-Fi | Jardín / Huerta | Lavadora disponible – Lavandería | Salón | Televisión común,Desayuno,Habitación: Habitaciones especiales | Número de cuartos: 1 | Número de plazas: 2; Habitación: Habitaciones dobles | Número de cuartos: 2 | Número de plazas: 4,,,,,,,,,,,
A CASA DO ALOUMIÑO DA AUGA,https://www.turismo.gal/recurso/-/detalle/150904000011/a-casa-do-aloumino-da-auga?langId=es_ES&tp=1000180&ctre=1000220,"Calle Chouteira, nº 6 36876 Mondariz - Pontevedra",Vivienda Turística,,+34 687 918 212,contacto@casadoaloumino.com,,mailto:contacto@casadoaloumino.com,,,,,,,,,,,,,,
A CASA DO HÓRREO,https://www.turismo.gal/recurso/-/detalle/210519000527/a-casa-do-horreo?langId=es_ES&tp=67&ctre=135,"Calle Hórreo, nº 5 36640 Pontecesures - Pontevedra",Pensión,1 estrella,,merchiamoedo@hotmail.com,"42º 43' 33.9"" N - 8º 39' 02.0"" W",mailto:merchiamoedo@hotmail.com,,,,,,,,,,,,,,
A CASA DO LAGOEIRO,https://www.turismo.gal/recurso/-/detalle/34268/a-casa-do-lagoeiro?langId=es_ES&tp=71&ctre=134,"Vilar, nº 17 36680 A Estrada - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 584 964,ivaniglesias43@hotmail.com,"42º 41' 47.2"" N - 8º 28' 53.8"" W",mailto:ivaniglesias43@hotmail.com,Aparcamiento | Bar - Cafetería | Camas supletorias | Comedor | Cunas | Internet - Wi-Fi | Jardín / Huerta | Piscina | Prohibido fumar | Salón | Salón de reuniones | Se habla inglés | Tarjetas de crédito (consultar) | Televisor en habitaciones,Cena | Comida | Desayuno,Habitación: Habitaciones dobles | Número de cuartos: 5 | Número de plazas: 10; Habitación: Apartamentos | Número de cuartos: 2 | Número de plazas: 4,,,,,,,,,,,
A CASA DO LATONEIRO,https://www.turismo.gal/recurso/-/detalle/200218000291/a-casa-do-latoneiro?langId=es_ES&tp=67&ctre=135,"Calle Real, nº 19 36650 Caldas de Reis - Pontevedra",Pensión,2 estrellas,,,"42º 36' 15.3"" N - 8º 38' 37.2"" W",,,,,,,,,,,,,,,
A CASA DO PATIN,https://www.turismo.gal/recurso/-/detalle/190806000069/a-casa-do-patin?langId=es_ES&tp=67&ctre=135,"Calle Cega, nº 1 36940 Cangas - Pontevedra",Pensión,2 estrellas,,acasadopatin19@gmail.com,"42º 15' 49.3"" N - 8º 47' 05.1"" W",mailto:acasadopatin19@gmail.com,,,,,,,,,,,,,,
A CASA DO RIO,https://www.turismo.gal/recurso/-/detalle/272173041/a-casa-do-rio?langId=es_ES&tp=22&ctre=129,"Calle Víctor García , nº 1 36640 Pontecesures - Pontevedra",Hotel,2 Estrellas,+34 986 557 575,info@hotelacasadorio.es,"42º 43' 25.6"" N - 8º 39' 12.2"" W",mailto:info@hotelacasadorio.es,,,,,,,,,,,,,,
A CASA DOS NORES,https://www.turismo.gal/recurso/-/detalle/180613000289/a-casa-dos-nores?langId=es_ES&tp=67&ctre=135,"Plaza do Arco, nº 4 36940 Cangas - Pontevedra",Pensión,2 estrellas,,info@acasadosnores.com,"42º 15' 46.2"" N - 8º 47' 09.1"" W",mailto:info@acasadosnores.com,Admite tarjetas de crédito | Aire acondicionado | Calefacción central | Edificio histórico | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Secador pelo en habitaciones | TV en habitaciones,,,,,,,,,,,,,
A CASA DOS PARLADOIROS,https://www.turismo.gal/recurso/-/detalle/170707000186/a-casa-dos-parladoiros?langId=es_ES&tp=1000180&ctre=1000220,"Carretera Puxeiros - Mos, nº 260 36415 Mos - Pontevedra",Vivienda Turística,,,acasadosparladoiros@gmail.com,"42º 12' 05.2"" N - 8º 36' 34.3"" W",mailto:acasadosparladoiros@gmail.com,,,,,,,,,,,,,,
A CASA NOVA,https://www.turismo.gal/recurso/-/detalle/170228000092/a-casa-nova?langId=es_ES&tp=1000180&ctre=1000220,"Mangüeiro, nº 2 36142 Vilaboa - Pontevedra",Vivienda Turística,,,fincamangueiro@yahoo.es,"42º 19' 56.0"" N - 8º 38' 44.9"" W",mailto:fincamangueiro@yahoo.es,,,,,,,,,,,,,,
A CASIÑA,https://www.turismo.gal/recurso/-/detalle/4796/a-casina?langId=es_ES&tp=71&ctre=134,36677 Cuntis - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 572 546,animacioneartestoga@yahoo.es,"42º 40' 12.5"" N - 8º 32' 38.7"" W",mailto:animacioneartestoga@yahoo.es,Comedor | Derecho a cocina | Salón | Televisión común,Cena | Comida | Desayuno,Habitación: Habitaciones individuales | Número de cuartos: 4 | Número de plazas: 4; Habitación: Habitaciones dobles | Número de cuartos: 2 | Número de plazas: 4,,,,,,,,,,,
A CONSERVEIRA,https://www.turismo.gal/recurso/-/detalle/160905000005/a-conserveira?langId=es_ES&tp=1000100&ctre=1000120,"Calle Pai Crespo, nº 60 36800 Redondela - Pontevedra",Albergue Turístico,,,hostelaconserveira@gmail.com,"42º 16' 48.7"" N - 8º 36' 37.6"" W",mailto:hostelaconserveira@gmail.com,Agua caliente | Aire Acond. en habitaciones | Aire acondicionado | Botiquín | Calefacción central | Calefacción individual | Cocina | Duchas | Frigorífico | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavadero | Lavadora y Secadora de pago | Microondas | Recepción | Salón de estar | Taquillas | Tendedero,,,,,,,,,,,,,
A CORTICELA,https://www.turismo.gal/recurso/-/detalle/190204000029/a-corticela?langId=es_ES&tp=1000100&ctre=1000120,"Rúa La Basella , nº 19 36620 Vilanova de Arousa - Pontevedra",Albergue Turístico,,,,"42º 33' 55.4"" N - 8º 49' 47.5"" W",mailto:info@acorticela.com,,,,,,,,,,,,,,
A CRUZÁN,https://www.turismo.gal/recurso/-/detalle/280380995/a-cruzan?langId=es_ES&tp=67&ctre=135,"Telleiro, nº 5 36960 Sanxenxo - Pontevedra",Pensión,3 estrellas,+34 986 744 116,acruzannoalla@gmail.com,"42º 26' 05.2"" N - 8º 51' 47.9"" W",mailto:acruzannoalla@gmail.com,Aire Acond. en habitaciones | Ascensor | Desayuno incluido en el precio | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Teléfono en habitaciones | TV en habitaciones,Desayuno,,,,,,,,,,,,
A DONIÑA DE PLAYA MAJOR,https://www.turismo.gal/recurso/-/detalle/268495131/a-donina-de-playa-major?langId=es_ES&tp=68&ctre=130,"Lg. Soutullo, nº 82 36990 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,,inversionesturisticasjcv@gmail.com,"42º 25' 10.8"" N - 8º 52' 03.5"" W",mailto:inversionesturisticasjcv@gmail.com,Agua caliente | Aparcamiento | Frigorífico | Jardín | Lavadora | Piscina | Plancha | Teléfono | Televisión,,,,,,,,,,,,,
A EIRA DA LAXE,https://www.turismo.gal/recurso/-/detalle/160428000120/a-eira-da-laxe?langId=es_ES&tp=1000180&ctre=1000220,"LG. VILAR, nº 27 36139 Cerdedo-Cotobade - Pontevedra",Vivienda Turística,,,pablo191273@hotmail.es,,mailto:pablo191273@hotmail.es,,,,,,,,,,,,,,
A FILLA DO MAR,https://www.turismo.gal/recurso/-/detalle/210714000272/a-filla-do-mar?langId=es_ES&tp=1000100&ctre=1000120,"Castelao 142 , nº 12 36690 Soutomaior - Pontevedra",Albergue Turístico,,+34 986 841 522,albergueafilladomar@gmail.com,"42º 19' 54.9"" N - 8º 36' 25.2"" W",mailto:albergueafilladomar@gmail.com,Admite tarjetas de crédito | Agua caliente | Aire acondicionado | Bar-Cafetería | Botiquín | Calefacción central | Duchas | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Lavadora | Lavandería | Piscina | Recepción | Restaurante | Se habla inglés | Taquillas,,,,,,,,,,,,,
A FONTE,https://www.turismo.gal/recurso/-/detalle/240104000027/a-fonte?langId=es_ES&tp=67&ctre=135,"Lugar Aldea de Abaixo, nº 15 36638 Meaño - Pontevedra",Pensión,2 estrellas,,casadaaldeacb@gmail.com,,mailto:casadaaldeacb@gmail.com,,,,,,,,,,,,,,
A FONTE DO SOUTO,https://www.turismo.gal/recurso/-/detalle/160127000049/a-fonte-do-souto?langId=es_ES&tp=67&ctre=135,nº 7 36512 Lalín - Pontevedra,Pensión,3 estrellas,,,,,,,,,,,,,,,,,,
A FONTIÑA,https://www.turismo.gal/recurso/-/detalle/36541/a-fontina?langId=es_ES&tp=67&ctre=135,"Lugar Montalvo , nº 68 36979 Sanxenxo - Pontevedra",Pensión,2 estrellas,+34 986 720 454,a.fontina.68@hotmail.com,"42º 24' 06.4"" N - 8º 51' 01.8"" W",mailto:a.fontina.68@hotmail.com,Admite perros | Admite tarjetas de crédito | Aire acondicionado | Alquiler de bicicletas | Bar-Cafetería | Calefacción central | Calefacción individual | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Parking de superficie | Secador pelo en habitaciones | TV en habitaciones,,,,,Grado de Accesibilidad: Practicable | Documentos de accesibilidad (2018): | Descargue este documento,,,,,,,,
A FRAGA RURAL,https://www.turismo.gal/recurso/-/detalle/28034/a-fraga-rural?langId=es_ES&tp=68&ctre=130,nº 29 36959 Moaña - Pontevedra,Apartamento,Apartamentos 1 Llave,+34 986 315 296,contacto@afragarural.com,"42º 18' 51.1"" N - 8º 43' 32.4"" W",mailto:contacto@afragarural.com,Admite perros | Agua caliente | Calefacción | Frigorífico | Jardín | Parque infantil | Restaurante | Televisión | Tenis | Terraza particular,,,,,,,,,,,,,
A FREIXA,https://www.turismo.gal/recurso/-/detalle/2784/a-freixa?langId=es_ES&tp=69&ctre=139,"Lugar A Freixa, nº sn 0 Ponteareas - Pontevedra",Camping,Camping de 1ª Categoria,+34 986 640 299,,"42º 11' 16.4"" N - 8º 30' 57.7"" W",,Accesible autos | Accesible bus | Accesible caravanas | Accesible motos | Admisión Animales de Compañía | Admite tarjetas de crédito | Alquiler de bicicletas | Arbolado | Bar / Cafetería | Buzón de correos | Corriente eléctrica | Custodia de valores | Duchas de agua caliente | Gas | Lavandería | Orilla río lago | Parque infantil | Playa arenosa | Restaurante | Servicio médico | Suelo de hierba | Supermercado | Teléfono | Zonas verdes,,,,,,,,,,,,,
A GORGORIÑA,https://www.turismo.gal/recurso/-/detalle/210316001730/a-gorgorina?langId=es_ES&tp=1000180&ctre=1000220,nº 42 36947 Cangas - Pontevedra,Vivienda Turística,,+34 986 305 654,monicajalda@hotmail.com,"42º 17' 08.7"" N - 8º 46' 35.6"" W",mailto:monicajalda@hotmail.com,,,,,,,,,,,,,,
A LAXARETA,https://www.turismo.gal/recurso/-/detalle/260275311/a-laxareta?langId=es_ES&tp=71&ctre=134,"Camiño do Cruceiro a O Carballoso, nº 14 36612 Catoira - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 523 291,coaxerl@gmail.com,"42º 39' 49.7"" N - 8º 40' 30.3"" W",mailto:coaxerl@gmail.com,Aparcamiento | Barbacoa | Camas supletorias | Comedor | Cunas | Internet - Wi-Fi | Jardín / Huerta | Prohibido fumar | Salón | Se habla inglés | Tarjetas de crédito (consultar) | Televisión común | Televisor en habitaciones,Desayuno,Habitación: Habitaciones dobles | Número de cuartos: 8 | Número de plazas: 16,,,,,,,,,,,
A LONQUEXA DO GAÑÁN,https://www.turismo.gal/recurso/-/detalle/280379097/a-lonquexa-do-ganan?langId=es_ES&tp=67&ctre=135,"Aldea Gondas , nº 80 36389 Gondomar - Pontevedra",Pensión,3 estrellas,,lonquexa@lonquexa.es,"42º 05' 48.8"" N - 8º 41' 25.1"" W",mailto:lonquexa@lonquexa.es,Lavandería | Salón de estar | Servicio médico,,,,,,,,,,,,,
A MAQUÍA,https://www.turismo.gal/recurso/-/detalle/278150554/a-maquia?langId=es_ES&tp=22&ctre=129,"Avenida de Laño-Samieira , nº 17 36994 Poio - Pontevedra",Hotel,1 Estrella,+34 986 741 693,info@amaquia.com,"42º 24' 56.6"" N - 8º 44' 11.4"" W",mailto:info@amaquia.com,Admite perros | Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Calefacción central | Calefacción individual | Desayuno incluido en el precio | Garaje gratuito | Habitaciónes con salón-suites | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jacuzzi | Jardín terraza | Parking de superficie | Piscina | Sala de Reuniones | Salón de estar | Secador pelo en habitaciones | Se habla francés | Se habla inglés | TV en habitaciones | Vídeo / DVD en habitaciones,,,,,,,,,,,,,
A MARISMA,https://www.turismo.gal/recurso/-/detalle/230911000194/a-marisma-?langId=es_ES&tp=67&ctre=135,"Avenida Ernestina Otero, nº 45 36800 Redondela - Pontevedra",Pensión,2 estrellas,,info@amarismahostal.com,"42º 17' 09.9"" N - 8º 36' 37.7"" W",mailto:info@amarismahostal.com,,,,,,,,,,,,,,
A MEIGA DAS AREAS,https://www.turismo.gal/recurso/-/detalle/210831000495/a-meiga-das-areas?langId=es_ES&tp=67&ctre=135,"Calle Vista ó Mar, nº 3 Nigrán - Pontevedra",Pensión,2 estrellas,,info@ameigadasareas.com,"42º 07' 52.4"" N - 8º 49' 00.6"" W",mailto:info@ameigadasareas.com,Admite tarjetas de crédito | Aire acondicionado | Caja Fuerte individual | Habitaciónes con salón-suites | Habitaciones familiares | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Jardín terraza | Secador pelo en habitaciones | Se habla francés | Se habla inglés | TV en habitaciones,,,,,,,,,,,,,
A MIMOSEIRA,https://www.turismo.gal/recurso/-/detalle/22886/a-mimoseira?langId=es_ES&tp=71&ctre=134,nº 7 36684 A Estrada - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 573 253,reservas@casamimoseira.com,"42º 38' 51.2"" N - 8º 27' 22.3"" W",mailto:reservas@casamimoseira.com,Admisión de animales (consultar) | Aparcamiento | Barbacoa | Camas supletorias | Comedor | Cunas | Internet - Wi-Fi | Jardín / Huerta | Prohibido fumar | Salón | Salón de reuniones | Tarjetas de crédito (consultar) | Televisor en habitaciones | Tenis,Desayuno,Habitación: Habitaciones dobles | Número de cuartos: 7 | Número de plazas: 14,,,Grado de Accesibilidad: Practicable | Documentos de accesibilidad (2018): | Descargue este documento,,,,,,,,
A NENA DA DEVESA,https://www.turismo.gal/recurso/-/detalle/241007000156/a-nena-da-devesa?langId=es_ES&tp=67&ctre=135,nº 2 36490 Crecente - Pontevedra,Pensión,1 estrella,,anenadadevesa@gmail.com,"42º 12' 27.4"" N - 8º 11' 52.5"" W",mailto:anenadadevesa@gmail.com,,,,,,,,,,,,,,
A NOSA CASA,https://www.turismo.gal/recurso/-/detalle/21727/a-nosa-casa?langId=es_ES&tp=67&ctre=135,36630 Cambados - Pontevedra,Pensión,1 estrella,+34 986 542 733,,"42º 32' 01.0"" N - 8º 48' 35.4"" W",,,,,,,,,,,,,,,
A OLIVEIRA,https://www.turismo.gal/recurso/-/detalle/230331000694/a-oliveira?langId=es_ES&tp=68&ctre=130,36142 Vilaboa - Pontevedra,Apartamento,Apartamentos 1 Llave,,reservas@apartamentosaoliveira.com,"42º 19' 21.4"" N - 8º 39' 35.5"" W",mailto:reservas@apartamentosaoliveira.com,Aire acondicionado | Aparcamiento | Calefacción | Frigorífico | Internet | Jardín | Lavadora | Parque infantil | Piscina | Plancha | Televisión | Terraza particular,,,,,,,,,,,,,
A PAMPLA,https://www.turismo.gal/recurso/-/detalle/280381842/a-pampla?langId=es_ES&tp=1000180&ctre=1000220,36887 A Cañiza - Pontevedra,Vivienda Turística,,,apampla@torgo.es,,mailto:apampla@torgo.es,,,,,,,,,,,,,,
