nombre,link,direccion,tipo,categoria,telefono,email
A CASA DE LARACHE,https://www.turismo.gal/recurso/-/detalle/36053/a-casa-de-larache?langId=es_ES&tp=71&ctre=134,36142 Vilaboa - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 673 812,pazolarache@pazolarache.com
A CASA DE LENA,https://www.turismo.gal/recurso/-/detalle/220613000079/a-casa-de-lena?langId=es_ES&tp=68&ctre=130,"Calle Outeiral, nº 15 36636 Ribadumia - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 652 617 984,carmen.abalpi@gmail.com
A CASA DE MARÍA,https://www.turismo.gal/recurso/-/detalle/28465/a-casa-de-maria?langId=es_ES&tp=71&ctre=134,nº 24 36389 Gondomar - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@acasademariagondomar.com
A CASA DO ALOUMIÑO DA AUGA,https://www.turismo.gal/recurso/-/detalle/150904000011/a-casa-do-aloumino-da-auga?langId=es_ES&tp=1000180&ctre=1000220,"Calle Chouteira, nº 6 36876 Mondariz - Pontevedra",Vivienda Turística,,+34 687 918 212,contacto@casadoaloumino.com
A CASA DO HÓRREO,https://www.turismo.gal/recurso/-/detalle/210519000527/a-casa-do-horreo?langId=es_ES&tp=67&ctre=135,"Calle Hórreo, nº 5 36640 Pontecesures - Pontevedra",Pensión,1 estrella,,merchiamoedo@hotmail.com
A CASA DO LAGOEIRO,https://www.turismo.gal/recurso/-/detalle/34268/a-casa-do-lagoeiro?langId=es_ES&tp=71&ctre=134,"Vilar, nº 17 36680 A Estrada - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 584 964,ivaniglesias43@hotmail.com
A CASA DO LATONEIRO,https://www.turismo.gal/recurso/-/detalle/200218000291/a-casa-do-latoneiro?langId=es_ES&tp=67&ctre=135,"Calle Real, nº 19 36650 Caldas de Reis - Pontevedra",Pensión,2 estrellas,,
A CASA DO PATIN,https://www.turismo.gal/recurso/-/detalle/190806000069/a-casa-do-patin?langId=es_ES&tp=67&ctre=135,"Calle Cega, nº 1 36940 Cangas - Pontevedra",Pensión,2 estrellas,,acasadopatin19@gmail.com
A CASA DO RIO,https://www.turismo.gal/recurso/-/detalle/272173041/a-casa-do-rio?langId=es_ES&tp=22&ctre=129,"Calle Víctor García , nº 1 36640 Pontecesures - Pontevedra",Hotel,2 Estrellas,+34 986 557 575,info@hotelacasadorio.es
A CASA DOS NORES,https://www.turismo.gal/recurso/-/detalle/180613000289/a-casa-dos-nores?langId=es_ES&tp=67&ctre=135,"Plaza do Arco, nº 4 36940 Cangas - Pontevedra",Pensión,2 estrellas,,info@acasadosnores.com
A CASA DOS PARLADOIROS,https://www.turismo.gal/recurso/-/detalle/170707000186/a-casa-dos-parladoiros?langId=es_ES&tp=1000180&ctre=1000220,"Carretera Puxeiros - Mos, nº 260 36415 Mos - Pontevedra",Vivienda Turística,,,acasadosparladoiros@gmail.com
A CASA NOVA,https://www.turismo.gal/recurso/-/detalle/170228000092/a-casa-nova?langId=es_ES&tp=1000180&ctre=1000220,"Mangüeiro, nº 2 36142 Vilaboa - Pontevedra",Vivienda Turística,,,fincamangueiro@yahoo.es
A CASIÑA,https://www.turismo.gal/recurso/-/detalle/4796/a-casina?langId=es_ES&tp=71&ctre=134,36677 Cuntis - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 572 546,animacioneartestoga@yahoo.es
A CONSERVEIRA,https://www.turismo.gal/recurso/-/detalle/160905000005/a-conserveira?langId=es_ES&tp=1000100&ctre=1000120,"Calle Pai Crespo, nº 60 36800 Redondela - Pontevedra",Albergue Turístico,,,hostelaconserveira@gmail.com
A CORTICELA,https://www.turismo.gal/recurso/-/detalle/190204000029/a-corticela?langId=es_ES&tp=1000100&ctre=1000120,"Rúa La Basella , nº 19 36620 Vilanova de Arousa - Pontevedra",Albergue Turístico,,,
A CRUZÁN,https://www.turismo.gal/recurso/-/detalle/280380995/a-cruzan?langId=es_ES&tp=67&ctre=135,"Telleiro, nº 5 36960 Sanxenxo - Pontevedra",Pensión,3 estrellas,+34 986 744 116,acruzannoalla@gmail.com
A DONIÑA DE PLAYA MAJOR,https://www.turismo.gal/recurso/-/detalle/268495131/a-donina-de-playa-major?langId=es_ES&tp=68&ctre=130,"Lg. Soutullo, nº 82 36990 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,,inversionesturisticasjcv@gmail.com
A EIRA DA LAXE,https://www.turismo.gal/recurso/-/detalle/160428000120/a-eira-da-laxe?langId=es_ES&tp=1000180&ctre=1000220,"LG. VILAR, nº 27 36139 Cerdedo-Cotobade - Pontevedra",Vivienda Turística,,,pablo191273@hotmail.es
A FILLA DO MAR,https://www.turismo.gal/recurso/-/detalle/210714000272/a-filla-do-mar?langId=es_ES&tp=1000100&ctre=1000120,"Castelao 142 , nº 12 36690 Soutomaior - Pontevedra",Albergue Turístico,,+34 986 841 522,albergueafilladomar@gmail.com
A FONTE,https://www.turismo.gal/recurso/-/detalle/240104000027/a-fonte?langId=es_ES&tp=67&ctre=135,"Lugar Aldea de Abaixo, nº 15 36638 Meaño - Pontevedra",Pensión,2 estrellas,,casadaaldeacb@gmail.com
A FONTE DO SOUTO,https://www.turismo.gal/recurso/-/detalle/160127000049/a-fonte-do-souto?langId=es_ES&tp=67&ctre=135,nº 7 36512 Lalín - Pontevedra,Pensión,3 estrellas,,
A FONTIÑA,https://www.turismo.gal/recurso/-/detalle/36541/a-fontina?langId=es_ES&tp=67&ctre=135,"Lugar Montalvo , nº 68 36979 Sanxenxo - Pontevedra",Pensión,2 estrellas,+34 986 720 454,a.fontina.68@hotmail.com
A FRAGA RURAL,https://www.turismo.gal/recurso/-/detalle/28034/a-fraga-rural?langId=es_ES&tp=68&ctre=130,nº 29 36959 Moaña - Pontevedra,Apartamento,Apartamentos 1 Llave,+34 986 315 296,contacto@afragarural.com
A FREIXA,https://www.turismo.gal/recurso/-/detalle/2784/a-freixa?langId=es_ES&tp=69&ctre=139,"Lugar A Freixa, nº sn 0 Ponteareas - Pontevedra",Camping,Camping de 1ª Categoria,+34 986 640 299,
A GORGORIÑA,https://www.turismo.gal/recurso/-/detalle/210316001730/a-gorgorina?langId=es_ES&tp=1000180&ctre=1000220,nº 42 36947 Cangas - Pontevedra,Vivienda Turística,,+34 986 305 654,monicajalda@hotmail.com
A LAXARETA,https://www.turismo.gal/recurso/-/detalle/260275311/a-laxareta?langId=es_ES&tp=71&ctre=134,"Camiño do Cruceiro a O Carballoso, nº 14 36612 Catoira - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 523 291,coaxerl@gmail.com
A LONQUEXA DO GAÑÁN,https://www.turismo.gal/recurso/-/detalle/280379097/a-lonquexa-do-ganan?langId=es_ES&tp=67&ctre=135,"Aldea Gondas , nº 80 36389 Gondomar - Pontevedra",Pensión,3 estrellas,,lonquexa@lonquexa.es
A MAQUÍA,https://www.turismo.gal/recurso/-/detalle/278150554/a-maquia?langId=es_ES&tp=22&ctre=129,"Avenida de Laño-Samieira , nº 17 36994 Poio - Pontevedra",Hotel,1 Estrella,+34 986 741 693,info@amaquia.com
A MARISMA,https://www.turismo.gal/recurso/-/detalle/230911000194/a-marisma-?langId=es_ES&tp=67&ctre=135,"Avenida Ernestina Otero, nº 45 36800 Redondela - Pontevedra",Pensión,2 estrellas,,info@amarismahostal.com
A MEIGA DAS AREAS,https://www.turismo.gal/recurso/-/detalle/210831000495/a-meiga-das-areas?langId=es_ES&tp=67&ctre=135,"Calle Vista ó Mar, nº 3 Nigrán - Pontevedra",Pensión,2 estrellas,,info@ameigadasareas.com
A MIMOSEIRA,https://www.turismo.gal/recurso/-/detalle/22886/a-mimoseira?langId=es_ES&tp=71&ctre=134,nº 7 36684 A Estrada - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 573 253,reservas@casamimoseira.com
A NENA DA DEVESA,https://www.turismo.gal/recurso/-/detalle/241007000156/a-nena-da-devesa?langId=es_ES&tp=67&ctre=135,nº 2 36490 Crecente - Pontevedra,Pensión,1 estrella,,anenadadevesa@gmail.com
A NOSA CASA,https://www.turismo.gal/recurso/-/detalle/21727/a-nosa-casa?langId=es_ES&tp=67&ctre=135,36630 Cambados - Pontevedra,Pensión,1 estrella,+34 986 542 733,
A OLIVEIRA,https://www.turismo.gal/recurso/-/detalle/230331000694/a-oliveira?langId=es_ES&tp=68&ctre=130,36142 Vilaboa - Pontevedra,Apartamento,Apartamentos 1 Llave,,reservas@apartamentosaoliveira.com
A PAMPLA,https://www.turismo.gal/recurso/-/detalle/280381842/a-pampla?langId=es_ES&tp=1000180&ctre=1000220,36887 A Cañiza - Pontevedra,Vivienda Turística,,,apampla@torgo.es
A PASTORA,https://www.turismo.gal/recurso/-/detalle/9671/a-pastora?langId=es_ES&tp=71&ctre=134,"Calle do Castro , nº 5 36630 Cambados - Pontevedra",Turismo rural,Grupo-C (Casa de Labranza),+34 986 543 273,info@casapastora.com
A PEDRA,https://www.turismo.gal/recurso/-/detalle/33787/a-pedra?langId=es_ES&tp=67&ctre=135,"Santo Tomé de Nogueira , nº 18 36637 Meis - Pontevedra",Pensión,1 estrella,+34 986 712 098,
A PEDRA,https://www.turismo.gal/recurso/-/detalle/37899/a-pedra?langId=es_ES&tp=67&ctre=135,"Rúa Real, nº 6 36201 Vigo - Pontevedra",Pensión,1 estrella,+34 986 431 594,laboral@tlasesores.es
A PORTELA DO MIRADOR,https://www.turismo.gal/recurso/-/detalle/30251/a-portela-do-mirador?langId=es_ES&tp=71&ctre=134,nº 47 36368 Cerdedo-Cotobade - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 750 260,info@aporteladomirador.com
A POSTA DA PRATA,https://www.turismo.gal/recurso/-/detalle/36233/a-posta-da-prata?langId=es_ES&tp=71&ctre=134,nº 2 36543 Silleda - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 580 011,apostadaprata@gmail.com
A POSTIÑA,https://www.turismo.gal/recurso/-/detalle/32241/a-postina?langId=es_ES&tp=67&ctre=135,"AREAS, nº 9 36966 Sanxenxo - Pontevedra",Pensión,2 estrellas,,gerenciapostina@gmail.com
A QUEIMADA,https://www.turismo.gal/recurso/-/detalle/36406/a-queimada?langId=es_ES&tp=22&ctre=129,"Plaza da Carrasca , nº 5 36350 Nigrán - Pontevedra",Hotel,2 Estrellas,+34 986 350 307 / +34 986 350 380,reservas@queimada.com
A QUINTA DAS MACEIRAS,https://www.turismo.gal/recurso/-/detalle/221026000212/a-quinta-das-maceiras?langId=es_ES&tp=67&ctre=135,nº 5 36584 A Estrada - Pontevedra,Pensión,2 estrellas,,info@aquintadasmaceiras.com
A QUINTELA,https://www.turismo.gal/recurso/-/detalle/38032/a-quintela?langId=es_ES&tp=71&ctre=134,"Barrio Quintela de Abaixo , nº 3 36549 Forcarei - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),,info@aquintela.com
A REGA,https://www.turismo.gal/recurso/-/detalle/31515/a-rega?langId=es_ES&tp=71&ctre=134,"Travesía da Praia, nº 16 36993 Poio - Pontevedra",Turismo rural,Grupo-C (Casa de Labranza),+34 986 771 242,reservas@casaruralarega.com
A REGUEIRA DOS OJEA,https://www.turismo.gal/recurso/-/detalle/16105/a-regueira-dos-ojea?langId=es_ES&tp=71&ctre=134,36470 Salceda de Caselas - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,aregueira.ojea@gmail.com
A REIGOSA,https://www.turismo.gal/recurso/-/detalle/280377075/a-reigosa?langId=es_ES&tp=22&ctre=129,"Lugar A Reigosa, nº 67 36827 Ponte Caldelas - Pontevedra",Hotel,1 Estrella,+34 986 757 010,casasjcb@gmail.com
A ROTONDA,https://www.turismo.gal/recurso/-/detalle/191023000255/a-rotonda?langId=es_ES&tp=1000100&ctre=1000120,"Calle Rabadeira Canabal, nº 1 36800 Redondela - Pontevedra",Albergue Turístico,,+34 657 805 988,arotonda@outlook.es
A TABERNA DE VENTO,https://www.turismo.gal/recurso/-/detalle/180504000047/a-taberna-de-vento?langId=es_ES&tp=67&ctre=135,nº 33 36500 Lalín - Pontevedra,Pensión,1 estrella,,atabernadovento@gmail.com
A TALANGREIRA DO BEQUE,https://www.turismo.gal/recurso/-/detalle/230322000436/a-talangreira-do-beque?langId=es_ES&tp=1000100&ctre=1000120,"Lugar A Fraga, nº s/n 36950 Moaña - Pontevedra",Albergue Turístico,,,ALBERGUE@ATALANGREIRA.COM
A TOXEIRIÑA,https://www.turismo.gal/recurso/-/detalle/250203000014/a-toxeirina?langId=es_ES&tp=67&ctre=135,"Lugar Silvoso, nº 1 36660 Moraña - Pontevedra",Pensión,1 estrella,+34 986 553 277,info@atoxeirina.com
A TRAIÑA,https://www.turismo.gal/recurso/-/detalle/210604000142/a-traina?langId=es_ES&tp=67&ctre=135,"Rúa Triana , nº 2 36630 Cambados - Pontevedra",Pensión,1 estrella,,xema27@hotmail.es
A TROITA HOSTEL,https://www.turismo.gal/recurso/-/detalle/230627000756/a-troita-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Carretera Baiona, nº 38 36700 Tui - Pontevedra",Albergue Turístico,,,dominguezdizmario@gmail.com
A URICEIRA,https://www.turismo.gal/recurso/-/detalle/230809000191/a-uriceira?langId=es_ES&tp=68&ctre=130,"Carretera de Vilanova, nº 42 36945 Cangas - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 678 845 300,info@areabrava.es
A VERDELLA VILLAS,https://www.turismo.gal/recurso/-/detalle/210726000424/a-verdella-villas?langId=es_ES&tp=68&ctre=130,nº 7 36960 Sanxenxo - Pontevedra,Apartamento,Apartamentos 1 Llave,986 727 857 / +34 679 472 980,info@averdella.es
A VÍA,https://www.turismo.gal/recurso/-/detalle/33646/a-via?langId=es_ES&tp=67&ctre=135,"Teniente Domínguez, nº 12 36980 O Grove - Pontevedra",Pensión,1 estrella,+34 986 732 505,
A VIÑA DO SOUTO,https://www.turismo.gal/recurso/-/detalle/280379768/a-vina-do-souto?langId=es_ES&tp=1000180&ctre=1000220,"Lg. Souto, nº 13 36658 Portas - Pontevedra",Vivienda Turística,,4,lahuerta1972@hotmail.com
A XANELA,https://www.turismo.gal/recurso/-/detalle/220830000276/a-xanela?langId=es_ES&tp=67&ctre=135,"Plaza da Verdura, nº 5 36002 Pontevedra - Pontevedra",Pensión,1 estrella,,manuel.suarez.amoedo@gmail.com
A.V.V. SANTA ANA VEIGADANA,https://www.turismo.gal/recurso/-/detalle/160524000078/a.v.v.-santa-ana-veigadana?langId=es_ES&tp=1000100&ctre=1000120,"Camino Fontiña, nº 3 36416 Mos - Pontevedra",Albergue Turístico,,,
ABADÍA DO PELOURO AXEITO,https://www.turismo.gal/recurso/-/detalle/2182/abadia-do-pelouro-axeito?langId=es_ES&tp=71&ctre=134,"Calle Iglesia, nº s(n 36721 Tui - Pontevedra",Turismo rural,Grupo-A (Casa Rectoral),+34 986 629 024,abadiadopelouroaxeito@yahoo.es
ABADIA EIRAS,https://www.turismo.gal/recurso/-/detalle/250613000225/abadia-eiras?langId=es_ES&tp=71,"Camino Valdichores, nº 5 36760 O Rosal - Pontevedra",Turismo rural,Grupo-A (Otras Edif.),,
ABALO,https://www.turismo.gal/recurso/-/detalle/28698/abalo?langId=es_ES&tp=22&ctre=129,36612 Catoira - Pontevedra,Hotel,2 Estrellas,+34 986 546 900,info@motelabalo.com
ABEIRAS,https://www.turismo.gal/recurso/-/detalle/33171/abeiras?langId=es_ES&tp=22&ctre=129,"Ensenada do Bao , nº km 2 36980 O Grove - Pontevedra",Hotel,4 Estrellas,+34 986 735 134 / +34 986 731 942,info@hotelabeiras.com
ABREU DO LOURO,https://www.turismo.gal/recurso/-/detalle/241014000311/abreu-do-louro?langId=es_ES&tp=71&ctre=134,nº 5 36435 Arbo - Pontevedra,Turismo rural,Grupo-C (Casa de Labranza),,aldeadolouro@gmail.com
AC HOTEL PALACIO UNIVERSAL,https://www.turismo.gal/recurso/-/detalle/36365/ac-hotel-palacio-universal?langId=es_ES&tp=22&ctre=129,"Calle Cánovas del Castillo , nº 28 36202 Vigo - Pontevedra",Hotel,4 Estrellas,+34 986 449 250,puniversal@ac-hotels.com
ACÍES,https://www.turismo.gal/recurso/-/detalle/210713000239/acies?langId=es_ES&tp=68&ctre=130,"Calle Dos Tombos, nº 19A 36940 Cangas - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 619 658 202,reservas@aciesapartamentos.com
ADEGA TERRA SANTA,https://www.turismo.gal/recurso/-/detalle/278517617/adega-terra-santa?langId=es_ES&tp=71&ctre=134,nº 23 36633 Cambados - Pontevedra,Turismo rural,Grupo-C (Casa de Labranza),,info@casaruralterrasanta.com
ADEINES,https://www.turismo.gal/recurso/-/detalle/230612000329/adeines?langId=es_ES&tp=67&ctre=135,"Avenida de Santiago, nº 35 36680 A Estrada - Pontevedra",Pensión,1 estrella,,
ADEINÉS,https://www.turismo.gal/recurso/-/detalle/240625000757/adeines?langId=es_ES&tp=1000180&ctre=1000220,nº 21 36620 Vilanova de Arousa - Pontevedra,Vivienda Turística,,+34 616 588 225,dinayraul@hotmail.com
AEROPUERTO,https://www.turismo.gal/recurso/-/detalle/28734/aeropuerto?langId=es_ES&tp=22&ctre=129,"Avenida Peinador , nº 124 36415 Mos - Pontevedra",Hotel,2 Estrellas,+34 986 486 494,motel_aeropuerto@hotmail.com
AFRODITA,https://www.turismo.gal/recurso/-/detalle/37737/afrodita?langId=es_ES&tp=67&ctre=135,"Cervantes, nº 14 36201 Vigo - Pontevedra",Pensión,2 estrellas,+34 986 737 240,
AGARIMO,https://www.turismo.gal/recurso/-/detalle/2539/agarimo?langId=es_ES&tp=22&ctre=129,"Playa Praia de Areas , nº 11 36960 Sanxenxo - Pontevedra",Hotel,1 Estrella,+34 986 741 049,
AGRA,https://www.turismo.gal/recurso/-/detalle/34339/agra?langId=es_ES&tp=67&ctre=135,"Calle Tomás A. Alonso, nº 66 36208 Vigo - Pontevedra",Pensión,1 estrella,+34 986 235 125,
AGUIÑO,https://www.turismo.gal/recurso/-/detalle/33405/aguino?langId=es_ES&tp=67&ctre=135,"Calle Pablo Iglesias, nº 26 36980 O Grove - Pontevedra",Pensión,2 estrellas,+34 986 733 007,emgrobes@emgrobes.org
AGUNCHEIRO,https://www.turismo.gal/recurso/-/detalle/258714678/aguncheiro?langId=es_ES&tp=67&ctre=135,36309 Oia - Pontevedra,Pensión,1 estrella,+34 986 361 571,
AGUNCHEIRO,https://www.turismo.gal/recurso/-/detalle/272507414/aguncheiro?langId=es_ES&tp=1000100&ctre=1000120,"Lg. O Porto , nº 53 36309 Oia - Pontevedra",Albergue Turístico,,+34 986 361 571,
AHANGAMA LOVE,https://www.turismo.gal/recurso/-/detalle/240916000253/ahangama-love?langId=es_ES&tp=67&ctre=135,"Camino do Piñeiro, nº 8 36250 Nigrán - Pontevedra",Pensión,1 estrella,,bakerfam.pro@gmail.com
AIRES DO UMIA,https://www.turismo.gal/recurso/-/detalle/190902000009/aires-do-umia?langId=es_ES&tp=67&ctre=135,"Avenida Pedro Mateo Sagasta, nº 12 36650 Caldas de Reis - Pontevedra",Pensión,2 estrellas,,airesdoumia@gmail.com
AIRIÑOS,https://www.turismo.gal/recurso/-/detalle/37738/airinos?langId=es_ES&tp=67&ctre=135,"Avenida Chancelas , nº 87 36993 Poio - Pontevedra",Pensión,1 estrella,+34 986 740 063,airinoschancelas@hotmail.com
AIRIÑOS DO MAR,https://www.turismo.gal/recurso/-/detalle/258732210/airinos-do-mar?langId=es_ES&tp=67&ctre=135,"Playa de Areas , nº 25 36960 Sanxenxo - Pontevedra",Pensión,2 estrellas,,
ALBERGUE A DARSENA DO FRANCES,https://www.turismo.gal/recurso/-/detalle/210831000499/albergue-a-darsena-do-frances?langId=es_ES&tp=1000100&ctre=1000120,"Carretera de Zancade, nº 2 36693 Redondela - Pontevedra",Albergue Turístico,,663 911 233,adarsenadofrances@gmail.com
ALBERGUE A FILLA DO MAR REDONDELA,https://www.turismo.gal/recurso/-/detalle/160331000149/albergue-a-filla-do-mar-redondela?langId=es_ES&tp=1000100&ctre=1000120,"Calle Isidoro Queimaliños, nº 35 36800 Redondela - Pontevedra",Albergue Turístico,,,albergueafilladomar@gmail.com
ALBERGUE A QUEIMADA,https://www.turismo.gal/recurso/-/detalle/240423000443/albergue-a-queimada?langId=es_ES&tp=1000100&ctre=1000120,"Calle Herrería, nº 25 -27 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,,albergueaqueimada@gmail.com
ALBERGUE AGARIMO,https://www.turismo.gal/recurso/-/detalle/180522000350/albergue-agarimo?langId=es_ES&tp=1000100&ctre=1000120,"Calle Pedro Mateo Sagasta, nº 48 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,+34 677 333 703,almuvillar@hotmail.com
ALBERGUE ALBOR,https://www.turismo.gal/recurso/-/detalle/190716000287/albergue-albor?langId=es_ES&tp=1000100&ctre=1000120,"Calle Real, nº 63 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,+34 600 351 157,alberguealbor@gmail.com
ALBERGUE ALECER,https://www.turismo.gal/recurso/-/detalle/210831000498/albergue-alecer?langId=es_ES&tp=1000100&ctre=1000120,"Calle Herrería, nº 50 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,,
ALBERGUE ALFONSO XII,https://www.turismo.gal/recurso/-/detalle/160531000116/albergue-alfonso-xii?langId=es_ES&tp=1000100&ctre=1000120,"Calle Alfonso XII, nº 22 36800 Redondela - Pontevedra",Albergue Turístico,,+34 986 400 153,contacto@alberguealfonsoxii.com
ALBERGUE ALOXA HOSTEL,https://www.turismo.gal/recurso/-/detalle/280382457/albergue-aloxa-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Gorgullón, nº 68 36003 Pontevedra - Pontevedra",Albergue Turístico,,,alberguealoxahostel@hotmail.com
ALBERGUE ANDRÉS FERNÁNDEZ GARCÍA,https://www.turismo.gal/recurso/-/detalle/250712000326/albergue-andres-fernandez-garcia?langId=es_ES&tp=1000100&ctre=1000300,Vilagarcía de Arousa - Pontevedra,Albergues del Xacobeo,,,
ALBERGUE ARGEMIRA,https://www.turismo.gal/recurso/-/detalle/250410000375/albergue-argemira?langId=es_ES&tp=1000100&ctre=1000120,"Calle da Constitución, nº 3 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,,arq.annecchini@gmail.com
ALBERGUE AS POZAS TERMAIS,https://www.turismo.gal/recurso/-/detalle/220901000013/albergue-as-pozas-termais?langId=es_ES&tp=1000100&ctre=1000120,"Calle Juan Carlos García Bayón, nº 5 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,+34 986 070 731,info@aspozastermais.es
ALBERGUE BAIONAMAR,https://www.turismo.gal/recurso/-/detalle/180601000051/albergue-baionamar?langId=es_ES&tp=1000100&ctre=1000120,"Calle Venezuela, nº 6 36300 Baiona - Pontevedra",Albergue Turístico,,,hostelbaionamar@gmail.com
ALBERGUE CASA CALVAR,https://www.turismo.gal/recurso/-/detalle/200821000794/albergue-casa-calvar?langId=es_ES&tp=1000100&ctre=1000120,"A Feira, nº 1 36690 Soutomaior - Pontevedra",Albergue Turístico,,+34 692 708 470,rakelilla1972@gmail.com
