nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad
A CASA DE LENA,https://www.turismo.gal/recurso/-/detalle/220613000079/a-casa-de-lena?langId=es_ES&tp=68&ctre=130,"Calle Outeiral, nº 15 36636 Ribadumia - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 652 617 984,carmen.abalpi@gmail.com,Donde alojarse,,,,,,,,,
A CASA DE MARÍA,https://www.turismo.gal/recurso/-/detalle/28465/a-casa-de-maria?langId=es_ES&tp=71&ctre=134,nº 24 36389 Gondomar - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@acasademariagondomar.com,Donde alojarse,,,,,,,,,
A CASA DO ALOUMIÑO DA AUGA,https://www.turismo.gal/recurso/-/detalle/150904000011/a-casa-do-aloumino-da-auga?langId=es_ES&tp=1000180&ctre=1000220,"Calle Chouteira, nº 6 36876 Mondariz - Pontevedra",Vivienda Turística,,+34 687 918 212,contacto@casadoaloumino.com,Donde alojarse,,,,,,,,,
A CASA DO HÓRREO,https://www.turismo.gal/recurso/-/detalle/210519000527/a-casa-do-horreo?langId=es_ES&tp=67&ctre=135,"Calle Hórreo, nº 5 36640 Pontecesures - Pontevedra",Pensión,1 estrella,,merchiamoedo@hotmail.com,Donde alojarse,,,,,,,,,
A CASA DO LAGOEIRO,https://www.turismo.gal/recurso/-/detalle/34268/a-casa-do-lagoeiro?langId=es_ES&tp=71&ctre=134,"Vilar, nº 17 36680 A Estrada - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 584 964,ivaniglesias43@hotmail.com,Donde alojarse,,,,,,,,,
A CASA DO LATONEIRO,https://www.turismo.gal/recurso/-/detalle/200218000291/a-casa-do-latoneiro?langId=es_ES&tp=67&ctre=135,"Calle Real, nº 19 36650 Caldas de Reis - Pontevedra",Pensión,2 estrellas,,,Donde alojarse,,,,,,,,,
A CASA DO PATIN,https://www.turismo.gal/recurso/-/detalle/190806000069/a-casa-do-patin?langId=es_ES&tp=67&ctre=135,"Calle Cega, nº 1 36940 Cangas - Pontevedra",Pensión,2 estrellas,,acasadopatin19@gmail.com,Donde alojarse,,,,,,,,,
A CASA DO RIO,https://www.turismo.gal/recurso/-/detalle/272173041/a-casa-do-rio?langId=es_ES&tp=22&ctre=129,"Calle Víctor García , nº 1 36640 Pontecesures - Pontevedra",Hotel,2 Estrellas,+34 986 557 575,info@hotelacasadorio.es,Donde alojarse,,,,,,,,,
A CASA DOS NORES,https://www.turismo.gal/recurso/-/detalle/180613000289/a-casa-dos-nores?langId=es_ES&tp=67&ctre=135,"Plaza do Arco, nº 4 36940 Cangas - Pontevedra",Pensión,2 estrellas,,info@acasadosnores.com,Donde alojarse,,,,,,,,,
A CASA DOS PARLADOIROS,https://www.turismo.gal/recurso/-/detalle/170707000186/a-casa-dos-parladoiros?langId=es_ES&tp=1000180&ctre=1000220,"Carretera Puxeiros - Mos, nº 260 36415 Mos - Pontevedra",Vivienda Turística,,,acasadosparladoiros@gmail.com,Donde alojarse,,,,,,,,,
A CASA NOVA,https://www.turismo.gal/recurso/-/detalle/170228000092/a-casa-nova?langId=es_ES&tp=1000180&ctre=1000220,"Mangüeiro, nº 2 36142 Vilaboa - Pontevedra",Vivienda Turística,,,fincamangueiro@yahoo.es,Donde alojarse,,,,,,,,,
A CASIÑA,https://www.turismo.gal/recurso/-/detalle/4796/a-casina?langId=es_ES&tp=71&ctre=134,36677 Cuntis - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 572 546,animacioneartestoga@yahoo.es,Donde alojarse,,,,,,,,,
A CONSERVEIRA,https://www.turismo.gal/recurso/-/detalle/160905000005/a-conserveira?langId=es_ES&tp=1000100&ctre=1000120,"Calle Pai Crespo, nº 60 36800 Redondela - Pontevedra",Albergue Turístico,,,hostelaconserveira@gmail.com,Donde alojarse,,,,,,,,,
A CORTICELA,https://www.turismo.gal/recurso/-/detalle/190204000029/a-corticela?langId=es_ES&tp=1000100&ctre=1000120,"Rúa La Basella , nº 19 36620 Vilanova de Arousa - Pontevedra",Albergue Turístico,,,,Donde alojarse,,,,,,,,,
A CRUZÁN,https://www.turismo.gal/recurso/-/detalle/280380995/a-cruzan?langId=es_ES&tp=67&ctre=135,"Telleiro, nº 5 36960 Sanxenxo - Pontevedra",Pensión,3 estrellas,+34 986 744 116,acruzannoalla@gmail.com,Donde alojarse,,,,,,,,,
A DONIÑA DE PLAYA MAJOR,https://www.turismo.gal/recurso/-/detalle/268495131/a-donina-de-playa-major?langId=es_ES&tp=68&ctre=130,"Lg. Soutullo, nº 82 36990 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,,inversionesturisticasjcv@gmail.com,Donde alojarse,,,,,,,,,
A EIRA DA LAXE,https://www.turismo.gal/recurso/-/detalle/160428000120/a-eira-da-laxe?langId=es_ES&tp=1000180&ctre=1000220,"LG. VILAR, nº 27 36139 Cerdedo-Cotobade - Pontevedra",Vivienda Turística,,,pablo191273@hotmail.es,Donde alojarse,,,,,,,,,
A FILLA DO MAR,https://www.turismo.gal/recurso/-/detalle/210714000272/a-filla-do-mar?langId=es_ES&tp=1000100&ctre=1000120,"Castelao 142 , nº 12 36690 Soutomaior - Pontevedra",Albergue Turístico,,+34 986 841 522,albergueafilladomar@gmail.com,Donde alojarse,,,,,,,,,
A FONTE,https://www.turismo.gal/recurso/-/detalle/240104000027/a-fonte?langId=es_ES&tp=67&ctre=135,"Lugar Aldea de Abaixo, nº 15 36638 Meaño - Pontevedra",Pensión,2 estrellas,,casadaaldeacb@gmail.com,Donde alojarse,,,,,,,,,
A FONTE DO SOUTO,https://www.turismo.gal/recurso/-/detalle/160127000049/a-fonte-do-souto?langId=es_ES&tp=67&ctre=135,nº 7 36512 Lalín - Pontevedra,Pensión,3 estrellas,,,Donde alojarse,,,,,,,,,
A FONTIÑA,https://www.turismo.gal/recurso/-/detalle/36541/a-fontina?langId=es_ES&tp=67&ctre=135,"Lugar Montalvo , nº 68 36979 Sanxenxo - Pontevedra",Pensión,2 estrellas,+34 986 720 454,a.fontina.68@hotmail.com,Donde alojarse,,,,,,,,,
A FRAGA RURAL,https://www.turismo.gal/recurso/-/detalle/28034/a-fraga-rural?langId=es_ES&tp=68&ctre=130,nº 29 36959 Moaña - Pontevedra,Apartamento,Apartamentos 1 Llave,+34 986 315 296,contacto@afragarural.com,Donde alojarse,,,,,,,,,
A FREIXA,https://www.turismo.gal/recurso/-/detalle/2784/a-freixa?langId=es_ES&tp=69&ctre=139,"Lugar A Freixa, nº sn 0 Ponteareas - Pontevedra",Camping,Camping de 1ª Categoria,+34 986 640 299,,Donde alojarse,,,,,,,,,
A GORGORIÑA,https://www.turismo.gal/recurso/-/detalle/210316001730/a-gorgorina?langId=es_ES&tp=1000180&ctre=1000220,nº 42 36947 Cangas - Pontevedra,Vivienda Turística,,+34 986 305 654,monicajalda@hotmail.com,Donde alojarse,,,,,,,,,
A LAXARETA,https://www.turismo.gal/recurso/-/detalle/260275311/a-laxareta?langId=es_ES&tp=71&ctre=134,"Camiño do Cruceiro a O Carballoso, nº 14 36612 Catoira - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 523 291,coaxerl@gmail.com,Donde alojarse,,,,,,,,,
A LONQUEXA DO GAÑÁN,https://www.turismo.gal/recurso/-/detalle/280379097/a-lonquexa-do-ganan?langId=es_ES&tp=67&ctre=135,"Aldea Gondas , nº 80 36389 Gondomar - Pontevedra",Pensión,3 estrellas,,lonquexa@lonquexa.es,Donde alojarse,,,,,,,,,
A MAQUÍA,https://www.turismo.gal/recurso/-/detalle/278150554/a-maquia?langId=es_ES&tp=22&ctre=129,"Avenida de Laño-Samieira , nº 17 36994 Poio - Pontevedra",Hotel,1 Estrella,+34 986 741 693,info@amaquia.com,Donde alojarse,,,,,,,,,
A MARISMA,https://www.turismo.gal/recurso/-/detalle/230911000194/a-marisma-?langId=es_ES&tp=67&ctre=135,"Avenida Ernestina Otero, nº 45 36800 Redondela - Pontevedra",Pensión,2 estrellas,,info@amarismahostal.com,Donde alojarse,,,,,,,,,
A MEIGA DAS AREAS,https://www.turismo.gal/recurso/-/detalle/210831000495/a-meiga-das-areas?langId=es_ES&tp=67&ctre=135,"Calle Vista ó Mar, nº 3 Nigrán - Pontevedra",Pensión,2 estrellas,,info@ameigadasareas.com,Donde alojarse,,,,,,,,,
A MIMOSEIRA,https://www.turismo.gal/recurso/-/detalle/22886/a-mimoseira?langId=es_ES&tp=71&ctre=134,nº 7 36684 A Estrada - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 573 253,reservas@casamimoseira.com,Donde alojarse,,,,,,,,,
A NENA DA DEVESA,https://www.turismo.gal/recurso/-/detalle/241007000156/a-nena-da-devesa?langId=es_ES&tp=67&ctre=135,nº 2 36490 Crecente - Pontevedra,Pensión,1 estrella,,anenadadevesa@gmail.com,Donde alojarse,,,,,,,,,
A NOSA CASA,https://www.turismo.gal/recurso/-/detalle/21727/a-nosa-casa?langId=es_ES&tp=67&ctre=135,36630 Cambados - Pontevedra,Pensión,1 estrella,+34 986 542 733,,Donde alojarse,,,,,,,,,
A OLIVEIRA,https://www.turismo.gal/recurso/-/detalle/230331000694/a-oliveira?langId=es_ES&tp=68&ctre=130,36142 Vilaboa - Pontevedra,Apartamento,Apartamentos 1 Llave,,reservas@apartamentosaoliveira.com,Donde alojarse,,,,,,,,,
A PAMPLA,https://www.turismo.gal/recurso/-/detalle/280381842/a-pampla?langId=es_ES&tp=1000180&ctre=1000220,36887 A Cañiza - Pontevedra,Vivienda Turística,,,apampla@torgo.es,Donde alojarse,,,,,,,,,
A PASTORA,https://www.turismo.gal/recurso/-/detalle/9671/a-pastora?langId=es_ES&tp=71&ctre=134,"Calle do Castro , nº 5 36630 Cambados - Pontevedra",Turismo rural,Grupo-C (Casa de Labranza),+34 986 543 273,info@casapastora.com,Donde alojarse,,,,,,,,,
A PEDRA,https://www.turismo.gal/recurso/-/detalle/33787/a-pedra?langId=es_ES&tp=67&ctre=135,"Santo Tomé de Nogueira , nº 18 36637 Meis - Pontevedra",Pensión,1 estrella,+34 986 712 098,,Donde alojarse,,,,,,,,,
A PEDRA,https://www.turismo.gal/recurso/-/detalle/37899/a-pedra?langId=es_ES&tp=67&ctre=135,"Rúa Real, nº 6 36201 Vigo - Pontevedra",Pensión,1 estrella,+34 986 431 594,laboral@tlasesores.es,Donde alojarse,,,,,,,,,
A PORTELA DO MIRADOR,https://www.turismo.gal/recurso/-/detalle/30251/a-portela-do-mirador?langId=es_ES&tp=71&ctre=134,nº 47 36368 Cerdedo-Cotobade - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 750 260,info@aporteladomirador.com,Donde alojarse,,,,,,,,,
A POSTA DA PRATA,https://www.turismo.gal/recurso/-/detalle/36233/a-posta-da-prata?langId=es_ES&tp=71&ctre=134,nº 2 36543 Silleda - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 580 011,apostadaprata@gmail.com,Donde alojarse,,,,,,,,,
A POSTIÑA,https://www.turismo.gal/recurso/-/detalle/32241/a-postina?langId=es_ES&tp=67&ctre=135,"AREAS, nº 9 36966 Sanxenxo - Pontevedra",Pensión,2 estrellas,,gerenciapostina@gmail.com,Donde alojarse,,,,,,,,,
A QUEIMADA,https://www.turismo.gal/recurso/-/detalle/36406/a-queimada?langId=es_ES&tp=22&ctre=129,"Plaza da Carrasca , nº 5 36350 Nigrán - Pontevedra",Hotel,2 Estrellas,+34 986 350 307 / +34 986 350 380,reservas@queimada.com,Donde alojarse,,,,,,,,,
A QUINTA DAS MACEIRAS,https://www.turismo.gal/recurso/-/detalle/221026000212/a-quinta-das-maceiras?langId=es_ES&tp=67&ctre=135,nº 5 36584 A Estrada - Pontevedra,Pensión,2 estrellas,,info@aquintadasmaceiras.com,Donde alojarse,,,,,,,,,
A QUINTELA,https://www.turismo.gal/recurso/-/detalle/38032/a-quintela?langId=es_ES&tp=71&ctre=134,"Barrio Quintela de Abaixo , nº 3 36549 Forcarei - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),,info@aquintela.com,Donde alojarse,,,,,,,,,
A REGA,https://www.turismo.gal/recurso/-/detalle/31515/a-rega?langId=es_ES&tp=71&ctre=134,"Travesía da Praia, nº 16 36993 Poio - Pontevedra",Turismo rural,Grupo-C (Casa de Labranza),+34 986 771 242,reservas@casaruralarega.com,Donde alojarse,,,,,,,,,
A REGUEIRA DOS OJEA,https://www.turismo.gal/recurso/-/detalle/16105/a-regueira-dos-ojea?langId=es_ES&tp=71&ctre=134,36470 Salceda de Caselas - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,aregueira.ojea@gmail.com,Donde alojarse,,,,,,,,,
A REIGOSA,https://www.turismo.gal/recurso/-/detalle/280377075/a-reigosa?langId=es_ES&tp=22&ctre=129,"Lugar A Reigosa, nº 67 36827 Ponte Caldelas - Pontevedra",Hotel,1 Estrella,+34 986 757 010,casasjcb@gmail.com,Donde alojarse,,,,,,,,,
A ROTONDA,https://www.turismo.gal/recurso/-/detalle/191023000255/a-rotonda?langId=es_ES&tp=1000100&ctre=1000120,"Calle Rabadeira Canabal, nº 1 36800 Redondela - Pontevedra",Albergue Turístico,,+34 657 805 988,arotonda@outlook.es,Donde alojarse,,,,,,,,,
A TABERNA DE VENTO,https://www.turismo.gal/recurso/-/detalle/180504000047/a-taberna-de-vento?langId=es_ES&tp=67&ctre=135,nº 33 36500 Lalín - Pontevedra,Pensión,1 estrella,,atabernadovento@gmail.com,Donde alojarse,,,,,,,,,
A TALANGREIRA DO BEQUE,https://www.turismo.gal/recurso/-/detalle/230322000436/a-talangreira-do-beque?langId=es_ES&tp=1000100&ctre=1000120,"Lugar A Fraga, nº s/n 36950 Moaña - Pontevedra",Albergue Turístico,,,ALBERGUE@ATALANGREIRA.COM,Donde alojarse,,,,,,,,,
A TOXEIRIÑA,https://www.turismo.gal/recurso/-/detalle/250203000014/a-toxeirina?langId=es_ES&tp=67&ctre=135,"Lugar Silvoso, nº 1 36660 Moraña - Pontevedra",Pensión,1 estrella,+34 986 553 277,info@atoxeirina.com,Donde alojarse,,,,,,,,,
A TRAIÑA,https://www.turismo.gal/recurso/-/detalle/210604000142/a-traina?langId=es_ES&tp=67&ctre=135,"Rúa Triana , nº 2 36630 Cambados - Pontevedra",Pensión,1 estrella,,xema27@hotmail.es,Donde alojarse,,,,,,,,,
A TROITA HOSTEL,https://www.turismo.gal/recurso/-/detalle/230627000756/a-troita-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Carretera Baiona, nº 38 36700 Tui - Pontevedra",Albergue Turístico,,,dominguezdizmario@gmail.com,Donde alojarse,,,,,,,,,
A URICEIRA,https://www.turismo.gal/recurso/-/detalle/230809000191/a-uriceira?langId=es_ES&tp=68&ctre=130,"Carretera de Vilanova, nº 42 36945 Cangas - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 678 845 300,info@areabrava.es,Donde alojarse,,,,,,,,,
A VERDELLA VILLAS,https://www.turismo.gal/recurso/-/detalle/210726000424/a-verdella-villas?langId=es_ES&tp=68&ctre=130,nº 7 36960 Sanxenxo - Pontevedra,Apartamento,Apartamentos 1 Llave,986 727 857 / +34 679 472 980,info@averdella.es,Donde alojarse,,,,,,,,,
A VÍA,https://www.turismo.gal/recurso/-/detalle/33646/a-via?langId=es_ES&tp=67&ctre=135,"Teniente Domínguez, nº 12 36980 O Grove - Pontevedra",Pensión,1 estrella,+34 986 732 505,,Donde alojarse,,,,,,,,,
A VIÑA DO SOUTO,https://www.turismo.gal/recurso/-/detalle/280379768/a-vina-do-souto?langId=es_ES&tp=1000180&ctre=1000220,"Lg. Souto, nº 13 36658 Portas - Pontevedra",Vivienda Turística,,4,lahuerta1972@hotmail.com,Donde alojarse,,,,,,,,,
A XANELA,https://www.turismo.gal/recurso/-/detalle/220830000276/a-xanela?langId=es_ES&tp=67&ctre=135,"Plaza da Verdura, nº 5 36002 Pontevedra - Pontevedra",Pensión,1 estrella,,manuel.suarez.amoedo@gmail.com,Donde alojarse,,,,,,,,,
A.V.V. SANTA ANA VEIGADANA,https://www.turismo.gal/recurso/-/detalle/160524000078/a.v.v.-santa-ana-veigadana?langId=es_ES&tp=1000100&ctre=1000120,"Camino Fontiña, nº 3 36416 Mos - Pontevedra",Albergue Turístico,,,,Donde alojarse,,,,,,,,,
ABADÍA DO PELOURO AXEITO,https://www.turismo.gal/recurso/-/detalle/2182/abadia-do-pelouro-axeito?langId=es_ES&tp=71&ctre=134,"Calle Iglesia, nº s(n 36721 Tui - Pontevedra",Turismo rural,Grupo-A (Casa Rectoral),+34 986 629 024,abadiadopelouroaxeito@yahoo.es,Donde alojarse,,,,,,,,,
ABADIA EIRAS,https://www.turismo.gal/recurso/-/detalle/250613000225/abadia-eiras?langId=es_ES&tp=71,"Camino Valdichores, nº 5 36760 O Rosal - Pontevedra",Turismo rural,Grupo-A (Otras Edif.),,,Donde alojarse,,,,,,,,,
ABALO,https://www.turismo.gal/recurso/-/detalle/28698/abalo?langId=es_ES&tp=22&ctre=129,36612 Catoira - Pontevedra,Hotel,2 Estrellas,+34 986 546 900,info@motelabalo.com,Donde alojarse,,,,,,,,,
ABEIRAS,https://www.turismo.gal/recurso/-/detalle/33171/abeiras?langId=es_ES&tp=22&ctre=129,"Ensenada do Bao , nº km 2 36980 O Grove - Pontevedra",Hotel,4 Estrellas,+34 986 735 134 / +34 986 731 942,info@hotelabeiras.com,Donde alojarse,,,,,,,,,
ABREU DO LOURO,https://www.turismo.gal/recurso/-/detalle/241014000311/abreu-do-louro?langId=es_ES&tp=71&ctre=134,nº 5 36435 Arbo - Pontevedra,Turismo rural,Grupo-C (Casa de Labranza),,aldeadolouro@gmail.com,Donde alojarse,,,,,,,,,
AC HOTEL PALACIO UNIVERSAL,https://www.turismo.gal/recurso/-/detalle/36365/ac-hotel-palacio-universal?langId=es_ES&tp=22&ctre=129,"Calle Cánovas del Castillo , nº 28 36202 Vigo - Pontevedra",Hotel,4 Estrellas,+34 986 449 250,puniversal@ac-hotels.com,Donde alojarse,,,,,,,,,
ACÍES,https://www.turismo.gal/recurso/-/detalle/210713000239/acies?langId=es_ES&tp=68&ctre=130,"Calle Dos Tombos, nº 19A 36940 Cangas - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 619 658 202,reservas@aciesapartamentos.com,Donde alojarse,,,,,,,,,
ADEGA TERRA SANTA,https://www.turismo.gal/recurso/-/detalle/278517617/adega-terra-santa?langId=es_ES&tp=71&ctre=134,nº 23 36633 Cambados - Pontevedra,Turismo rural,Grupo-C (Casa de Labranza),,info@casaruralterrasanta.com,Donde alojarse,,,,,,,,,
ADEINES,https://www.turismo.gal/recurso/-/detalle/230612000329/adeines?langId=es_ES&tp=67&ctre=135,"Avenida de Santiago, nº 35 36680 A Estrada - Pontevedra",Pensión,1 estrella,,,Donde alojarse,,,,,,,,,
ADEINÉS,https://www.turismo.gal/recurso/-/detalle/240625000757/adeines?langId=es_ES&tp=1000180&ctre=1000220,nº 21 36620 Vilanova de Arousa - Pontevedra,Vivienda Turística,,+34 616 588 225,dinayraul@hotmail.com,Donde alojarse,,,,,,,,,
AEROPUERTO,https://www.turismo.gal/recurso/-/detalle/28734/aeropuerto?langId=es_ES&tp=22&ctre=129,"Avenida Peinador , nº 124 36415 Mos - Pontevedra",Hotel,2 Estrellas,+34 986 486 494,motel_aeropuerto@hotmail.com,Donde alojarse,,,,,,,,,
AFRODITA,https://www.turismo.gal/recurso/-/detalle/37737/afrodita?langId=es_ES&tp=67&ctre=135,"Cervantes, nº 14 36201 Vigo - Pontevedra",Pensión,2 estrellas,+34 986 737 240,,Donde alojarse,,,,,,,,,
AGARIMO,https://www.turismo.gal/recurso/-/detalle/2539/agarimo?langId=es_ES&tp=22&ctre=129,"Playa Praia de Areas , nº 11 36960 Sanxenxo - Pontevedra",Hotel,1 Estrella,+34 986 741 049,,Donde alojarse,,,,,,,,,
AGRA,https://www.turismo.gal/recurso/-/detalle/34339/agra?langId=es_ES&tp=67&ctre=135,"Calle Tomás A. Alonso, nº 66 36208 Vigo - Pontevedra",Pensión,1 estrella,+34 986 235 125,,Donde alojarse,,,,,,,,,
