nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,características,situacion_caminos_de_santiago,clasificación,servicios_de_autocaravanas,situacion_acceso
ÁREA DE SALCEDA DE CASELAS,https://www.turismo.gal/recurso/-/detalle/280383451/area-de-salceda-de-caselas?langId=es_ES&tp=42&ctre=1000260,"Calle Gándara, nº s/n 36470 Salceda de Caselas - Pontevedra",Áreas de Autocaravanas,,,,"42º 05' 47.8"" N - 8º 33' 27.6"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras | Zona de juegos para niños,"Si venimos por la AP9 tomamos la salida 168 hacia la A-52 (Porriño-Ourense),  a 1,3 Km. aprx. Tomamos la salida hacia la A-55 dirección (Tui/Portugal) continuamos 1,6 km para tomar la salida 16B y continuar por la PO-510 hacia Porriño (sur)-Salceda-Salvaterra. Al legar a Salceda, (en la rotonda) tomamos la 4ª salida dirección Av. de Galicia, a 170m. giramos a la Iz. Dirección calle José Antonio y a 300 m. a la derecha  está el área. | Si venimos por la A-52 (Ourense), tomamos la salida 294 (Ponteareas-Salvaterra-Mondariz-Monçao) para continuar por la PO-403, a 8,5 km. aprx. , en la rotonda, tomamos la 2ª salida  PO-510, dirección Salceda de Caselas . A 5 km. aprox. Salimos a la derecha hacia Salceda, en la rotonda, tomamos la 1ª salida a la derecha  dirección Av. de Galicia, a 170m. giramos a la Iz. Dirección calle José Antonio y a 300 m. a la derecha  está el área."
ÁREA DE TUI,https://www.turismo.gal/recurso/-/detalle/280382499/area-de-tui?langId=es_ES&tp=42&ctre=1000260,"Ponte Tripes, nº s/n 36700 Tui - Pontevedra",Áreas de Autocaravanas,,,,"42º 02' 36.0"" N - 8º 38' 47.5"" W",,,Camino Portugués,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,Está situada a la salida de la ciudad en dirección a Portugal. Seguir la señalización.
ÁREA DE VILA DE CRUCES,https://www.turismo.gal/recurso/-/detalle/280382500/area-de-vila-de-cruces?langId=es_ES&tp=42&ctre=1000260,"Travesía de Vázquez, nº s/n 36590 Vila de Cruces - Pontevedra",Áreas de Autocaravanas,,,,"42º 47' 28.4"" N - 8º 09' 57.7"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,"Si se llega a Vila de Cruces la PO-205, en la primera rotonda al llegar al pueblo seguir las indicaciones del polideportivo y allí está el área. | Si se llega por otras vías, dirigirse desde el pueblo hacia el oeste, siguiendo las indicaciones del polideportivo. | Desde la autopista AP-53 hay que tomar la salida 33 y desde allí dirigirse por la PO-205 a Vila de Cruces."
AREA EN CAMPING SANTA TECLA,https://www.turismo.gal/recurso/-/detalle/200412000100/area-en-camping-santa-tecla?langId=es_ES&tp=42&ctre=1000260,"Calle Baixada O Rio Miño , nº 90 36780 A Guarda - Pontevedra",Áreas de Autocaravanas,,+34 986 613 011.,,"41º 53' 55.3"" N - 8º 50' 48.9"" W",http://www.campingsantatecla.es/,,Camino Portugués de la costa,,,
ÁREA EN E.S. PETRONOR - LOUCENZAS,https://www.turismo.gal/recurso/-/detalle/200412000101/area-en-e.s.-petronor-loucenzas?langId=es_ES&tp=42&ctre=1000260,"Calle Loucenzas, s/n, nº s/n 36780 A Guarda - Pontevedra",Áreas de Autocaravanas,,,,"41º 55' 01.7"" N - 8º 52' 46.5"" W",,,Camino Portugués de la costa,,,
ÁREA LALIN,https://www.turismo.gal/recurso/-/detalle/200116000160/area-lalin?langId=es_ES&tp=42&ctre=1000260,Calle de Arribadas Lalín - Pontevedra,Áreas de Autocaravanas,,+34 666 430 458.,,"42º 39' 34.4"" N - 8º 06' 26.1"" W",,,Camino de Invierno | Vía de la Plata,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras | Zona de juegos para niños,
ÁREA VILAGARCIA DE AROUSA,https://www.turismo.gal/recurso/-/detalle/200116000158/area-vilagarcia-de-arousa?langId=es_ES&tp=42&ctre=1000260,Avenida Rodrigo de Mendoza Vilagarcía de Arousa - Pontevedra,Áreas de Autocaravanas,,,,"42º 35' 25.8"" N - 8º 45' 52.9"" W",,,Ruta del Mar de Arousa y Ulla,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,
"CRUCEROS ÁNGEL, S.L.",https://www.turismo.gal/recurso/-/detalle/278549793/cruceros-angel-s.l.?langId=es_ES&tp=52&ctre=295,"Calle Luis Casais, nº 29 36989 O Grove - Pontevedra",Transporte en barco,,+34 986 732 539,info@crucerosangel.com,"42º 29' 47.2"" N - 8º 51' 39.3"" W",http://www.crucerosangel.com/,Turístico,Ruta del Mar de Arousa y Ulla,,,
"CRUCEROS DE AROSA, S.L.",https://www.turismo.gal/recurso/-/detalle/280381854/cruceros-de-arosa-s.l.?langId=es_ES&tp=52&ctre=295,nº 1B 36980 O Grove - Pontevedra,Transporte en barco,,,info@crucerosdearosa.com,"42º 29' 33.0"" N - 8º 52' 48.0"" W",http://www.crucerosdearosa.com/,Turístico,Ruta del Mar de Arousa y Ulla,,,
"CRUCEROS DO ULLA - TURIMARES, S.L.",https://www.turismo.gal/recurso/-/detalle/31664/cruceros-do-ulla-turimares-s.l.?langId=es_ES&tp=52&ctre=295,Avenida Beiramar - Porto do Grove 36980 O Grove - Pontevedra,Transporte en barco,,+34 986 731 818 / +34 608 089 458,info@crucerosdoulla.com,"42º 29' 28.8"" N - 8º 53' 07.2"" W",http://www.crucerosdoulla.com/,Regular | Turístico,Ruta del Mar de Arousa y Ulla,,,
"CRUCEROS PELEGRÍN (MONROA, S.L.)",https://www.turismo.gal/recurso/-/detalle/31666/cruceros-pelegrin-monroa-s.l.-?langId=es_ES&tp=52&ctre=295,"Carballeira, 1C 36980 O Grove - Pontevedra",Transporte en barco,,+34 986 730 032,info@crucerospelegrin.com,"42º 29' 47.2"" N - 8º 51' 39.3"" W",http://www.crucerospelegrin.com/,Regular | Turístico,Ruta del Mar de Arousa y Ulla,,,
"CRUCEROS RÍAS BAJAS, S.L.",https://www.turismo.gal/recurso/-/detalle/31665/cruceros-rias-bajas-s.l.?langId=es_ES&tp=52&ctre=295,"Reboredo, nº 76 36989 O Grove - Pontevedra",Transporte en barco,,+34 986 731 343,info@crucerosriasbaixas.com,"42º 29' 47.2"" N - 8º 51' 39.3"" W",http://www.crucerosriasbaixas.com/,Regular | Turístico,Ruta del Mar de Arousa y Ulla,,,
MARES DO GROVE,https://www.turismo.gal/recurso/-/detalle/180607000180/mares-do-grove?langId=es_ES&tp=52&ctre=295,nº 72 36980 O Grove - Pontevedra,Transporte en barco,,+34 986 732 205,neptuno@crucerosmaresdogrove.com,"42º 28' 34.9"" N - 8º 51' 40.3"" W",https://www.crucerosmaresdogrove.com/es/,Turístico,Ruta del Mar de Arousa y Ulla,,,
"MINICRUCEROS PROBA, S.L.",https://www.turismo.gal/recurso/-/detalle/278583781/minicruceros-proba-s.l.?langId=es_ES&tp=52&ctre=293,"Luís Seoane, nº 64 36980 O Grove - Pontevedra",Catamarán,,,info@barcolatoja.com,"42º 29' 47.2"" N - 8º 51' 39.3"" W",http://www.barcolatoja.com/,Turístico,Ruta del Mar de Arousa y Ulla,,,
NAVIERA BAHÍA-SUB,https://www.turismo.gal/recurso/-/detalle/280381856/naviera-bahia-sub?langId=es_ES&tp=52&ctre=295,36990 O Grove - Pontevedra,Transporte en barco,,+34 607 911 523,,"42º 28' 43.6"" N - 8º 51' 42.4"" W",http://www.bahiasub.com/,Regular | Turístico,Ruta del Mar de Arousa y Ulla,,,
"NAVIERA DE LAS RÍAS GALLEGAS, S.L.",https://www.turismo.gal/recurso/-/detalle/280381855/naviera-de-las-rias-gallegas-s.l.?langId=es_ES&tp=52&ctre=295,Cánovas del Castillo 36202 Vigo - Pontevedra,Transporte en barco,,+34 986 433 706,riasgallegas@rgnaviera.com,,https://rgnaviera.com/,Regular,Camino Portugués de la costa,,,
"NAVIERA MAR DE ONS, S.L.",https://www.turismo.gal/recurso/-/detalle/31674/naviera-mar-de-ons-s.l.?langId=es_ES&tp=52&ctre=295,"Cánovas del Castillo, nº 26 36202 Vigo - Pontevedra",Transporte en barco,,+34 986 225 272,info@mardeons.com,"42º 14' 28.2"" N - 8º 43' 31.0"" W",http://www.mardeons.com/,Regular | Turístico,Camino Portugués de la costa,,,
NAVIERA NABIA,https://www.turismo.gal/recurso/-/detalle/11128/naviera-nabia?langId=es_ES&tp=52&ctre=295,"Calle Cánovas del Castillo - Estación marítima de Ría), nº s/n 36201 Vigo - Pontevedra",Transporte en barco,,+34 986 320 048,info@piratasdenabia.com,"42º 19' 35.8"" N - 8º 47' 04.0"" W",http://www.piratasdenabia.com/,Regular | Turístico,Camino Portugués de la costa,,,
PEINADOR,https://www.turismo.gal/recurso/-/detalle/1830/peinador?langId=es_ES&tp=100&ctre=232,"Avenida de Peinador, nº s/n 36618 Vigo - Pontevedra",Aeropuertos,,+34 986 268 200,,"42º 13' 56.0"" N - 8º 37' 51.9"" W",https://www.aena.es/,,Camino Portugués de la costa,,,
PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/3370/pontevedra?langId=es_ES&tp=99&ctre=229,"Avenida da Estación, nº s/n 36002 Pontevedra - Pontevedra",Estaciones de autobús,,+34 986 852 408,,"42º 25' 22.1"" N - 8º 38' 10.1"" W",http://www.autobusespontevedra.com/,,Camino Portugués | Camino Portugués de la costa,,,
TOUR RÍAS BAIXAS,https://www.turismo.gal/recurso/-/detalle/280376525/tour-rias-baixas?langId=es_ES&tp=52&ctre=295,"Curros Enríquez, 25 - 1ºA 36620 Vilanova de Arousa - Pontevedra",Transporte en barco,,,info@toursriasbaixas.com,"42º 33' 47.1"" N - 8º 49' 28.6"" W",http://www.toursriasbaixas.com/,Regular | Turístico,Ruta del Mar de Arousa y Ulla,,,
VIGO,https://www.turismo.gal/recurso/-/detalle/35900/vigo?langId=es_ES&tp=99&ctre=229,"Plaza Estación, nº 1 36201 Vigo - Pontevedra",Estaciones de autobús,,986 37 34 11.,info@estacionautobusesvigo.es,"42º 14' 04.5"" N - 8º 42' 49.6"" W",https://estacionautobusesvigo.es/,,Camino Portugués de la costa,,,
