nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,clasificación,situacion_caminos_de_santiago,tipos_de_servicios,salones,servicios_enoturismo,situacion_visitas
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280378872/b-travel?langId=es_ES&tp=73&ctre=153,"ALVARO CUNQUEIRO, nº 17 36211 Pontevedra - Pontevedra",Agencia de viajes,,,,,https://oficinas.bthetravelbrand.com/1363,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués | Camino Portugués de la costa,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280379514/b-travel?langId=es_ES&tp=73&ctre=153,"Uruguay, nº 31 36201 Vigo - Pontevedra",Agencia de viajes,,+34 986 266 536,vgo-alcaldegregorioespino@bthetravelbrand.com,,https://oficinas.bthetravelbrand.com/1844,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués | Camino Portugués de la costa,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280379515/b-travel?langId=es_ES&tp=73&ctre=153,Compostela esquina Ourense 36700 Tui - Pontevedra,Agencia de viajes,,+34 986 603 518,tui1742@bthetravelbrand.com,,https://oficinas.bthetravelbrand.com/1742,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280379536/b-travel?langId=es_ES&tp=73&ctre=153,"MENDEZ NUÑEZ, nº 27 36940 Cangas - Pontevedra",Agencia de viajes,,,cangasdomorrazo@bthetravelbrand.com,,https://oficinas.bthetravelbrand.com/1845,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280379572/b-travel?langId=es_ES&tp=73&ctre=153,"RAMIRANES, nº 2 36400 O Porriño - Pontevedra",Agencia de viajes,,,,,https://oficinas.bthetravelbrand.com/1846,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/28835/b-travel?langId=es_ES&tp=73&ctre=153,"ALCALDE DANIEL OJEA, nº 3 36860 Ponteareas - Pontevedra",Agencia de viajes,,,,"42º 10' 21.7"" N - 8º 30' 15.4"" W",http://www.barceloviajes.com/,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/4282/b-travel?langId=es_ES&tp=73&ctre=153,"ARAPILES, nº 4 36600 Vilagarcía de Arousa - Pontevedra",Agencia de viajes,,,,"42º 35' 44.7"" N - 8º 45' 52.3"" W",http://www.bthetravelbrandhttps//oficinas.bthetravelbrand.com/846.com,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia | Modalidad: Agencias de viajes con establecimiento físico,Ruta del Mar de Arousa y Ulla,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/xg-po-000032/b-travel?langId=es_ES&tp=73&ctre=153,"MARQUES DE VALLADARES, nº 4 36201 Vigo - Pontevedra",Agencia de viajes,,+34 986 469 202,vigo-marques@bthetravelbrand.com,,https://oficinas.bthetravelbrand.com/1807,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués de la costa,,,,
BACK TRAVEL,https://www.turismo.gal/recurso/-/detalle/250117000170/back-travel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,booking@backtravel.biz,,https://www.backtravel.biz/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,,,,,
BALUMA TRAVEL,https://www.turismo.gal/recurso/-/detalle/22129/baluma-travel?langId=es_ES&tp=73&ctre=153,"RÚA EDUARDO PONDAL, 3 - BAIXO 36630 Cambados - Pontevedra",Agencia de viajes,,+34 986 531 907,viajes@balumatravel.com,"42º 30' 52.1"" N - 8º 48' 45.3"" W",http://www.balumatravel.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz,Ruta del Mar de Arousa y Ulla,,,,
BESPOKE SENSES,https://www.turismo.gal/recurso/-/detalle/280382072/bespoke-senses?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,administracion@bespokesenses.com,,,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués | Camino Portugués de la costa,,,,
BIKOTRAVEL,https://www.turismo.gal/recurso/-/detalle/230315000321/bikotravel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,PANTXI@PROTONMAIL.COM,,http://reservas.bikotravel.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Vía de la Plata,,,,
BIVES TOUR AGENCIA DE VIAJES,https://www.turismo.gal/recurso/-/detalle/xg-po-000246/bives-tour-agencia-de-viajes?langId=es_ES&tp=73&ctre=153,"Praza de Compostela, nº 4 36203 Vigo - Pontevedra",Agencia de viajes,,+34 986 446 262,,"42º 14' 20.0"" N - 8º 43' 21.1"" W",http://www.bivestour.com/,Grupo: Minorista | Tipo agencia: Sucursal de una casa matriz en Galicia,Camino Portugués de la costa,,,,
BIVESTOUR,https://www.turismo.gal/recurso/-/detalle/xg-po-000004/bivestour-?langId=es_ES&tp=73&ctre=153,"Calle Padre Don Rúa - Esq Bolivia, nº 10 36203 Vigo - Pontevedra",Agencia de viajes,,+34 986 414 488,informacion@bivestour.com,"42º 13' 54.9"" N - 8º 43' 12.3"" W",http://www.bivestour.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Camino Portugués de la costa,,,,
BLUSCUS TURISMO MARINERO,https://www.turismo.gal/recurso/-/detalle/220121000130/bluscus-turismo-marinero?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,MARINO@BLUSCUS.ES,,http://www.bluscus.es/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
BOAVILA VIAXES,https://www.turismo.gal/recurso/-/detalle/181116000136/boavila-viaxes?langId=es_ES&tp=73&ctre=153,"Oliva, nº 33 36001 Pontevedra - Pontevedra",Agencia de viajes,,+34 689 706 483,boavilaviaxes@gmail.com,,,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Camino Portugués | Camino Portugués de la costa,,,,
BOAVILA VIAXES,https://www.turismo.gal/recurso/-/detalle/220112000049/boavila-viaxes?langId=es_ES&tp=73&ctre=153,"Calle García Barbón, nº 63 36203 Vigo - Pontevedra",Agencia de viajes,,+34 886 905 069,mc.segade@boavilaviaxes.es,,,Grupo: Minorista | Tipo agencia: Sucursal de una casa matriz en Galicia | Modalidad: Agencias de viajes con establecimiento físico,Camino Portugués de la costa,,,,
BODEGA TRAVEL,https://www.turismo.gal/recurso/-/detalle/230213000178/bodega-travel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@bodegatravel.com,,https://bodegatravel.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués,,,,
BONOS BIENESTAR,https://www.turismo.gal/recurso/-/detalle/210531000752/bonos-bienestar?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@vouxers.com,,https://www.vouxers.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
BOOTS&GRAPES TOURS,https://www.turismo.gal/recurso/-/detalle/280382453/boots-grapes-tours?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,tours@bootsandgrapestours.com,,https://bootsandgrapestours.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,,,,,
BREATHINGALICIA.,https://www.turismo.gal/recurso/-/detalle/190207000056/breathingalicia.?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,hello@breathingalicia.com,,http://www.breathingalicia.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Ruta del Mar de Arousa y Ulla,,,,
BRUXAS TRAVEL,https://www.turismo.gal/recurso/-/detalle/xg-po-000431/bruxas-travel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 615 420 100,,,,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Ruta del Mar de Arousa y Ulla,,,,
BUYDEAL,https://www.turismo.gal/recurso/-/detalle/161020000050/buydeal?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 678 634 273,INFO@BUYDEAL.ES,,http://www.buydeal.es/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
CAMINO COMPANIONS,https://www.turismo.gal/recurso/-/detalle/250314000247/camino-companions?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,,,https://www.caminocompanions.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,,,,,
CAMINO EN KAYAK,https://www.turismo.gal/recurso/-/detalle/210607000187/camino-en-kayak?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,,,https://www.caminodesantiagoenkayak.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Ruta del Mar de Arousa y Ulla,,,,
CAMINO SANTIAGO A CABALLO CAMINOS GALICIA,https://www.turismo.gal/recurso/-/detalle/220720000425/camino-santiago-a-caballo-caminos-galicia?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,caminosgalicia@hotmail.com,,,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,,,,,
CASTILLO DE SOUTOMAIOR,https://www.turismo.gal/recurso/-/detalle/15956/castillo-de-soutomaior?langId=es_ES&tp=26&ctre=186,"Castillo de Soutomaior, s/n 36691 Soutomaior - Pontevedra",Instalaciones especiales,,+34 986 705 105,info@hotelpousadadelcastillo.com,"42º 19' 43.8"" N - 8º 34' 04.1"" W",http://www.hotelpousadadelcastillo.com/,,Camino Portugués | Camino Portugués de la costa,Acceso discapacitados | Admite tarjetas de crédito | Alquiler de coches | Antena parabólica | Aparcamiento | Área de recepción | Azafatas | Bar-Cafetería | Fax | Fotocopiadora | Megafonía | Pantallas | Pizarra de papel | Podiums | Proyectores | Restaurante | Teléfono | Vídeo,Nombre | Clase | Cóctel | Restaurante | Teatro | U | Quirófano 16.00 32.00 25.00 20.00 | Noble 30.00 80.00 64.00 60.00 32.00 | Damas 18.00 45.00 35.00 30.00 18.00 | Batallas 60.00 150.00 110.00 150.00 46.00 | Auditorio 40.00 100.00 80.00 100.00 40.00,,
CELTIC VIAJES,https://www.turismo.gal/recurso/-/detalle/xg-po-000448/celtic-viajes-?langId=es_ES&tp=73&ctre=153,"Porto do Rio, nº 19 36650 Caldas de Reis - Pontevedra",Agencia de viajes,,+34 986 540 274,,,,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Camino Portugués | Camino Portugués de la costa,,,,
CELTRAVEL,https://www.turismo.gal/recurso/-/detalle/5637/celtravel?langId=es_ES&tp=73&ctre=153,"Avenida AVENIDA DE MADRID, 6 , nº 6 36630 Cambados - Pontevedra",Agencia de viajes,,+34 986 524 445,reservas@celtravel.es,"42º 30' 54.5"" N - 8º 48' 52.2"" W",,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz,Ruta del Mar de Arousa y Ulla,,,,
CLAE VIAJES,https://www.turismo.gal/recurso/-/detalle/280377270/clae-viajes?langId=es_ES&tp=73&ctre=153,"Calle Doctor Tourón (Viveiro de empresas 11), nº 46 36600 Vilagarcía de Arousa - Pontevedra",Agencia de viajes,,+34 986 510 362,claeviajes@clickviaja.com,"42º 35' 25.7"" N - 8º 46' 05.0"" W",,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Ruta del Mar de Arousa y Ulla,,,,
CN TRAVEL,https://www.turismo.gal/recurso/-/detalle/11316/cn-travel?langId=es_ES&tp=73&ctre=153,"Calle Vinquiño, nº 26 36960 Sanxenxo - Pontevedra",Agencia de viajes,,+34 986 690 490,COMUNICACION@CNTRAVEL.ES,"42º 24' 07.9"" N - 8º 48' 51.9"" W",http://www.cntravel.es/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Ruta del Mar de Arousa y Ulla,,,,
CONVENTO DE VILAVELLA,https://www.turismo.gal/recurso/-/detalle/32849/convento-de-vilavella?langId=es_ES&tp=26&ctre=186,"Plaza de Ponteareas, 15 36700 Redondela - Pontevedra",Instalaciones especiales,,+34 986 408 165,info@hotelpousadadelcastillo.com,"42º 16' 42.9"" N - 8º 36' 38.0"" W",,,Camino Portugués | Camino Portugués de la costa,,,,
CORVERA VIAJES,https://www.turismo.gal/recurso/-/detalle/278518244/corvera-viajes?langId=es_ES&tp=73&ctre=153,"MÉNDEZ NÚÑEZ, 37 36910 Marín - Pontevedra",Agencia de viajes,,+34 986 891 594,viajescorvera@gmail.com,"42º 23' 33.8"" N - 8º 42' 03.6"" W",https://www.facebook.com/corveraviajes,Grupo: Minorista | Tipo agencia: Casa matriz,,,,,
COSTA ATLÁNTICA VIAJES,https://www.turismo.gal/recurso/-/detalle/33435/costa-atlantica-viajes?langId=es_ES&tp=73&ctre=153,"Calle Brasilino Álvarez , nº 13 36780 A Guarda - Pontevedra",Agencia de viajes,,+34 986 612 554,grupos@costaatlanticaviajes.com,"41º 54' 05.0"" N - 8º 52' 19.9"" W",,Grupo: Minorista | Tipo agencia: Casa matriz,Camino Portugués de la costa,,,,
DDG DISFRUTANDO DE GALICIA,https://www.turismo.gal/recurso/-/detalle/190917000098/ddg-disfrutando-de-galicia?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,986 16 92 43,info@disfrutandodegalicia.com,,https://www.disfrutandodegalicia.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
DISCOVER GALICIA,https://www.turismo.gal/recurso/-/detalle/280383252/discover-galicia?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 645 929 766,discovergalicia@gmail.com,,https://discovergalicia.es/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués | Camino Portugués de la costa,,,,
DMC SOLOGRUPOS,https://www.turismo.gal/recurso/-/detalle/230803000063/dmc-sologrupos?langId=es_ES&tp=73&ctre=153,"Alameda, nº 16 36001 Pontevedra - Pontevedra",Agencia de viajes,,,marta@gtcconsultores.es,,,Grupo: Mayorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Camino Portugués,,,,
E&W DESTINATION EXPERTS SL,https://www.turismo.gal/recurso/-/detalle/220505000104/e-w-destination-experts-sl?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@eatandwalkabout.com,,https://www.eatandwalkabout.com/en/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,,,,,
EATOUR SPECIALIST,https://www.turismo.gal/recurso/-/detalle/280378873/eatour-specialist?langId=es_ES&tp=73&ctre=153,"Calle Marqués de Valladares, 14 - 4ª 3 36201 Vigo - Pontevedra",Agencia de viajes,,+34 986 221 399,tours@eatourspecialist.com,,http://www.eatourspecialist.com/,Grupo: Minorista | Tipo agencia: Casa matriz,Camino Portugués de la costa,,,,
ED EUROPA DESTINOS,https://www.turismo.gal/recurso/-/detalle/190416000283/ed-europa-destinos?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,admin@europadestinos.com,,http://www.europadestinos.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
EL MUNDO YOURWAY,https://www.turismo.gal/recurso/-/detalle/277294830/el-mundo-yourway?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@elmundoyourway.com,,http://www.elmundoyourway.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
EL SALÓN DE TUS VIAJES,https://www.turismo.gal/recurso/-/detalle/280380838/el-salon-de-tus-viajes?langId=es_ES&tp=73&ctre=153,"Calle Edelmiro Trillo, 10 , nº 10 36600 Vilagarcía de Arousa - Pontevedra",Agencia de viajes,,+34 986 185 995,info@elsalondetusviajes.com,,,Grupo: Minorista | Tipo agencia: Casa matriz,Ruta del Mar de Arousa y Ulla,,,,
"ELSON TOURS, SL",https://www.turismo.gal/recurso/-/detalle/xg-po-000205/elson-tours-sl?langId=es_ES&tp=73&ctre=153,"PIZARRO, 73-BAIXO-LOCAL 10 36204 Vigo - Pontevedra",Agencia de viajes,,,,,,Grupo: Minorista | Tipo agencia: Sucursal de una casa matriz en Galicia,Camino Portugués de la costa,,,,
EMBARCATE CON VIGO,https://www.turismo.gal/recurso/-/detalle/210810000339/embarcate-con-vigo?langId=es_ES&tp=73&ctre=153,"Xeneral Rubín, nº 4 36800 Redondela - Pontevedra",Agencia de viajes,,,viajes@embarcateconvigo.com,,http://www.embarcateconvigo.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Camino Portugués | Camino Portugués de la costa,,,,
EMOTIONS TRAVEL & ESCAPES,https://www.turismo.gal/recurso/-/detalle/171109000054/emotions-travel-escapes?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 650 209 296,luzxom@gmail.com,,https://booking.emotionstravel.eu/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,,,,,
ENSTEC ENCUENTROS SOCIALES Y TÉCNICOS,https://www.turismo.gal/recurso/-/detalle/151116000026/enstec-encuentros-sociales-y-tecnicos?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 665 177 285,administracion@enstec.es,,http://enstec.es/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino de Invierno | Vía de la Plata,,,,
EROSKI BIDAIAK SA,https://www.turismo.gal/recurso/-/detalle/210211000042/eroski-bidaiak-sa?langId=es_ES&tp=73&ctre=153,"Rosalía de Castro, nº 1 36001 Pontevedra - Pontevedra",Agencia de viajes,,+34 986 075 680,v2697@viajeseroski.es,,,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia | Modalidad: Agencias de viajes con establecimiento físico,Camino Portugués,,,,
EROSKI BIDAIAK SA,https://www.turismo.gal/recurso/-/detalle/xg-po-000120/eroski-bidaiak-sa?langId=es_ES&tp=73&ctre=153,"Travesia de Vigo , nº 48 36206 Vigo - Pontevedra",Agencia de viajes,,+34 986 281 786,,"42º 14' 03.8"" N - 8º 42' 20.4"" W",http://www.viajeseroski.es/,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués de la costa,,,,
"EROSKI BIDAIAK, SA",https://www.turismo.gal/recurso/-/detalle/15874/eroski-bidaiak-sa?langId=es_ES&tp=73&ctre=153,"Avda. Galicia, nº 6 36780 A Guarda - Pontevedra",Agencia de viajes,,+34 986 611 560,s2432@eroski.es,"41º 54' 09.0"" N - 8º 52' 22.1"" W",http://www.viajeseroski.es/,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués de la costa,,,,
"EROSKI BIDAIAK, SA",https://www.turismo.gal/recurso/-/detalle/16132/eroski-bidaiak-sa?langId=es_ES&tp=73&ctre=153,"Mendez Nuñez, nº 1 36940 Cangas - Pontevedra",Agencia de viajes,,+34 986 303 870,s2432@eroski.es,"42º 15' 50.4"" N - 8º 46' 55.3"" W",http://www.viajeseroski.es/,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,,,,,
EXCURSIONES FRAN,https://www.turismo.gal/recurso/-/detalle/240205000040/excursiones-fran?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,,,https://www.viajesfran.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,,,,,
EXCURSIONES Y VIAJES VIGO,https://www.turismo.gal/recurso/-/detalle/240718000361/excursiones-y-viajes-vigo?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,turisticasdevigo@hotmail.com,,https://excursionesyviajesvigo.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
FANCY TRAVEL 16,https://www.turismo.gal/recurso/-/detalle/220923000441/fancy-travel-16?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@fancytravel16.com,,http://www.fancytravel16.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
