nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,situacion_caminos_de_santiago
OFICINA DE TURISMO DE VIGO,https://www.turismo.gal/recurso/-/detalle/271937625/oficina-de-turismo-de-vigo?langId=es_ES&tp=75&ctre=160,"Calle López de Neira, nº 8 36202 Vigo - Pontevedra",Municipales,,+34 986 224 757,turismodevigo@vigo.org,"42º 14' 29.0"" N - 8º 43' 41.9"" W",http://www.turismodevigo.org/,Camino Portugués de la costa
OFICINA DE TURISMO DE VILAGARCÍA DE AROUSA,https://www.turismo.gal/recurso/-/detalle/19441/oficina-de-turismo-de-vilagarcia-de-arousa?langId=es_ES&tp=75&ctre=160,"Avenida Da Mariña, (Antigo Edificio da Peixería), nº s/n 36600 Vilagarcía de Arousa - Pontevedra",Municipales,,+34 986 501 227,oficinaturismo@vilagarcia.gal,"42º 35' 45.2"" N - 8º 46' 02.7"" W",http://visitvilagarcia.com/,Ruta del Mar de Arousa y Ulla
OFICINA DE TURISMO DUNAS DE GAIFAR,https://www.turismo.gal/recurso/-/detalle/277237929/oficina-de-turismo-dunas-de-gaifar?langId=es_ES&tp=75&ctre=1000201,"Plaza Constitución, nº s/n 36350 Nigrán - Pontevedra",Punto de información,,+34 986 368 734,oficinaturismo@nigran.org,"42º 09' 18.5"" N - 8º 49' 25.9"" W",https://www.nigran.es/,Camino Portugués de la costa
OFICINA DE TURISMO O CASAL DE FERREIRÓS,https://www.turismo.gal/recurso/-/detalle/19413/oficina-de-turismo-o-casal-de-ferreiros?langId=es_ES&tp=75&ctre=160,"Avenida Andurique, nº 43 36163 Poio - Pontevedra",Municipales,,+34 986 833 204,turismo@concellopoio.org,"42º 26' 02.5"" N - 8º 39' 31.7"" W",http://www.turismopoio.com/,
OFICINA DE TURISMO RÍAS BAIXAS,https://www.turismo.gal/recurso/-/detalle/36050/oficina-de-turismo-rias-baixas?langId=es_ES&tp=75&ctre=1000201,"Plaza Sta. María (Palacete dos Mendozas), nº s/n 36071 Pontevedra - Pontevedra",Punto de información,,+34 886 211 700,info.riasbaixas@depo.es,"42º 25' 58.3"" N - 8º 38' 51.0"" W",https://turismoriasbaixas.com/inicio,Camino Portugués | Camino Portugués de la costa
OFICINA MUNICIPAL DE TURISMO DE A GUARDA,https://www.turismo.gal/recurso/-/detalle/19389/oficina-municipal-de-turismo-de-a-guarda?langId=es_ES&tp=75&ctre=160,"Plaza do Reló, nº 1 36780 A Guarda - Pontevedra",Municipales,,+34 986 614 546,turismo@aguarda.es,"41º 54' 04.6"" N - 8º 52' 25.9"" W",http://www.turismoaguarda.es/,Camino Portugués de la costa
OFICINA MUNICIPAL DE TURISMO DE BAIONA,https://www.turismo.gal/recurso/-/detalle/19392/oficina-municipal-de-turismo-de-baiona?langId=es_ES&tp=75&ctre=160,"Calle Arquitecto Jesús Valverde, nº s/n 36300 Baiona - Pontevedra",Municipales,,+34 986 687 067,oficinadeturismo@baiona.gal,"42º 07' 17.3"" N - 8º 51' 00.2"" W",https://www.baiona.gal/,Camino Portugués de la costa
OFICINA MUNICIPAL DE TURISMO DE CALDAS DE REIS,https://www.turismo.gal/recurso/-/detalle/19394/oficina-municipal-de-turismo-de-caldas-de-reis?langId=es_ES&tp=75&ctre=160,"Calle Laureano Salgado, nº 10 36650 Caldas de Reis - Pontevedra",Municipales,,,turismo@caldasdereis.gal,"42º 36' 13.6"" N - 8º 38' 34.3"" W",http://www.caldasdereis.com/,Camino Portugués | Camino Portugués de la costa
OFICINA MUNICIPAL DE TURISMO DE CAMBADOS,https://www.turismo.gal/recurso/-/detalle/19395/oficina-municipal-de-turismo-de-cambados?langId=es_ES&tp=75&ctre=160,"Paseo da calzada, nº s/n 36630 Cambados - Pontevedra",Municipales,,+34 986 520 786,turismo@cambados.es,"42º 30' 55.0"" N - 8º 48' 55.1"" W",https://cambados.es/,Ruta del Mar de Arousa y Ulla
OFICINA MUNICIPAL DE TURISMO DE CANGAS CASA DA BOLA,https://www.turismo.gal/recurso/-/detalle/19396/oficina-municipal-de-turismo-de-cangas-casa-da-bola?langId=es_ES&tp=75&ctre=160,"Avenida Eugenio Sequeiros, nº 9 36940 Cangas - Pontevedra",Municipales,,+34 986 392 023,turismo@cangas.gal,"42º 15' 48.4"" N - 8º 47' 02.8"" W",https://cangas.gal/gl,
OFICINA MUNICIPAL DE TURISMO DE CUNTIS,https://www.turismo.gal/recurso/-/detalle/19397/oficina-municipal-de-turismo-de-cuntis?langId=es_ES&tp=75&ctre=160,"Plaza das Árbores, nº s/n 36670 Cuntis - Pontevedra",Municipales,,,turismo@concellodecuntis.es,"42º 38' 02.6"" N - 8º 33' 47.4"" W",https://turismodecuntis.gal/,
OFICINA MUNICIPAL DE TURISMO DE GONDOMAR,https://www.turismo.gal/recurso/-/detalle/19399/oficina-municipal-de-turismo-de-gondomar?langId=es_ES&tp=75&ctre=160,"Calle Portugal (Edificio da Casa da Cultura), nº 3 36380 Gondomar - Pontevedra",Municipales,,,oficinadeturismo@concellodegondomar.gal,"42º 06' 40.1"" N - 8º 45' 42.9"" W",https://turismo.concellodegondomar.gal/,
OFICINA MUNICIPAL DE TURISMO DE LALÍN,https://www.turismo.gal/recurso/-/detalle/19400/oficina-municipal-de-turismo-de-lalin?langId=es_ES&tp=75&ctre=160,"Avenida da Estación, nº s/n 36500 Lalín - Pontevedra",Municipales,,+34 986 787 060,infoturismo@lalin.gal,"42º 39' 23.5"" N - 8º 06' 48.0"" W",http://turismo.lalin.gal/,Camino de Invierno | Vía de la Plata
OFICINA MUNICIPAL DE TURISMO DE MARÍN,https://www.turismo.gal/recurso/-/detalle/19402/oficina-municipal-de-turismo-de-marin?langId=es_ES&tp=75&ctre=160,"Plaza de España, nº s/n 36900 Marín - Pontevedra",Municipales,,,marinturismoconcello@gmail.com,"42º 23' 37.5"" N - 8º 42' 09.6"" W",https://www.concellodemarin.es/turismo/,
OFICINA MUNICIPAL DE TURISMO DE MOAÑA,https://www.turismo.gal/recurso/-/detalle/19403/oficina-municipal-de-turismo-de-moana?langId=es_ES&tp=75&ctre=160,"Calle As Barxas, nº s/n 36950 Moaña - Pontevedra",Municipales,,,turismoconcellodemoana@gmail.com,"42º 17' 13.1"" N - 8º 44' 00.9"" W",https://concellodemoana.org/turismo/,
OFICINA MUNICIPAL DE TURISMO DE O GROVE,https://www.turismo.gal/recurso/-/detalle/19407/oficina-municipal-de-turismo-de-o-grove?langId=es_ES&tp=75&ctre=160,"Plaza O Corgo, nº s/n 36980 O Grove - Pontevedra",Municipales,,+34 986 731 415,oftur@concellodogrove.es,"42º 29' 48.7"" N - 8º 51' 51.9"" W",http://www.turismogrove.es/,Ruta del Mar de Arousa y Ulla
PUNTO DE INFORMACIÓN TURÍSTICA DE DENA (MEAÑO),https://www.turismo.gal/recurso/-/detalle/277237908/punto-de-informacion-turistica-de-dena-meano-?langId=es_ES&tp=75&ctre=1000201,"Plaza Nova, nº s/n 36967 Meaño - Pontevedra",Punto de información,,,turismo@concellodemeano.com,"42º 26' 57.1"" N - 8º 48' 56.6"" W",http://concellodemeano.com/,Ruta del Mar de Arousa y Ulla
PUNTO DE INFORMACIÓN TURÍSTICA O PEIRAO,https://www.turismo.gal/recurso/-/detalle/33277/punto-de-informacion-turistica-o-peirao?langId=es_ES&tp=75&ctre=1000201,"Estación de Autobuses, nº s/n 36940 Cangas - Pontevedra",Punto de información,,+34 986 300 875,turismo@cangas.gal,"42º 15' 41.8"" N - 8º 47' 05.9"" W",https://cangas.gal/gl,
